Place,DogName,Box,Weight,StartPrice,PIR,Split,RunTime,RaceId,Distance,RaceGrade,Track,date,TrainerLName,TrainerFName
3.0,me me celebrity,1.0,27.1,4.2,433,7.97,25.4,1005120265,450,5,maitland,2024-03-11,poo,poo
1.0,ezra man,2.0,31.2,1.55,111,7.8,24.87,1005120265,450,5,maitland,2024-03-11,poo,poo
4.0,betty birdcage,4.0,27.3,61.0,244,8.0,25.41,1005120265,450,5,maitland,2024-03-11,poo,poo
6.0,isle of arran,5.0,31.6,61.0,566,8.05,25.66,1005120265,450,5,maitland,2024-03-11,poo,poo
2.0,fire paws,7.0,33.0,4.0,322,7.96,25.2,1005120265,450,5,maitland,2024-03-11,poo,poo
5.0,my shepherd,8.0,32.2,34.0,655,8.03,25.44,1005120265,450,5,maitland,2024-03-11,poo,poo
5.0,our inspiration,1.0,28.2,1.95,655,2.27,18.91,1005140781,320,Maiden,richmond,2024-03-11,poo,poo
8.0,just too easy,2.0,33.7,23.0,767,2.33,19.54,1005140781,320,Maiden,richmond,2024-03-11,poo,poo
6.0,still trying,3.0,23.7,13.0,578,2.36,19.01,1005140781,320,Maiden,richmond,2024-03-11,poo,poo
7.0,nitro blitz,4.0,27.4,5.5,436,2.25,19.33,1005140781,320,Maiden,richmond,2024-03-11,poo,poo
4.0,our boy angus,5.0,29.9,10.0,884,2.33,18.88,1005140781,320,Maiden,richmond,2024-03-11,poo,poo
2.0,cash getaway,6.0,28.6,13.0,343,2.27,18.51,1005140781,320,Maiden,richmond,2024-03-11,poo,poo
3.0,helping hands,7.0,23.3,18.0,112,2.17,18.53,1005140781,320,Maiden,richmond,2024-03-11,poo,poo
1.0,smooth whisper,8.0,29.6,5.5,221,2.22,18.47,1005140781,320,Maiden,richmond,2024-03-11,poo,poo
,la carina,,,1.0,,,,1005140781,320,Maiden,richmond,2024-03-11,poo,poo
,still happy,,,1.0,,,,1005140781,320,Maiden,richmond,2024-03-11,poo,poo
4.0,what kept you,1.0,23.6,8.0,655,7.06,23.66,1005140782,401,Maiden,richmond,2024-03-11,poo,poo
8.0,tanya's babe,2.0,28.2,26.0,568,7.15,24.12,1005140782,401,Maiden,richmond,2024-03-11,poo,poo
7.0,whiskey mac,3.0,32.0,51.0,777,7.17,23.97,1005140782,401,Maiden,richmond,2024-03-11,poo,poo
5.0,zipping nagini,4.0,25.9,5.5,886,7.23,23.73,1005140782,401,Maiden,richmond,2024-03-11,poo,poo
2.0,snowy's eclipse,5.0,39.7,14.0,222,6.98,23.34,1005140782,401,Maiden,richmond,2024-03-11,poo,poo
6.0,miss country,6.0,28.5,19.0,444,7.03,23.93,1005140782,401,Maiden,richmond,2024-03-11,poo,poo
3.0,oh indeed,7.0,26.2,3.9,333,7.06,23.53,1005140782,401,Maiden,richmond,2024-03-11,poo,poo
1.0,by the book,8.0,25.0,2.0,111,6.67,22.96,1005140782,401,Maiden,richmond,2024-03-11,poo,poo
2.0,milly's song,1.0,27.1,10.0,111,6.64,22.94,1005140783,401,4,richmond,2024-03-11,poo,poo
4.0,supreme tiger,2.0,32.6,11.0,555,6.96,23.23,1005140783,401,5,richmond,2024-03-11,poo,poo
7.0,black beast,3.0,36.3,23.0,666,7.01,23.62,1005140783,401,4,richmond,2024-03-11,poo,poo
3.0,impress luckie,4.0,29.1,14.0,443,6.91,22.98,1005140783,401,5,richmond,2024-03-11,poo,poo
8.0,hey party girl,5.0,29.5,101.0,787,7.44,23.77,1005140783,401,5,richmond,2024-03-11,poo,poo
5.0,flying ryan,6.0,34.8,61.0,334,6.87,23.26,1005140783,401,5,richmond,2024-03-11,poo,poo
1.0,canya captivate,7.0,26.3,1.4,222,6.72,22.77,1005140783,401,5,richmond,2024-03-11,poo,poo
6.0,neptune banner,8.0,29.8,5.5,878,7.11,23.61,1005140783,401,5,richmond,2024-03-11,poo,poo
,direct mae,,,1.0,,,,1005140783,401,5,richmond,2024-03-11,poo,poo
,gryffindor,,,1.0,,,,1005140783,401,5,richmond,2024-03-11,poo,poo
,monkey paw,,,1.0,,,,1005140784,320,3,richmond,2024-03-11,poo,poo
3.0,speeding fine,1.0,33.9,1.8,244,2.15,18.42,1005140784,320,1,richmond,2024-03-11,poo,poo
1.0,armatree cash,2.0,28.3,3.0,531,2.17,18.2,1005140784,320,2,richmond,2024-03-11,poo,poo
4.0,angel child,4.0,25.5,6.5,112,2.11,18.96,1005140784,320,1,richmond,2024-03-11,poo,poo
5.0,twelve men,5.0,26.9,51.0,455,2.16,18.99,1005140784,320,4,richmond,2024-03-11,poo,poo
2.0,such a shame,8.0,28.6,10.0,323,2.15,18.3,1005140784,320,4,richmond,2024-03-11,poo,poo
,butter my toast,,,1.0,,,,1005140785,320,7,richmond,2024-03-11,poo,poo
5.0,swift getaway,1.0,28.2,19.0,466,2.23,19.1,1005140785,320,7,richmond,2024-03-11,poo,poo
