Place,DogName,Box,Weight,StartPrice,PIR,Split,RunTime,RaceId,Distance,RaceGrade,Track,date,TrainerLName,TrainerFName
5.0,lucky bundy,1.0,26.9,31.0,34,5.65,30.78,996299641,520,5,albion park,2024-02-12,poo,poo
6.0,hilltop star,2.0,36.0,10.0,66,5.68,30.95,996299641,520,6,albion park,2024-02-12,poo,poo
3.0,bent street,3.0,31.8,5.0,22,5.58,30.72,996299641,520,5,albion park,2024-02-12,poo,poo
3.0,mitchell's lass,4.0,25.9,26.0,45,5.65,30.72,996299641,520,5,albion park,2024-02-12,poo,poo
2.0,vic vegas,6.0,31.1,4.2,53,5.68,30.67,996299641,520,6,albion park,2024-02-12,poo,poo
7.0,waikarie molly,7.0,24.4,1.65,11,5.55,31.0,996299641,520,5,albion park,2024-02-12,poo,poo
1.0,gold tip,8.0,31.6,34.0,77,5.76,30.55,996299641,520,5,albion park,2024-02-12,poo,poo
,high sun,,,1.0,,,,996299642,520,5,albion park,2024-02-12,poo,poo
3.0,short fuse,1.0,29.8,19.0,42,5.7,30.83,996299642,520,5,albion park,2024-02-12,poo,poo
1.0,genius you,2.0,32.4,7.5,11,5.59,30.42,996299642,520,5,albion park,2024-02-12,poo,poo
7.0,hozier monelli,3.0,33.0,61.0,73,5.85,31.55,996299642,520,5,albion park,2024-02-12,poo,poo
2.0,midnight bandit,5.0,34.4,13.0,64,5.84,30.74,996299642,520,5,albion park,2024-02-12,poo,poo
5.0,make it count,6.0,33.7,34.0,25,5.7,31.14,996299642,520,5,albion park,2024-02-12,poo,poo
3.0,hara's pandora,7.0,26.0,1.35,56,5.73,30.83,996299642,520,5,albion park,2024-02-12,poo,poo
6.0,on the off,8.0,35.0,4.8,37,5.71,31.26,996299642,520,5,albion park,2024-02-12,poo,poo
2.0,samurai mind,1.0,27.4,2.9,22,9.91,35.22,996299643,600,5,albion park,2024-02-12,poo,poo
1.0,orson apatite,2.0,26.6,2.4,11,9.85,35.01,996299643,600,5,albion park,2024-02-12,poo,poo
7.0,bless shoe,3.0,25.2,41.0,57,10.26,36.22,996299643,600,5,albion park,2024-02-12,poo,poo
3.0,cookie queen,4.0,29.9,19.0,33,9.99,35.31,996299643,600,5,albion park,2024-02-12,poo,poo
4.0,hole in one,5.0,28.5,4.0,86,10.39,35.58,996299643,600,5,albion park,2024-02-12,poo,poo
8.0,early arrival,6.0,31.1,81.0,78,10.38,36.23,996299643,600,6,albion park,2024-02-12,poo,poo
5.0,no ordinary gal,7.0,29.0,9.0,65,10.31,35.85,996299643,600,7,albion park,2024-02-12,poo,poo
6.0,here he comes,8.0,28.9,61.0,44,10.01,36.11,996299643,600,5,albion park,2024-02-12,poo,poo
3.0,very handy,1.0,34.1,2.25,33,5.59,30.49,996299644,520,4,albion park,2024-02-12,poo,poo
1.0,aidan's queen,2.0,24.3,9.5,11,5.53,30.3,996299644,520,5,albion park,2024-02-12,poo,poo
4.0,genome,3.0,31.9,8.0,72,5.66,30.55,996299644,520,5,albion park,2024-02-12,poo,poo
7.0,speed zone,4.0,30.2,7.5,47,5.61,31.2,996299644,520,5,albion park,2024-02-12,poo,poo
6.0,ringbark rebel,5.0,28.5,12.0,25,5.58,30.87,996299644,520,5,albion park,2024-02-12,poo,poo
5.0,kingsbrae wendy,6.0,26.6,6.0,88,5.67,30.76,996299644,520,4,albion park,2024-02-12,poo,poo
8.0,obliging bill,7.0,31.8,26.0,66,5.64,31.32,996299644,520,5,albion park,2024-02-12,poo,poo
2.0,canya charm,8.0,25.3,6.5,54,5.61,30.39,996299644,520,4,albion park,2024-02-12,poo,poo
,obliging lionel,,,1.0,,,,996299644,520,5,albion park,2024-02-12,poo,poo
,which trap,,,1.0,,,,996299644,520,5,albion park,2024-02-12,poo,poo
6.0,which trap,1.0,32.4,1.55,46,5.71,32.18,996299645,520,5,albion park,2024-02-12,poo,poo
4.0,lone hunter,2.0,32.8,4.6,64,5.76,30.89,996299645,520,5,albion park,2024-02-12,poo,poo
2.0,keep tracking,3.0,29.1,18.0,32,5.69,30.56,996299645,520,5,albion park,2024-02-12,poo,poo
7.0,blazing lady,4.0,29.0,26.0,27,5.65,34.38,996299645,520,5,albion park,2024-02-12,poo,poo
1.0,tayla's lass,6.0,27.3,5.0,11,5.62,30.54,996299645,520,5,albion park,2024-02-12,poo,poo
3.0,sorrento breeze,7.0,28.0,26.0,53,5.73,30.85,996299645,520,5,albion park,2024-02-12,poo,poo
5.0,penny's princess,8.0,28.8,21.0,75,5.96,31.09,996299645,520,6,albion park,2024-02-12,poo,poo
,geneva bale,1.0,27.7,7.0,3,,,996299646,520,6,albion park,2024-02-12,poo,poo
