Place,DogName,Box,Weight,StartPrice,PIR,Split,RunTime,RaceId,Distance,RaceGrade,Track,date,TrainerLName,TrainerFName
2.0,hooked on chardy,1.0,28.1,7.0,611,9.21,25.93,1007854708,450,Maiden,grafton,2024-03-19,poo,poo
5.0,what about mick,2.0,32.6,13.0,776,9.5,26.45,1007854708,450,7,grafton,2024-03-19,poo,poo
6.0,snacks,3.0,30.5,7.5,565,9.5,26.59,1007854708,450,7,grafton,2024-03-19,poo,poo
7.0,last choice,4.0,30.4,71.0,457,9.47,26.72,1007854708,450,Maiden,grafton,2024-03-19,poo,poo
3.0,solomon cain,6.0,31.4,1.95,333,9.41,26.04,1007854708,450,7,grafton,2024-03-19,poo,poo
4.0,outsider,7.0,36.3,9.0,244,9.4,26.14,1007854708,450,7,grafton,2024-03-19,poo,poo
1.0,modern madonna,8.0,26.1,4.4,122,9.28,25.86,1007854708,450,6,grafton,2024-03-19,poo,poo
,hooked on wally,,,1.0,,,,1007854709,450,7,grafton,2024-03-19,poo,poo
3.0,blue marina,1.0,26.0,14.0,312,9.32,26.0,1007854709,450,Maiden,grafton,2024-03-19,poo,poo
4.0,watch the show,3.0,29.0,2.8,664,9.46,26.02,1007854709,450,7,grafton,2024-03-19,poo,poo
1.0,indy lad,4.0,32.9,4.4,531,9.38,25.94,1007854709,450,7,grafton,2024-03-19,poo,poo
2.0,aussie fury,6.0,35.3,2.7,243,9.41,25.96,1007854709,450,7,grafton,2024-03-19,poo,poo
6.0,on break,7.0,29.9,21.0,456,9.45,26.33,1007854709,450,Maiden,grafton,2024-03-19,poo,poo
5.0,kemp street,8.0,26.6,8.0,125,9.39,26.26,1007854709,450,7,grafton,2024-03-19,poo,poo
4.0,social strategy,1.0,33.1,34.0,753,4.32,20.69,1007854710,350,6,grafton,2024-03-19,poo,poo
,blue skye magic,2.0,30.8,1.9,577,,,1007854710,350,7,grafton,2024-03-19,poo,poo
6.0,take me out,3.0,32.1,31.0,636,4.34,20.93,1007854710,350,5,grafton,2024-03-19,poo,poo
1.0,denver joy,4.0,28.3,2.15,311,4.24,20.23,1007854710,350,5,grafton,2024-03-19,poo,poo
5.0,reggie quinn,6.0,33.5,9.0,445,4.33,20.71,1007854710,350,5,grafton,2024-03-19,poo,poo
3.0,not for sure,7.0,27.7,51.0,264,4.35,20.68,1007854710,350,5,grafton,2024-03-19,poo,poo
2.0,ember lad,8.0,31.5,71.0,122,4.24,20.61,1007854710,350,6,grafton,2024-03-19,poo,poo
,velocious,,,1.0,,,,1007854711,350,6,grafton,2024-03-19,poo,poo
4.0,dead ringer,1.0,31.4,3.9,653,4.23,20.43,1007854711,350,6,grafton,2024-03-19,poo,poo
3.0,doing life,2.0,27.8,13.0,565,4.3,20.4,1007854711,350,5,grafton,2024-03-19,poo,poo
2.0,lucky colour,3.0,30.4,14.0,431,4.14,20.21,1007854711,350,5,grafton,2024-03-19,poo,poo
6.0,gifted actress,4.0,23.0,9.0,346,4.19,20.89,1007854711,350,5,grafton,2024-03-19,poo,poo
5.0,okay mercedes,6.0,25.5,3.3,114,4.14,20.49,1007854711,350,5,grafton,2024-03-19,poo,poo
1.0,tiny barcia,7.0,32.8,2.7,222,4.14,20.18,1007854711,350,5,grafton,2024-03-19,poo,poo
7.0,double parked,1.0,29.6,26.0,637,4.15,21.11,1007854712,350,5,grafton,2024-03-19,poo,poo
6.0,precocious,2.0,26.9,3.7,246,4.18,20.88,1007854712,350,5,grafton,2024-03-19,poo,poo
5.0,debussy,3.0,29.5,3.6,775,4.57,20.79,1007854712,350,5,grafton,2024-03-19,poo,poo
4.0,clock the zipper,4.0,36.3,18.0,163,4.26,20.71,1007854712,350,6,grafton,2024-03-19,poo,poo
