Place,DogName,Box,Weight,StartPrice,PIR,Split,RunTime,RaceId,Distance,RaceGrade,Track,date,TrainerLName,TrainerFName
1.0,toffee rocks,1.0,34.5,2.8,441,2.21,18.39,1002276063,320,Maiden,richmond,2024-03-03,poo,poo
4.0,full credit,2.0,32.5,51.0,776,2.27,19.02,1002276063,320,Maiden,richmond,2024-03-03,poo,poo
2.0,our inspiration,3.0,27.9,15.0,883,2.34,18.56,1002276063,320,Maiden,richmond,2024-03-03,poo,poo
8.0,go forward block,4.0,28.3,5.5,555,2.23,19.66,1002276063,320,Maiden,richmond,2024-03-03,poo,poo
6.0,calculus,5.0,25.9,51.0,227,2.2,19.27,1002276063,320,Maiden,richmond,2024-03-03,poo,poo
5.0,by the book,6.0,24.8,5.5,334,2.21,19.06,1002276063,320,Maiden,richmond,2024-03-03,poo,poo
3.0,smooth whisper,7.0,29.4,6.0,662,2.23,18.85,1002276063,320,Maiden,richmond,2024-03-03,poo,poo
7.0,ivy's girl,8.0,24.4,4.2,118,2.15,19.28,1002276063,320,Maiden,richmond,2024-03-03,poo,poo
,little man jay,,,1.0,,,,1002276063,320,Maiden,richmond,2024-03-03,poo,poo
,take the cannoli,,,1.0,,,,1002276063,320,Maiden,richmond,2024-03-03,poo,poo
8.0,notorious wow,1.0,27.0,6.5,888,7.48,24.62,1002276064,401,Maiden,richmond,2024-03-03,poo,poo
3.0,my baroque love,2.0,27.5,7.0,322,6.85,23.39,1002276064,401,Maiden,richmond,2024-03-03,poo,poo
7.0,miss country,3.0,28.2,4.2,477,7.26,23.92,1002276064,401,Maiden,richmond,2024-03-03,poo,poo
2.0,go forward cathy,4.0,24.0,5.0,111,6.78,23.22,1002276064,401,Maiden,richmond,2024-03-03,poo,poo
4.0,whiskey mac,5.0,31.8,21.0,765,7.0,23.49,1002276064,401,Maiden,richmond,2024-03-03,poo,poo
1.0,soul panoramic,6.0,26.1,5.0,533,6.93,23.06,1002276064,401,Maiden,richmond,2024-03-03,poo,poo
5.0,fat pizza,7.0,29.2,16.0,244,6.94,23.54,1002276064,401,Maiden,richmond,2024-03-03,poo,poo
6.0,fabulous amala,8.0,25.4,5.0,656,7.01,23.64,1002276064,401,Maiden,richmond,2024-03-03,poo,poo
,sweet ethics,,,1.0,,,,1002276064,401,Maiden,richmond,2024-03-03,poo,poo
1.0,last resort,1.0,32.7,4.4,311,6.73,23.07,1002276065,401,Maiden,richmond,2024-03-03,poo,poo
3.0,rob you blind,2.0,26.3,2.8,222,6.83,23.23,1002276065,401,Maiden,richmond,2024-03-03,poo,poo
5.0,lylah rose,3.0,25.6,41.0,454,6.89,23.41,1002276065,401,Maiden,richmond,2024-03-03,poo,poo
8.0,ivy's might,4.0,26.6,10.0,136,6.87,24.09,1002276065,401,Maiden,richmond,2024-03-03,poo,poo
4.0,bob thunder,5.0,38.0,41.0,685,7.05,23.29,1002276065,401,Maiden,richmond,2024-03-03,poo,poo
2.0,soul ablaze,6.0,24.4,2.6,743,6.88,23.14,1002276065,401,Maiden,richmond,2024-03-03,poo,poo
7.0,shy sheena,7.0,29.7,11.0,567,6.95,24.02,1002276065,401,Maiden,richmond,2024-03-03,poo,poo
6.0,our little dream,8.0,27.0,41.0,878,7.0,23.89,1002276065,401,Maiden,richmond,2024-03-03,poo,poo
,sweet ethics,,,1.0,,,,1002276065,401,Maiden,richmond,2024-03-03,poo,poo
,palermo sting,,,1.0,,,,1002276066,320,7,richmond,2024-03-03,poo,poo
3.0,emgrand fever,1.0,34.6,7.0,774,2.25,18.5,1002276066,320,7,richmond,2024-03-03,poo,poo
6.0,tarawi aroura,2.0,25.8,51.0,455,2.23,19.0,1002276066,320,7,richmond,2024-03-03,poo,poo
5.0,unreal charlm,3.0,32.4,4.4,886,2.29,18.97,1002276066,320,7,richmond,2024-03-03,poo,poo
8.0,tasty snack,4.0,26.1,3.3,538,2.2,19.7,1002276066,320,5,richmond,2024-03-03,poo,poo
7.0,road trippin',5.0,30.8,4.8,667,2.23,19.13,1002276066,320,7,richmond,2024-03-03,poo,poo
4.0,bugatti bree,6.0,27.2,34.0,243,2.21,18.83,1002276066,320,5,richmond,2024-03-03,poo,poo
1.0,lady luella,7.0,27.2,4.2,111,2.07,18.19,1002276066,320,7,richmond,2024-03-03,poo,poo
2.0,just gossip,8.0,27.4,17.0,322,2.15,18.46,1002276066,320,7,richmond,2024-03-03,poo,poo
,heater screamer,,,1.0,,,,1002276066,320,7,richmond,2024-03-03,poo,poo
,finbar,,,1.0,,,,1002276067,320,7,richmond,2024-03-03,poo,poo
3.0,hannah boaz,1.0,24.9,11.0,112,2.14,19.1,1002276067,320,7,richmond,2024-03-03,poo,poo
2.0,open road,2.0,35.3,4.2,546,2.21,18.65,1002276067,320,7,richmond,2024-03-03,poo,poo
7.0,play dumb,3.0,28.4,4.5,757,2.24,19.78,1002276067,320,7,richmond,2024-03-03,poo,poo
,heleen's pennies,4.0,26.7,1.0,273,,,1002276067,320,6,richmond,2024-03-03,poo,poo
