Place,DogName,Box,Weight,StartPrice,PIR,Split,RunTime,RaceId,Distance,RaceGrade,Track,date,TrainerLName,TrainerFName
5.0,riptide ruslie,1.0,28.7,12.0,665,9.575,29.059,997427374,510,5,sale,2024-02-14,poo,poo
1.0,laroza bale,2.0,28.9,2.4,111,9.05,28.737,997427374,510,5,sale,2024-02-14,poo,poo
6.0,crew,4.0,34.0,16.0,556,9.5225,29.25,997427374,510,5,sale,2024-02-14,poo,poo
3.0,spirit world,5.0,29.5,10.0,444,9.4175,28.909,997427374,510,5,sale,2024-02-14,poo,poo
2.0,coulter bale,7.0,34.7,3.4,322,9.19,28.781,997427374,510,4,sale,2024-02-14,poo,poo
4.0,edi bale,8.0,30.0,4.6,233,9.1725,28.94,997427374,510,5,sale,2024-02-14,poo,poo
2.0,why not pearl,1.0,27.6,4.6,212,9.335,29.297,997427375,510,5,sale,2024-02-14,poo,poo
3.0,dr. chieftain,2.0,36.6,16.0,323,9.405,29.305,997427375,510,5,sale,2024-02-14,poo,poo
5.0,harvard scholar,4.0,30.3,8.0,565,9.5625,29.52,997427375,510,5,sale,2024-02-14,poo,poo
4.0,graceland boy,5.0,30.2,9.0,654,9.65,29.358,997427375,510,5,sale,2024-02-14,poo,poo
1.0,westerly bale,7.0,26.6,2.2,431,9.4225,28.971,997427375,510,5,sale,2024-02-14,poo,poo
6.0,rhonda gem,8.0,27.0,4.0,146,9.23,29.536,997427375,510,5,sale,2024-02-14,poo,poo
6.0,limerance,1.0,28.3,16.0,555,5.364,25.216,997427381,435,5,sale,2024-02-14,poo,poo
7.0,kippy bale,2.0,28.8,3.4,877,5.6265,25.303,997427381,435,5,sale,2024-02-14,poo,poo
4.0,quested bale,3.0,32.4,7.5,644,5.4515,24.969,997427381,435,5,sale,2024-02-14,poo,poo
5.0,lindenow patch,4.0,33.8,10.0,266,5.2835,25.197,997427381,435,5,sale,2024-02-14,poo,poo
1.0,xatu bale,5.0,32.8,3.4,111,5.28,24.528,997427381,435,5,sale,2024-02-14,poo,poo
2.0,chili horizon,6.0,35.0,10.0,322,5.3535,24.78,997427381,435,5,sale,2024-02-14,poo,poo
8.0,burning liquor,7.0,32.0,12.0,788,5.5215,25.607,997427381,435,5,sale,2024-02-14,poo,poo
3.0,dan dan,8.0,34.0,8.0,433,5.3605,24.869,997427381,435,5,sale,2024-02-14,poo,poo
,lakeview dozer,,,6.0,,,,997427381,435,5,sale,2024-02-14,poo,poo
1.0,azalea blooming,1.0,23.4,1.0,111,6.74,22.76,996299707,380,Maiden,cannington,2024-02-14,poo,poo
2.0,astral fun,3.0,32.4,1.0,222,6.83,22.8,996299707,380,Maiden,cannington,2024-02-14,poo,poo
1.0,not the hair,1.0,24.7,1.6,111,6.61,22.31,996378369,380,7,cannington,2024-02-14,poo,poo
6.0,she's all noise,2.0,25.0,74.8,666,6.95,22.94,996378369,380,Maiden,cannington,2024-02-14,poo,poo
8.0,mighty tom,3.0,32.7,107.0,778,7.04,23.44,996378369,380,Maiden,cannington,2024-02-14,poo,poo
3.0,sarabi sinclair,4.0,27.3,7.7,553,6.88,22.55,996378369,380,Maiden,cannington,2024-02-14,poo,poo
5.0,bush devil,5.0,29.1,6.6,345,6.76,22.87,996378369,380,Maiden,cannington,2024-02-14,poo,poo
7.0,mick will do,6.0,30.2,48.8,887,7.08,22.98,996378369,380,Maiden,cannington,2024-02-14,poo,poo
4.0,on the jacks,7.0,31.4,19.5,224,6.73,22.77,996378369,380,Maiden,cannington,2024-02-14,poo,poo
2.0,send it jack,8.0,29.6,4.9,432,6.79,22.36,996378369,380,Maiden,cannington,2024-02-14,poo,poo
,emmy nakayama,,,1.0,,,,996378370,380,6,cannington,2024-02-14,poo,poo
3.0,can't catch kati,1.0,28.1,3.9,643,6.85,22.24,996378370,380,7,cannington,2024-02-14,poo,poo
8.0,spare me,2.0,33.8,115.5,888,6.95,23.03,996378370,380,7,cannington,2024-02-14,poo,poo
7.0,popping pasta,3.0,29.5,12.5,337,6.73,22.84,996378370,380,7,cannington,2024-02-14,poo,poo
2.0,neon leon,4.0,29.4,5.5,111,6.59,22.16,996378370,380,7,cannington,2024-02-14,poo,poo
6.0,cyclone rupee,5.0,32.2,94.5,776,6.87,22.69,996378370,380,6,cannington,2024-02-14,poo,poo
4.0,west on  libby,6.0,28.0,1.9,554,6.82,22.31,996378370,380,6,cannington,2024-02-14,poo,poo
1.0,she's electric,7.0,27.5,18.0,422,6.78,22.1,996378370,380,5,cannington,2024-02-14,poo,poo
5.0,ace stunner,8.0,27.9,16.8,265,6.69,22.66,996378370,380,7,cannington,2024-02-14,poo,poo
,starlight willow,,,1.0,,,,996378370,380,7,cannington,2024-02-14,poo,poo
6.0,flutter snow,1.0,26.0,21.9,556,7.07,23.44,996378371,380,7,cannington,2024-02-14,poo,poo
3.0,dozen staples,2.0,32.0,9.1,663,7.15,23.08,996378371,380,6,cannington,2024-02-14,poo,poo
7.0,rogue runner,3.0,30.2,6.9,777,7.55,23.51,996378371,380,6,cannington,2024-02-14,poo,poo
3.0,bodacious beau,4.0,31.6,7.3,444,6.99,23.08,996378371,380,7,cannington,2024-02-14,poo,poo
1.0,rippin' jake,5.0,29.1,9.2,111,6.54,22.0,996378371,380,6,cannington,2024-02-14,poo,poo
8.0,zipper one,6.0,27.3,2.6,888,9.43,26.85,996378371,380,7,cannington,2024-02-14,poo,poo
5.0,hurry henry,7.0,34.1,21.6,335,6.94,23.25,996378371,380,7,cannington,2024-02-14,poo,poo
2.0,camino,8.0,32.3,4.7,222,6.72,22.15,996378371,380,6,cannington,2024-02-14,poo,poo
,yingluck,,,1.0,,,,996378371,380,7,cannington,2024-02-14,poo,poo
,starlight willow,,,1.0,,,,996378371,380,7,cannington,2024-02-14,poo,poo
7.0,tick tock moment,1.0,26.9,16.5,8777,5.74,31.12,996378372,520,Maiden,cannington,2024-02-14,poo,poo
5.0,canya gulfstream,2.0,34.3,3.2,5666,5.66,30.97,996378372,520,Maiden,cannington,2024-02-14,poo,poo
2.0,nice wicket,3.0,25.2,10.2,1112,5.53,30.68,996378372,520,Maiden,cannington,2024-02-14,poo,poo
4.0,pumbaa smith,4.0,30.1,18.2,7555,5.73,30.76,996378372,520,Maiden,cannington,2024-02-14,poo,poo
8.0,taming the tiger,5.0,25.8,35.2,6888,5.67,31.19,996378372,520,Maiden,cannington,2024-02-14,poo,poo
1.0,timon lane,6.0,29.5,4.3,3421,5.62,30.2,996378372,520,7,cannington,2024-02-14,poo,poo
6.0,cosy corner,7.0,27.4,4.9,4344,5.64,30.99,996378372,520,Maiden,cannington,2024-02-14,poo,poo
3.0,security guard,8.0,36.6,5.4,2233,5.55,30.72,996378372,520,Maiden,cannington,2024-02-14,poo,poo
,glasgow boy,,,1.0,,,,996378372,520,Maiden,cannington,2024-02-14,poo,poo
,pingelly prince,,,1.0,,,,996378372,520,Maiden,cannington,2024-02-14,poo,poo
5.0,craving kuna,1.0,24.2,38.2,4666,5.68,30.59,996378373,520,7,cannington,2024-02-14,poo,poo
4.0,night moon,2.0,32.3,3.6,2333,5.59,30.53,996378373,520,7,cannington,2024-02-14,poo,poo
1.0,gimli,3.0,31.0,2.2,3221,5.68,30.26,996378373,520,5,cannington,2024-02-14,poo,poo
2.0,zinc,4.0,29.1,12.3,6442,5.79,30.32,996378373,520,7,cannington,2024-02-14,poo,poo
