Place,DogName,Box,Weight,StartPrice,PIR,Split,RunTime,RaceId,Distance,RaceGrade,Track,date,TrainerLName,TrainerFName
,fascinate glory,,,1.0,,,,1006656807,400,Maiden,the gardens,2024-03-15,poo,poo
,lil patti,,,1.0,,,,1006656807,400,Maiden,the gardens,2024-03-15,poo,poo
5.0,mekong ruby,1.0,24.1,31.0,0,,23.74,1006656807,400,Maiden,the gardens,2024-03-15,poo,poo
1.0,kick on kate,2.0,26.4,2.7,0,,23.2,1006656807,400,7,the gardens,2024-03-15,poo,poo
4.0,reta's angel,3.0,23.7,6.5,0,,23.56,1006656807,400,Maiden,the gardens,2024-03-15,poo,poo
7.0,isomer,4.0,28.0,41.0,0,,24.02,1006656807,400,Maiden,the gardens,2024-03-15,poo,poo
8.0,lidcombe road,5.0,29.9,61.0,0,,24.18,1006656807,400,Maiden,the gardens,2024-03-15,poo,poo
2.0,miracle maker,6.0,31.3,3.6,0,,23.25,1006656807,400,Maiden,the gardens,2024-03-15,poo,poo
3.0,monticello,7.0,29.2,4.6,0,,23.46,1006656807,400,Maiden,the gardens,2024-03-15,poo,poo
5.0,sunrise warrior,8.0,29.5,7.5,0,,23.74,1006656807,400,Maiden,the gardens,2024-03-15,poo,poo
,class clown,,,1.0,,,,1006656808,400,Maiden,the gardens,2024-03-15,poo,poo
,stonewashed,,,1.0,,,,1006656808,400,Maiden,the gardens,2024-03-15,poo,poo
7.0,sketchy bingo,1.0,27.7,19.0,888,,23.99,1006656808,400,Maiden,the gardens,2024-03-15,poo,poo
3.0,princely sum,2.0,32.7,2.8,122,,23.27,1006656808,400,Maiden,the gardens,2024-03-15,poo,poo
8.0,hally mulwee,3.0,27.6,101.0,447,,24.25,1006656808,400,Maiden,the gardens,2024-03-15,poo,poo
1.0,prince wylde,4.0,28.5,2.1,311,,22.96,1006656808,400,Maiden,the gardens,2024-03-15,poo,poo
5.0,trixie bella,5.0,27.3,12.0,755,,23.74,1006656808,400,Maiden,the gardens,2024-03-15,poo,poo
4.0,cousin vinnie,6.0,31.0,41.0,674,,23.56,1006656808,400,Maiden,the gardens,2024-03-15,poo,poo
2.0,redeem a prize,7.0,29.2,5.0,233,,23.23,1006656808,400,Maiden,the gardens,2024-03-15,poo,poo
6.0,she's harlequin,8.0,27.3,61.0,566,,23.9,1006656808,400,Maiden,the gardens,2024-03-15,poo,poo
,butter my toast,,,1.0,,,,1006656809,400,6,the gardens,2024-03-15,poo,poo
3.0,great north,1.0,31.2,6.0,653,,23.64,1006656809,400,7,the gardens,2024-03-15,poo,poo
7.0,unleash the rage,2.0,32.6,23.0,887,,24.08,1006656809,400,7,the gardens,2024-03-15,poo,poo
1.0,butter my muffin,3.0,27.0,2.5,121,,23.17,1006656809,400,6,the gardens,2024-03-15,poo,poo
5.0,it's gold,4.0,28.3,19.0,335,,23.9,1006656809,400,7,the gardens,2024-03-15,poo,poo
6.0,hannah boaz,5.0,24.9,19.0,446,,24.03,1006656809,400,7,the gardens,2024-03-15,poo,poo
2.0,unleash tiger,6.0,28.6,4.4,212,,23.45,1006656809,400,7,the gardens,2024-03-15,poo,poo
8.0,special tricks,7.0,25.8,10.0,568,,24.18,1006656809,400,7,the gardens,2024-03-15,poo,poo
4.0,for the kids,8.0,25.7,5.0,774,,23.67,1006656809,400,7,the gardens,2024-03-15,poo,poo
,shadow doll,,,1.0,,,,1006656809,400,7,the gardens,2024-03-15,poo,poo
,butter my toast,,,1.0,,,,1006656810,400,6,the gardens,2024-03-15,poo,poo
4.0,big red miyagi,1.0,29.8,3.5,566,,23.78,1006656810,400,7,the gardens,2024-03-15,poo,poo
5.0,casual tash,2.0,26.6,11.0,655,,23.84,1006656810,400,7,the gardens,2024-03-15,poo,poo
7.0,brenton barnacle,3.0,30.8,6.5,777,,23.93,1006656810,400,7,the gardens,2024-03-15,poo,poo
6.0,soul panoramic,4.0,26.4,5.5,888,,23.86,1006656810,400,7,the gardens,2024-03-15,poo,poo
3.0,simply simon,5.0,34.2,26.0,244,,23.6,1006656810,400,7,the gardens,2024-03-15,poo,poo
2.0,limeburner topaz,6.0,27.2,8.0,112,,23.41,1006656810,400,7,the gardens,2024-03-15,poo,poo
1.0,smack water man,7.0,30.9,3.7,331,,23.37,1006656810,400,6,the gardens,2024-03-15,poo,poo
8.0,west on winlock,8.0,31.8,12.0,423,,24.02,1006656810,400,7,the gardens,2024-03-15,poo,poo
,shadow doll,,,1.0,,,,1006656810,400,7,the gardens,2024-03-15,poo,poo
,sunshine chick,,,1.0,,,,1006656811,400,7,the gardens,2024-03-15,poo,poo
1.0,butter my toast,1.0,24.7,7.5,111,,23.0,1006656811,400,6,the gardens,2024-03-15,poo,poo
3.0,redshift bravo,2.0,32.9,41.0,333,,23.52,1006656811,400,7,the gardens,2024-03-15,poo,poo
8.0,bella rory,3.0,29.0,26.0,668,,24.22,1006656811,400,7,the gardens,2024-03-15,poo,poo
6.0,once or twice,4.0,28.6,41.0,856,,23.94,1006656811,400,7,the gardens,2024-03-15,poo,poo
2.0,soul ablaze,5.0,24.8,2.8,222,,23.02,1006656811,400,7,the gardens,2024-03-15,poo,poo
5.0,bumpy's lad,6.0,33.9,4.4,485,,23.81,1006656811,400,7,the gardens,2024-03-15,poo,poo
4.0,larrakyah london,7.0,25.3,3.4,544,,23.65,1006656811,400,7,the gardens,2024-03-15,poo,poo
7.0,mulwee dave,8.0,29.4,8.5,777,,24.2,1006656811,400,7,the gardens,2024-03-15,poo,poo
,shadow doll,,,1.0,,,,1006656811,400,7,the gardens,2024-03-15,poo,poo
6.0,cerulean,1.0,28.1,19.0,776,5.25,30.73,1006656812,515,6,the gardens,2024-03-15,poo,poo
7.0,go juan,2.0,30.8,3.7,367,5.09,31.26,1006656812,515,7,the gardens,2024-03-15,poo,poo
2.0,fun,3.0,25.4,19.0,654,5.22,30.4,1006656812,515,7,the gardens,2024-03-15,poo,poo
1.0,quick to judge,4.0,32.7,2.0,422,5.12,30.32,1006656812,515,5,the gardens,2024-03-15,poo,poo
5.0,frankies girl,6.0,30.4,5.5,233,5.06,30.68,1006656812,515,7,the gardens,2024-03-15,poo,poo
3.0,jack's moon,7.0,28.8,7.0,111,5.04,30.42,1006656812,515,5,the gardens,2024-03-15,poo,poo
4.0,olsen gang,8.0,35.0,61.0,545,5.17,30.67,1006656812,515,6,the gardens,2024-03-15,poo,poo
,must see,,,1.0,,,,1006656813,515,6,the gardens,2024-03-15,poo,poo
3.0,jungle tiger,1.0,31.4,2.5,1412,5.14,30.45,1006656813,515,6,the gardens,2024-03-15,poo,poo
1.0,cawbourne spade,2.0,30.0,1.95,2121,5.1,30.06,1006656813,515,6,the gardens,2024-03-15,poo,poo
4.0,it's a promise,3.0,26.0,26.0,4644,5.23,30.49,1006656813,515,5,the gardens,2024-03-15,poo,poo
5.0,hot temper,6.0,24.3,12.0,3565,5.18,30.55,1006656813,515,6,the gardens,2024-03-15,poo,poo
2.0,tiny tayla,7.0,24.2,7.0,5333,5.13,30.35,1006656813,515,5,the gardens,2024-03-15,poo,poo
6.0,smart panama,8.0,29.9,41.0,6256,5.12,30.94,1006656813,515,7,the gardens,2024-03-15,poo,poo
4.0,max stappen,1.0,30.5,2.15,1113,4.87,30.24,1006656814,515,5,the gardens,2024-03-15,poo,poo
,glenreagh burner,2.0,35.3,51.0,3766,,,1006656814,515,5,the gardens,2024-03-15,poo,poo
