,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Lets Party (5),J Watson,26.33,0.0,5.62,2222.0,34.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
1,2,Ridleys Banner (4),D Curry,26.39,0.75,5.55,1111.0,35.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
2,3,Rackethall Alex (1),R Rotherham,26.49,2.0,5.64,3333.0,34.9kg,$0.00,435,A5,31/12/2023,pelaw-grange
3,4,Whitburn Wizard (3),H Burton,26.69,4.5,5.63,4444.0,29.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
4,5,Holdem Sheriff (6),M Sillars,27.21,11.0,5.73,5555.0,32.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
5,DNF,Great Diva (2),C J Murray,,,5.67,6000.0,29.3kg,,435,A5,31/12/2023,pelaw-grange
6,1,Master Distiller (5),Kerri-Lyn Harkness,30.36,0.0,5.57,11.0,32.9kg,$5.50,520,5,04/01/2024,albion-park
7,2,Bogie Dominator (7),Michael Brauer,30.58,3.0,5.7,64.0,34.6kg,$15.00,520,5,04/01/2024,albion-park
8,3,Smart Houdini (2),Paul Cauchi,30.72,5.25,5.65,42.0,26.3kg,$7.00,520,5,04/01/2024,albion-park
9,4,Where's The Ford (1),Noel Evans,30.74,5.25,5.72,83.0,31.4kg,$2.30,520,5,04/01/2024,albion-park
10,5,Mumma's Brew (3),Travis Elson,30.75,5.5,5.71,75.0,26.9kg,$9.00,520,5,04/01/2024,albion-park
11,6,Obliging Warren (6),Cynthia Elson,30.94,8.25,5.64,36.0,30.4kg,$4.80,520,5,04/01/2024,albion-park
12,7,Speedy Mint (4),Chad Bridge,31.03,9.5,5.69,57.0,32.2kg,$34.00,520,5,04/01/2024,albion-park
13,8,Once Again (8),Zane Prodan,31.37,14.25,5.6,28.0,32.2kg,$18.00,520,5,04/01/2024,albion-park
14,1,Sanisha (7),Tom Tzouvelis,35.07,0.0,10.0,42.0,28.3kg,$4.00,600,5,04/01/2024,albion-park
15,2,Kushti Bok (5),John Mccarthy,35.43,5.25,10.13,66.0,35.1kg,$6.00,600,5,04/01/2024,albion-park
16,3,Gattlin Glass (4),Trevor Lindsay,35.56,7.0,10.29,84.0,31.9kg,$34.00,600,5,04/01/2024,albion-park
17,4,Tiny Encounter (3),Raymond Burman,35.64,8.25,9.97,31.0,34.6kg,$10.00,600,5,04/01/2024,albion-park
18,5,Spiderbait (6),Warren Nicholls,35.73,9.25,10.18,77.0,29.5kg,$9.00,600,5,04/01/2024,albion-park
19,6,Stone Cold Blue (1),Robert Adams,36.02,13.5,9.86,13.0,33.2kg,$4.60,600,5,04/01/2024,albion-park
20,7,Sir Finley (8),Raymond Burman,36.15,15.5,10.12,58.0,36.0kg,$71.00,600,5,04/01/2024,albion-park
21,8,Book Of Love (2),Robert Ayres,36.39,18.75,9.95,25.0,30.3kg,$3.00,600,5,04/01/2024,albion-park
22,1,Little Critter (4),Leanne Hall,35.18,0.0,9.87,11.0,25.8kg,$26.00,600,X45,04/01/2024,albion-park
23,2,Jewel Bee (8),Raymond Burman,35.3,1.75,9.93,22.0,26.5kg,$12.00,600,X45,04/01/2024,albion-park
24,3,Professor Sirius (7),Trevor Lindsay,35.55,5.25,10.37,33.0,34.6kg,$19.00,600,X45,04/01/2024,albion-park
25,4,Letho Land (6),Matthew Bourke,35.82,9.25,10.65,44.0,24.7kg,$31.00,600,X45,04/01/2024,albion-park
