,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Lets Party (5),J Watson,26.33,0.0,5.62,2222.0,34.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
1,2,Ridleys Banner (4),D Curry,26.39,0.75,5.55,1111.0,35.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
2,3,Rackethall Alex (1),R Rotherham,26.49,2.0,5.64,3333.0,34.9kg,$0.00,435,A5,31/12/2023,pelaw-grange
3,4,Whitburn Wizard (3),H Burton,26.69,4.5,5.63,4444.0,29.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
4,5,Holdem Sheriff (6),M Sillars,27.21,11.0,5.73,5555.0,32.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
5,DNF,Great Diva (2),C J Murray,,,5.67,6000.0,29.3kg,,435,A5,31/12/2023,pelaw-grange
6,1,Fast Money (4),Tim Britton,31.01,0.0,5.87,42.0,32.4kg,$3.20,520,M,08/01/2024,albion-park
7,2,Rather Flash (2),John Mccarthy,31.16,2.0,5.74,21.0,32.6kg,$4.20,520,M,08/01/2024,albion-park
8,3,Billie Cash Kid (3),Christopher Brydon,31.49,6.75,5.75,33.0,28.2kg,$15.00,520,M,08/01/2024,albion-park
9,4,Henry Locksmith (7),Tim Britton,31.52,7.25,5.95,75.0,32.9kg,$8.50,520,M,08/01/2024,albion-park
10,5,Absolution (8),Trevor Lindsay,31.53,7.5,5.74,14.0,32.5kg,$15.00,520,M,08/01/2024,albion-park
11,6,Stellar Lass (6),Tim Britton,31.82,11.5,5.88,66.0,30.0kg,$9.50,520,M,08/01/2024,albion-park
12,7,Jimmy Giant (1),Tim Britton,31.88,12.25,5.87,57.0,35.0kg,$3.30,520,M,08/01/2024,albion-park
13,8,Raider (5),Trevor Lindsay,32.12,15.75,5.97,88.0,34.5kg,$41.00,520,M,08/01/2024,albion-park
14,1,Circle The Sky (2),Martina Kirillidis,30.88,0.0,5.67,35.0,34.8kg,$9.50,520,N,08/01/2024,albion-park
15,2,Speedy Scrub (1),Travis Elson,30.93,0.75,5.72,41.0,25.6kg,$3.30,520,N,08/01/2024,albion-park
16,3,Sydney Surcharge (3),Jamie Hosking,31.01,1.75,5.59,12.0,27.2kg,$3.80,520,N,08/01/2024,albion-park
17,4,Serrai (4),Tom Tzouvelis,31.04,2.25,5.62,24.0,27.5kg,$3.20,520,N,08/01/2024,albion-park
18,5,No Ordinary Gal (8),Jayson Valentine,31.1,3.0,5.84,86.0,29.4kg,$5.00,520,N,08/01/2024,albion-park
19,6,Comical Hope (7),Andrew Pearce,31.21,4.75,5.79,77.0,25.3kg,$61.00,520,N,08/01/2024,albion-park
20,7,Oak's Best (6),Albert Kennewell,31.28,5.75,5.78,63.0,27.5kg,$41.00,520,N,08/01/2024,albion-park
21,8,Arapaho Malt (5),Graham Hall,31.6,10.25,5.74,58.0,30.1kg,$81.00,520,N,08/01/2024,albion-park
22,1,Doing Fine (6),Michael Patterson,30.35,0.0,5.74,42.0,30.1kg,$3.60,520,N,08/01/2024,albion-park
23,2,Blackjack Cal (7),Warren Nicholls,30.98,9.0,5.82,63.0,30.5kg,$2.80,520,N,08/01/2024,albion-park
24,3,City Steamer (1),Albert Kennewell,31.15,11.5,5.62,11.0,25.5kg,$12.00,520,N,08/01/2024,albion-park
25,4,Copacetic (8),Stephen McDermott,31.3,13.5,5.68,35.0,30.8kg,$6.00,520,N,08/01/2024,albion-park
