,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Who's A Picture (6),Terence Jordan,23.25,0.0,8.67,3321.0,34.4kg,$2.40,411,X45,05/10/2023,casino
1,2,Burringbar Boys (2),Robert Andrews,23.29,0.75,8.5,1112.0,30.5kg,$6.00,411,X45,05/10/2023,casino
2,3,Choose Well (1),John Hewett,23.56,4.25,8.84,7643.0,26.3kg,$8.50,411,X45,05/10/2023,casino
3,4,Amber Jack (7),John Hewett,23.84,8.25,8.79,6554.0,29.2kg,$3.50,411,X45,05/10/2023,casino
4,5,Bomber Stan (8),Frank Hancock,23.84,8.25,8.71,5465.0,32.5kg,$7.00,411,X45,05/10/2023,casino
5,6,Primero (4),John Hewett,23.87,8.75,8.65,4236.0,29.2kg,$15.00,411,X45,05/10/2023,casino
6,7,Miss Dudette (3),Gregory Hancock,23.95,10.0,8.97,2777.0,28.1kg,$21.00,411,X45,05/10/2023,casino
7,1,Sweet City Boy (2),Raymond Holt,17.23,0.0,5.4,11.0,36.1kg,$1.80,297,M,05/10/2023,dapto
8,2,Batgirl (7),Joseph Baldacchino,17.48,3.5,5.55,42.0,29.4kg,$13.00,297,M,05/10/2023,dapto
9,3,Spinner Kade (6),Peter Sims,17.52,4.25,5.5,23.0,27.8kg,$4.25,297,M,05/10/2023,dapto
10,4,Jilliby Jewel (8),Barry Harmey,17.62,5.5,5.5,34.0,28.7kg,$81.00,297,M,05/10/2023,dapto
11,5,Ronda Roundhouse (3),Patrick Mulrine,17.66,6.0,5.63,75.0,26.9kg,$9.00,297,M,05/10/2023,dapto
12,6,She's Silky (5),Billy McGovern,17.74,7.25,5.61,66.0,25.0kg,$14.00,297,M,05/10/2023,dapto
13,7,Pop's Wish (4),Kylie Insull,18.05,11.75,5.61,57.0,25.7kg,$41.00,297,M,05/10/2023,dapto
14,8,Hyped Up Charli (1),Darrin Croser,18.56,19.0,5.86,88.0,28.2kg,$9.00,297,M,05/10/2023,dapto
15,1,Overflow Jill (5),Craig Chappelow,30.03,0.0,5.38,111.0,28.6kg,$2.25,520,M,05/10/2023,dapto
16,2,Bad Bart (8),Neville Brown,30.22,2.5,5.54,422.0,32.4kg,$8.00,520,M,05/10/2023,dapto
17,3,He's Unsure (2),Billy McGovern,30.41,5.25,5.51,233.0,33.5kg,$2.25,520,M,05/10/2023,dapto
18,4,Zipping Ada (7),Michael Hardman,30.49,6.5,5.52,344.0,25.3kg,$18.00,520,M,05/10/2023,dapto
19,5,Lady Sif (1),Fay Wotton,31.44,20.25,5.6,555.0,26.6kg,$41.00,520,M,05/10/2023,dapto
20,6,Zipping Jacinta (4),Michael Hardman,31.46,20.25,5.66,666.0,28.3kg,$9.50,520,M,05/10/2023,dapto
21,1,Ninja Mac (1),Ronald Alcock,16.94,0.0,5.33,11.0,33.9kg,$1.50,297,NG,05/10/2023,dapto
22,2,Fernando Mae (4),Angela Murray,17.05,1.5,5.44,32.0,33.3kg,$13.00,297,NG,05/10/2023,dapto
23,3,Ameena's Odyssey (8),Donnaleah Carter,17.16,3.0,5.49,43.0,33.6kg,$41.00,297,NG,05/10/2023,dapto
24,4,Next Of Kin (7),Penny Hutchinson,17.2,3.75,5.42,24.0,29.5kg,$11.00,297,NG,05/10/2023,dapto
25,5,Bingo Fuel (5),Penny Hutchinson,17.62,9.75,5.58,55.0,32.0kg,$4.25,297,NG,05/10/2023,dapto
26,6,Zander (2),Paul Camilleri,19.09,30.5,5.67,66.0,31.6kg,$13.00,297,NG,05/10/2023,dapto
27,1,Ebony Panda (5),Ronald Alcock,17.06,0.0,5.34,21.0,30.0kg,$5.00,297,X34,05/10/2023,dapto
28,2,Oro Rojo (1),Subawa Ngurah,17.15,1.25,5.34,12.0,26.7kg,$1.70,297,X34,05/10/2023,dapto
29,3,Holtorf Bale (4),Simon Rhodes,17.16,1.5,5.45,43.0,32.4kg,$4.50,297,X34,05/10/2023,dapto
30,4,Ebony Moss (7),Ronald Alcock,17.29,3.25,5.4,34.0,32.8kg,$13.00,297,X34,05/10/2023,dapto
31,5,Galen Bale (2),Simon Rhodes,17.3,3.5,5.48,55.0,26.0kg,$13.00,297,X34,05/10/2023,dapto
32,6,Skedaddle Lucy (8),Mark Suttle,17.5,6.25,5.52,66.0,23.7kg,$26.00,297,X34,05/10/2023,dapto
33,1,All For Irish (7),Ronald Alcock,17.22,0.0,5.4,31.0,33.0kg,$3.50,297,X45,05/10/2023,dapto
34,2,Mount York (6),Charlie Micallef,17.29,1.0,5.39,22.0,32.5kg,$34.00,297,X45,05/10/2023,dapto
35,3,Julipa Bale (5),Simon Rhodes,17.46,3.5,5.36,13.0,27.8kg,$11.00,297,X45,05/10/2023,dapto
36,4,Black Chilli (8),Amanda Brunton,17.48,3.75,5.52,64.0,34.9kg,$2.60,297,X45,05/10/2023,dapto
37,5,Purnia Bale (1),Simon Rhodes,17.52,4.25,5.48,55.0,30.7kg,$4.25,297,X45,05/10/2023,dapto
38,6,Porch Pirate (4),Penny Hutchinson,17.56,4.75,5.44,46.0,30.0kg,$11.00,297,X45,05/10/2023,dapto
39,7,Udella Bale (2),Simon Rhodes,17.65,6.0,5.59,87.0,28.4kg,$41.00,297,X45,05/10/2023,dapto
40,8,Takahi Chisum (3),John Boersma,17.69,6.5,5.52,78.0,33.3kg,$26.00,297,X45,05/10/2023,dapto
41,1,Shanghai Suzie (2),Gregory Remfry,30.13,0.0,5.43,111.0,27.1kg,$1.70,520,X45,05/10/2023,dapto
42,2,Mowski Bella (4),Denice Warren,30.16,0.5,5.59,732.0,24.9kg,$11.00,520,X45,05/10/2023,dapto
43,3,Zeroed In (3),Patricia Chaker,30.22,1.25,5.53,323.0,25.5kg,$31.00,520,X45,05/10/2023,dapto
44,4,Matter Of Fact (1),Amanda Brunton,30.33,2.75,5.46,244.0,25.8kg,$6.00,520,X45,05/10/2023,dapto
45,5,Charisma Girl (6),Denice Warren,30.42,4.25,5.54,565.0,28.3kg,$15.00,520,X45,05/10/2023,dapto
46,6,Lochinvar Hawk (7),Ruth King,30.84,10.0,5.56,676.0,30.5kg,$5.00,520,X45,05/10/2023,dapto
47,7,Pattaya Pete (8),Mathew Wotton,30.91,11.0,5.53,457.0,33.4kg,$24.00,520,X45,05/10/2023,dapto
48,1,Mr. Magic Man (4),Barry Harmey,30.21,0.0,5.39,111.0,33.7kg,$61.00,520,5,05/10/2023,dapto
49,2,Aussie Summer (6),Marie Burton,30.22,0.1,5.56,522.0,33.2kg,$7.50,520,5,05/10/2023,dapto
50,3,Septimus (8),Wayne Sugars,30.35,2.0,5.57,643.0,33.8kg,$8.00,520,5,05/10/2023,dapto
51,4,Infrared Rays (2),Denice Warren,30.41,2.75,5.45,234.0,30.9kg,$2.60,520,5,05/10/2023,dapto
52,5,Winsome Milo (7),Marie Burton,30.63,6.0,5.48,365.0,30.4kg,$5.50,520,5,05/10/2023,dapto
53,6,Sister Art (3),Andrew Rowe,30.64,6.0,5.49,456.0,28.0kg,$4.50,520,5,05/10/2023,dapto
54,7,Barney Big Ears (1),Barry Harmey,30.74,7.5,5.63,777.0,34.0kg,$9.00,520,5,05/10/2023,dapto
55,1,Bandit Dan (6),Peter Sims,30.49,0.0,5.57,421.0,35.5kg,$4.40,520,5,05/10/2023,dapto
56,2,Jett Khan (7),Daniel Gatt,30.88,5.5,5.65,742.0,37.5kg,$3.40,520,5,05/10/2023,dapto
57,3,Haney To Excel (3),Allen Williams,30.95,6.5,5.51,113.0,39.0kg,$2.90,520,5,05/10/2023,dapto
58,4,Mount Tate (4),Charlie Micallef,30.98,7.0,5.55,354.0,28.6kg,$31.00,520,5,05/10/2023,dapto
59,5,Masterful Mia (8),Neville Brown,31.01,7.5,5.6,575.0,26.1kg,$5.50,520,5,05/10/2023,dapto
60,6,Black Book (2),Fay Wotton,31.41,13.25,5.6,666.0,31.6kg,$41.00,520,5,05/10/2023,dapto
61,7,Ritza Lewis (1),Victor Ellul,31.45,13.75,5.54,237.0,33.6kg,$11.00,520,5,05/10/2023,dapto
62,1,Rampani (2),Peter Sims,34.61,0.0,9.48,111.0,32.2kg,$2.75,600,5,05/10/2023,dapto
63,2,Leg Speed (8),Mark Gatt,34.88,3.75,9.9,322.0,36.0kg,$2.40,600,5,05/10/2023,dapto
64,3,Farmor Order (1),Patricia Chaker,35.03,6.0,9.91,443.0,31.9kg,$9.50,600,5,05/10/2023,dapto
65,4,Lochinvar Pearl (4),Ruth King,35.4,11.25,10.0,654.0,25.9kg,$5.50,600,5,05/10/2023,dapto
66,5,Code Blue Tom (5),Mark Bell,35.61,14.25,9.98,565.0,30.9kg,$13.00,600,5,05/10/2023,dapto
67,6,Boy Serious (6),Marie Burton,35.72,15.75,10.12,776.0,28.5kg,$61.00,600,5,05/10/2023,dapto
68,7,Traces (3),Kevin Keys,35.85,17.75,9.82,237.0,29.4kg,$67.00,600,5,05/10/2023,dapto
69,1,Beth Dutton (6),Allen Williams,16.85,0.0,5.27,11.0,28.2kg,$2.10,297,5,05/10/2023,dapto
70,2,Tia's Babe (1),Ronald Alcock,17.29,6.25,5.4,22.0,25.8kg,$9.00,297,5,05/10/2023,dapto
71,3,Takahi Tiger (5),John Boersma,17.47,8.75,5.51,53.0,33.6kg,$34.00,297,5,05/10/2023,dapto
72,4,Cracker Lenny (8),Barry Harmey,17.53,9.75,5.49,44.0,35.2kg,$51.00,297,5,05/10/2023,dapto
73,5,Zambora Nut (2),Clifford Bell,17.6,10.5,5.46,35.0,35.6kg,$9.00,297,5,05/10/2023,dapto
74,6,Opa's Girls (3),Emma Kitchen,17.7,12.25,5.56,66.0,29.1kg,$101.00,297,5,05/10/2023,dapto
75,7,Berry Battler (7),Mathew Wotton,17.84,14.0,5.58,77.0,30.4kg,$4.75,297,5,05/10/2023,dapto
76,8,Vantage Point (4),Peter Sims,17.87,14.5,5.59,88.0,26.5kg,$4.30,297,5,05/10/2023,dapto
77,1,Little Hyped (4),Jane Mortimer,17.39,0.0,5.43,21.0,26.4kg,$4.25,297,5,05/10/2023,dapto
