,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Lets Party (5),J Watson,26.33,0.0,5.62,2222.0,34.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
1,2,Ridleys Banner (4),D Curry,26.39,0.75,5.55,1111.0,35.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
2,3,Rackethall Alex (1),R Rotherham,26.49,2.0,5.64,3333.0,34.9kg,$0.00,435,A5,31/12/2023,pelaw-grange
3,4,Whitburn Wizard (3),H Burton,26.69,4.5,5.63,4444.0,29.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
4,5,Holdem Sheriff (6),M Sillars,27.21,11.0,5.73,5555.0,32.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
5,DNF,Great Diva (2),C J Murray,,,5.67,6000.0,29.3kg,,435,A5,31/12/2023,pelaw-grange
6,1,Speedy Scrub (2),Travis Elson,30.39,0.0,5.5,11.0,25.2kg,$4.40,520,N,18/01/2024,albion-park
7,2,Cleopatra Hayze (4),Sandra Hunt,30.39,0.03,5.74,75.0,25.2kg,$3.40,520,N,18/01/2024,albion-park
8,3,Sydney Surcharge (3),Jamie Hosking,30.4,0.13,5.59,22.0,26.9kg,$9.50,520,N,18/01/2024,albion-park
9,4,Howdy Hope (5),Cynthia Elson,30.66,3.75,5.74,66.0,26.0kg,$23.00,520,N,18/01/2024,albion-park
10,5,Gubbio (7),Stephen Rolph,30.71,4.5,5.6,33.0,31.2kg,$8.00,520,N,18/01/2024,albion-park
11,6,Serrai (1),Tom Tzouvelis,30.83,6.25,5.65,44.0,27.6kg,$2.50,520,N,18/01/2024,albion-park
12,7,Blue Steel (6),Jamie Hosking,30.84,6.25,5.89,88.0,25.4kg,$34.00,520,N,18/01/2024,albion-park
13,8,City Steamer (8),Albert Kennewell,30.98,8.25,5.68,57.0,25.7kg,$101.00,520,N,18/01/2024,albion-park
14,1,Cincinnati Hope (7),Cynthia Elson,30.36,0.0,5.67,22.0,27.8kg,$4.20,520,MA5,18/01/2024,albion-park
15,2,Seldom Seen Kid (8),A Webb,30.53,2.25,5.76,55.0,29.1kg,$11.00,520,MA5,18/01/2024,albion-park
16,3,Hopeful Lana (3),Cynthia Elson,30.8,6.25,5.7,31.0,28.3kg,$3.20,520,MA5,18/01/2024,albion-park
17,4,Maywyn Idris (4),Robert Essex,30.9,7.75,5.91,78.0,27.6kg,$8.00,520,MA5,18/01/2024,albion-park
18,5,Zipping Demi (2),Warren Nicholls,30.92,8.0,5.6,14.0,26.9kg,$4.00,520,MA5,18/01/2024,albion-park
19,6,My Genie (5),Renald Attard,31.1,10.5,5.98,87.0,28.2kg,$12.00,520,MA5,18/01/2024,albion-park
20,7,Roxy Tequila (1),C Buhner,31.32,13.75,5.85,66.0,30.5kg,$23.00,520,MA5,18/01/2024,albion-park
21,8,High Torque (6),Albert Kennewell,36.24,84.0,5.73,43.0,28.4kg,$13.00,520,MA5,18/01/2024,albion-park
22,1,I'm Peakin' (5),Jedda Cutlack,30.26,0.0,5.54,11.0,33.3kg,$8.00,520,5,18/01/2024,albion-park
23,2,Balmy Nights (2),John Mccarthy,30.41,2.0,5.55,32.0,24.0kg,$10.00,520,5,18/01/2024,albion-park
24,3,Bye Bye Swiper (4),Casey Dargusch,30.49,3.25,5.72,63.0,33.1kg,$2.50,520,5,18/01/2024,albion-park
