,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Laughing Les (5),Sidney Goodwin,22.61,0.0,10.51,2.0,32.8kg,$5.50,395,5,09/10/2023,albion-park
1,2,Bella Bunyip (7),Ashley Walsh,23.0,5.5,10.46,1.0,24.8kg,$10.00,395,5,09/10/2023,albion-park
2,3,Money Man Tszyu (2),Marie-Madeleine Westwood,23.1,7.0,10.92,3.0,31.8kg,$10.00,395,5,09/10/2023,albion-park
3,4,Refulgent (8),Raymond Burman,23.36,10.5,11.13,5.0,35.0kg,$4.50,395,5,09/10/2023,albion-park
4,5,Turbo Blaster (1),Marie-Madeleine Westwood,23.45,12.0,11.0,4.0,29.6kg,$4.50,395,5,09/10/2023,albion-park
5,6,Who's Rose (6),Cynthia Elson,23.54,13.25,11.25,6.0,27.1kg,$5.00,395,5,09/10/2023,albion-park
6,7,Atomic Cyndie (3),Andrew Pearce,23.87,18.0,11.28,7.0,28.9kg,$41.00,395,5,09/10/2023,albion-park
7,8,Taming Strange (4),Darren Taylor,23.91,18.5,11.3,8.0,27.0kg,$5.00,395,5,09/10/2023,albion-park
8,1,Sir Prince (5),Ashlee Griffiths,19.9,0.0,4.7,331.0,28.3kg,$1.40,342,M,09/10/2023,angle-park
9,2,Brindle Benny (7),Cheryl Herman,20.04,2.0,4.63,222.0,28.7kg,$4.50,342,M,09/10/2023,angle-park
10,3,Zip Zip Away (1),Robin Harnas,20.1,2.75,4.56,113.0,29.0kg,$5.00,342,M,09/10/2023,angle-park
11,4,Coobowie Boy (8),Robert Isaacson,20.78,12.5,4.77,654.0,29.5kg,$41.00,342,M,09/10/2023,angle-park
12,5,Sassy Lexi (2),Adam Manton,20.8,12.75,4.76,545.0,28.9kg,$34.00,342,M,09/10/2023,angle-park
13,6,Hello Coco (4),Brenda Oakey,20.8,12.75,4.68,466.0,25.4kg,$21.00,342,M,09/10/2023,angle-park
14,1,Rocamora (8),Ben Rawlings,20.0,0.0,4.54,111.0,31.0kg,$1.55,342,M,09/10/2023,angle-park
15,2,Rockin' Ollie (1),Cameron Forshaw,20.17,2.25,4.62,222.0,26.5kg,$5.00,342,M,09/10/2023,angle-park
16,3,Little Bit Sassy (5),Adam Manton,20.77,11.0,4.78,633.0,26.7kg,$23.00,342,M,09/10/2023,angle-park
17,4,Money's On Me (7),Ashlee Griffiths,20.94,13.25,4.72,344.0,27.3kg,$4.00,342,M,09/10/2023,angle-park
