,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Rockin' Ollie (1),Cameron Forshaw,19.83,0.0,4.51,,27.0kg,$2.20,342,RW,25/11/2023,angle-park
1,2,They're Yours (6),Kym Burnett,19.9,1.0,4.61,,31.2kg,$6.00,342,RW,25/11/2023,angle-park
2,3,Blue Horizon (5),Robert Isaacson,20.01,2.5,4.75,,27.5kg,$24.00,342,RW,25/11/2023,angle-park
3,4,Talent Scout (3),Leanne Fagan,20.3,6.5,4.67,,34.8kg,$12.00,342,RW,25/11/2023,angle-park
4,5,Palace Prince (8),Angela Modra,20.4,8.25,4.83,,31.9kg,$7.50,342,RW,25/11/2023,angle-park
5,6,Ultimate Chaos (2),Ben Rawlings,20.59,10.75,4.77,,36.7kg,$4.00,342,RW,25/11/2023,angle-park
6,7,Emily Eclipse (7),Clint Trengove,20.7,12.25,4.83,,26.3kg,$90.00,342,RW,25/11/2023,angle-park
7,8,Speedy Princess (4),Desmond Hockley,20.77,13.25,4.67,,27.3kg,$9.00,342,RW,25/11/2023,angle-park
8,1,Spicy Dynamic (4),Wayne Gray,22.51,0.0,8.69,M/21,32.2kg,$5.50,390,M,25/11/2023,ballarat
9,2,Charing Cross (1),Darren Fisher,22.72,3.01,8.62,M/12,29.1kg,$2.25,390,M,25/11/2023,ballarat
10,3,Turnpike Lane (2),Darren Fisher,23.05,7.71,8.81,S/45,23.9kg,$12.00,390,M,25/11/2023,ballarat
11,4,Super Potato (7),Jack Clarke,23.05,7.79,8.91,S/63,25.2kg,$13.00,390,M,25/11/2023,ballarat
12,5,Airborne Shaun (3),Travis Monaghan,23.08,8.17,8.82,M/54,28.2kg,$4.50,390,M,25/11/2023,ballarat
13,6,Cornhill Gypsy (5),Scott Gibson,23.09,8.34,8.8,M/37,27.1kg,$9.00,390,M,25/11/2023,ballarat
14,7,Sloane Square (6),Darren Fisher,23.35,12.07,8.91,M/78,27.7kg,$29.00,390,M,25/11/2023,ballarat
15,8,She's Not Right (8),Cameron Morris-flynn,23.35,12.09,8.97,M/86,26.7kg,$41.00,390,M,25/11/2023,ballarat
16,1,Ebon Coast (2),Rosalyn Hume,22.34,0.0,8.56,M/11,32.8kg,$1.60,390,7,25/11/2023,ballarat
17,2,Kayden's Cuddles (5),Cody Hose,22.84,7.2,8.88,Q/33,25.8kg,$12.00,390,7,25/11/2023,ballarat
18,3,Max Inferno (3),Travis Walker,22.87,7.51,8.81,M/22,31.0kg,$12.00,390,7,25/11/2023,ballarat
19,4,Inward Harmony (1),Colin Baker,23.12,11.21,9.02,M/44,27.8kg,$34.00,390,7,25/11/2023,ballarat
20,5,Baldo (8),Murray Collyer,23.42,15.47,9.07,Q/66,33.0kg,$24.00,390,7,25/11/2023,ballarat
21,6,Coalman Jack (6),Jordan Cooper,23.47,16.1,9.02,Q/55,31.6kg,$3.00,390,7,25/11/2023,ballarat
22,7,Mo City (7),Justin Jacobs,23.8,20.91,9.13,M/77,33.3kg,$81.00,390,7,25/11/2023,ballarat
