,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Uno Cha Cha (8),Noel Murdoch,23.15,0.0,10.73,3.0,23.5kg,$4.00,395,MA5,22/11/2023,albion-park
1,2,Nightmare Moon (6),John Hutchinson,23.35,2.75,10.89,4.0,30.6kg,$6.50,395,MA5,22/11/2023,albion-park
2,3,Cha Cha Zac (4),Noel Murdoch,23.35,2.75,11.09,6.0,27.4kg,$4.00,395,MA5,22/11/2023,albion-park
3,4,Flat Tyre (2),Andrew Pearce,23.37,3.0,10.65,1.0,28.2kg,$34.00,395,MA5,22/11/2023,albion-park
4,5,Powder Keg (7),Stephen Woods,23.39,3.5,10.7,2.0,28.6kg,$51.00,395,MA5,22/11/2023,albion-park
5,6,Gus Gus (3),Eric Honeyman,23.44,4.25,11.04,5.0,36.9kg,$17.00,395,MA5,22/11/2023,albion-park
6,7,Lucky Lance (5),Robert Ayres,23.51,5.25,11.18,8.0,34.7kg,$11.00,395,MA5,22/11/2023,albion-park
7,8,Hozier Monelli (1),Gary Keep,23.52,5.25,11.16,7.0,34.6kg,$2.80,395,MA5,22/11/2023,albion-park
8,1,Fearsome Flirt (2),Lisa Delbridge,22.21,0.0,8.43,Q/11,32.6kg,$1.33,390,M,22/11/2023,ballarat
9,2,Ballan Brumby (5),Joseph Pace,23.03,11.71,9.24,M/66,32.8kg,$6.50,390,M,22/11/2023,ballarat
10,3,Hillbilly Rocky (1),Michael Hendy,23.06,12.11,8.71,Q/22,25.7kg,$15.00,390,M,22/11/2023,ballarat
11,4,Starlight Jewel (3),Ross Boag,23.11,12.94,8.96,Q/43,26.9kg,$18.00,390,M,22/11/2023,ballarat
12,5,Here For Glory (4),Steven Chircop,23.15,13.47,8.75,M/34,28.6kg,$29.00,390,M,22/11/2023,ballarat
13,6,Go Now (6),Marcus Lloyd,23.27,15.17,9.48,S/75,31.8kg,$17.00,390,M,22/11/2023,ballarat
14,7,Aston Truman (8),Samantha Grenfell,23.46,17.87,9.49,S/87,32.8kg,$18.00,390,M,22/11/2023,ballarat
15,8,Kevin's Boy (7),Kevin Ross,23.56,19.29,9.17,M/58,32.7kg,$34.00,390,M,22/11/2023,ballarat
16,1,Rowlf (7),Bruce Stirling,22.32,0.0,8.63,M/22,32.2kg,$1.70,390,M,22/11/2023,ballarat
17,2,El Dora (8),Ebony Deglaitis,22.33,0.04,8.35,M/11,28.0kg,$14.00,390,M,22/11/2023,ballarat
18,3,Blue Bush (5),Benjamin Magri,22.59,3.76,8.75,M/33,30.8kg,$4.40,390,M,22/11/2023,ballarat
19,4,Shore's Pick (1),Daniel Gibbons,22.86,7.64,8.75,M/44,27.6kg,$4.75,390,M,22/11/2023,ballarat
20,5,Aston Ophelia (4),Correy Grenfell,23.1,11.09,8.96,S/65,28.1kg,$61.00,390,M,22/11/2023,ballarat
21,6,Miss Boom (2),Kevin Ross,23.28,13.64,9.24,S/88,26.8kg,$41.00,390,M,22/11/2023,ballarat
22,7,Rockhampton Emma (3),James Forbes,23.53,17.29,9.07,Q/77,28.2kg,$19.00,390,M,22/11/2023,ballarat
