,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Lets Party (5),J Watson,26.33,0.0,5.62,2222.0,34.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
1,2,Ridleys Banner (4),D Curry,26.39,0.75,5.55,1111.0,35.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
2,3,Rackethall Alex (1),R Rotherham,26.49,2.0,5.64,3333.0,34.9kg,$0.00,435,A5,31/12/2023,pelaw-grange
3,4,Whitburn Wizard (3),H Burton,26.69,4.5,5.63,4444.0,29.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
4,5,Holdem Sheriff (6),M Sillars,27.21,11.0,5.73,5555.0,32.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
5,DNF,Great Diva (2),C J Murray,,,5.67,6000.0,29.3kg,,435,A5,31/12/2023,pelaw-grange
6,1,Swift Mike (1),Cynthia Elson,23.32,0.0,10.77,2.0,29.8kg,$1.30,395,PM,31/01/2024,albion-park
7,2,Azir (4),Anne Clelland,23.41,1.25,10.71,1.0,31.8kg,$41.00,395,PM,31/01/2024,albion-park
8,3,Daisy Agnes (5),Craig Cassidy,23.89,8.25,11.05,5.0,24.2kg,$31.00,395,PM,31/01/2024,albion-park
9,4,Red Hot Kiwi (2),Lindsay Joyce,23.91,8.25,11.04,4.0,28.3kg,$4.00,395,PM,31/01/2024,albion-park
10,5,Piccolo Girl (7),Andrew Hagicostas,23.92,8.5,10.94,3.0,24.6kg,$34.00,395,PM,31/01/2024,albion-park
11,6,Western Hawk (8),Christopher Riordon,24.0,9.75,11.18,6.0,37.6kg,$15.00,395,PM,31/01/2024,albion-park
12,7,Rab Ruadh Mary (3),Cyril McGregor,24.16,12.0,11.31,7.0,25.6kg,$26.00,395,PM,31/01/2024,albion-park
13,1,Daysea's Kurt (5),Claude Dacey,23.13,0.0,10.68,1.0,30.3kg,$17.00,395,M,31/01/2024,albion-park
14,2,Adjourned (8),Gregory Stella,23.3,2.25,10.89,4.0,33.1kg,$3.60,395,M,31/01/2024,albion-park
15,3,Howdy Warren (4),Cynthia Elson,23.47,4.75,10.82,2.0,29.9kg,$6.00,395,M,31/01/2024,albion-park
16,4,Howdy Doody (1),Garry Gilbert,23.52,5.5,10.85,3.0,31.3kg,$5.50,395,M,31/01/2024,albion-park
17,5,Salute (3),Warren Nicholls,23.58,6.25,10.98,5.0,31.3kg,$2.30,395,M,31/01/2024,albion-park
18,6,Baytown Gracie (2),Warren Nicholls,23.7,8.25,11.04,6.0,28.6kg,$18.00,395,M,31/01/2024,albion-park
19,7,Bonny Boy (6),Neil Demnar,23.95,11.75,11.07,7.0,31.3kg,$31.00,395,M,31/01/2024,albion-park
20,8,Gold Pass (7),Michael Edwards,24.18,15.0,11.29,8.0,30.6kg,$81.00,395,M,31/01/2024,albion-park
21,1,Elodie Rose (2),Robert Ayres,23.14,0.0,10.83,1.0,26.0kg,$14.00,395,M,31/01/2024,albion-park
22,2,Daysea's Kirby (8),Claude Dacey,23.39,3.5,11.01,2.0,31.8kg,$2.25,395,M,31/01/2024,albion-park
23,3,Swift Bill (3),Cynthia Elson,23.7,8.0,11.08,4.0,31.8kg,$3.30,395,M,31/01/2024,albion-park
24,4,Toss The Coin (7),Warren Nicholls,24.01,12.25,11.32,7.0,34.1kg,$19.00,395,M,31/01/2024,albion-park
