,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Oscar Moses (4),Jason Magri,22.34,0.0,6.41,2111.0,37.6kg,$1.45,400,X45,12/12/2023,bulli
1,2,Leonidas (3),Donna Campbell,22.59,3.5,6.47,3222.0,33.9kg,$3.50,400,X45,12/12/2023,bulli
2,3,Harrison Keeping (8),James Cortis,22.99,9.25,6.6,5333.0,35.2kg,$17.00,400,X45,12/12/2023,bulli
3,4,Talented Lady (6),Vincent Murray,23.27,13.25,6.62,6544.0,30.1kg,$8.50,400,X45,12/12/2023,bulli
4,5,Te Hiko (1),David Robertson,23.46,16.0,6.83,1655.0,32.5kg,$41.00,400,X45,12/12/2023,bulli
5,6,Another Bella (5),Vincent Spiteri,23.98,23.5,6.6,4466.0,26.9kg,$31.00,400,X45,12/12/2023,bulli
6,7,Sanguine (2),Shane Pulbrook,24.33,28.25,6.87,7777.0,32.5kg,$101.00,400,X45,12/12/2023,bulli
7,1,Aston Allure (7),Benjamin Magri,23.04,0.0,8.61,M31,25.1kg,$2.40,400,M,12/12/2023,geelong
8,2,Yum Cha Mac (1),Robert Hayes,23.12,1.13,8.5,Q12,36.7kg,$2.90,400,M,12/12/2023,geelong
9,3,Riverdale Turbo (8),Cathrine Abela,23.45,5.75,8.55,M23,32.8kg,$14.00,400,M,12/12/2023,geelong
10,4,Mala Angel (2),Jason Sharp,23.64,8.57,8.96,M67,25.4kg,$6.00,400,M,12/12/2023,geelong
11,5,Jeff The Man (6),John Frewin,23.65,8.71,8.89,M54,29.9kg,$41.00,400,M,12/12/2023,geelong
12,6,Laia Bale (4),Jennifer Torr,23.71,9.57,8.83,M45,28.2kg,$13.00,400,M,12/12/2023,geelong
13,7,Shady Girl (3),Elaine Johannsen,23.77,10.36,9.1,M86,26.6kg,$14.00,400,M,12/12/2023,geelong
14,8,Deal Breaker (5),Kenneth Howat,24.09,14.93,9.01,S78,31.3kg,$51.00,400,M,12/12/2023,geelong
