,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Back Seat Betty (3),Sidney Goodwin,19.14,0.0,7.1,1.0,25.6kg,$1.90,331,MA5,08/10/2023,albion-park
1,2,Kenzo Fernando (7),Nicole Peters,19.44,4.25,7.24,3.0,32.4kg,$6.00,331,MA5,08/10/2023,albion-park
2,3,High Suite (4),Andrew Pearce,19.59,6.25,7.37,5.0,29.5kg,$8.00,331,MA5,08/10/2023,albion-park
3,4,Tuscany Cyndie (1),Andrew Pearce,19.7,8.0,7.33,4.0,28.6kg,$8.00,331,MA5,08/10/2023,albion-park
4,5,Cake Is Bad (6),Stephen Neary,19.71,8.25,7.45,6.0,28.7kg,$10.00,331,MA5,08/10/2023,albion-park
5,6,Cool Hand Jane (5),Sergio Livotto,19.78,9.25,7.54,8.0,25.6kg,$26.00,331,MA5,08/10/2023,albion-park
6,7,Sunset Matilda (2),Andrew Pearce,19.8,9.25,7.2,2.0,28.2kg,$12.00,331,MA5,08/10/2023,albion-park
7,8,Tuta Yankee (8),Cecil Druery,19.91,11.0,7.5,7.0,26.8kg,$17.00,331,MA5,08/10/2023,albion-park
8,1,Nineteen Crimes (4),Deb Carr,23.59,0.0,6.46,M/111,33.3kg,$10.00,425,SH,08/10/2023,bendigo
9,2,Journey Beyond (1),Kayla Cottrell,23.65,0.76,6.53,M/222,32.2kg,$1.40,425,SH,08/10/2023,bendigo
10,3,Mr. Blue Sky (8),Matthew Marshall,23.84,3.59,6.6,M/333,31.2kg,$41.00,425,SH,08/10/2023,bendigo
11,4,Fabs Udon (2),Thomas Dailly,24.03,6.29,6.72,M/444,35.4kg,$7.00,425,SH,08/10/2023,bendigo
12,5,Tiggerlong Gas (6),Samantha Grenfell,24.12,7.6,6.78,S/555,32.3kg,$31.00,425,SH,08/10/2023,bendigo
13,6,Exalted (3),Natalie Presutto,24.18,8.39,6.82,M/766,28.8kg,$6.50,425,SH,08/10/2023,bendigo
