,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Dixie Kath (2),John Corrigan,22.81,0.0,10.56,1.0,26.6kg,$2.90,395,MA5,18/10/2023,albion-park
1,2,Midnight Blast (3),Gary Keep,23.05,3.5,10.83,3.0,35.1kg,$2.70,395,MA5,18/10/2023,albion-park
2,3,Polly's Paws (4),Marie-Madeleine Westwood,23.23,6.0,10.73,2.0,23.3kg,$22.00,395,MA5,18/10/2023,albion-park
3,4,Back Seat Betty (8),Sidney Goodwin,23.37,8.0,10.85,4.0,25.9kg,$4.50,395,MA5,18/10/2023,albion-park
4,5,Louie Luxe (6),Sidney Goodwin,23.52,10.0,10.94,5.0,23.6kg,$17.00,395,MA5,18/10/2023,albion-park
5,6,Good Chat Mort (1),Karen Davies,23.72,13.0,11.08,7.0,30.8kg,$101.00,395,MA5,18/10/2023,albion-park
6,7,Rochill Amy (5),Michael Brauer,23.89,15.5,11.04,6.0,28.0kg,$12.00,395,MA5,18/10/2023,albion-park
7,8,Bless Shoe (7),Patricia Kent,23.9,15.5,11.12,8.0,23.9kg,$9.50,395,MA5,18/10/2023,albion-park
8,1,Homebush Alana (7),John Mcinerney,22.98,0.0,5.41,111.0,24.7kg,$12.00,390,C0,18/10/2023,ascot-park
9,2,Mitcham Millie (3),Ashley G Bradshaw,23.06,1.3,,222.0,30.6kg,$3.60,390,C0,18/10/2023,ascot-park
10,3,Marty Baxter (6),John Mcinerney,23.22,3.8,,333.0,30.7kg,$2.75,390,C0,18/10/2023,ascot-park
11,4,Homebush Amy (5),John Mcinerney,23.24,4.1,,544.0,28.4kg,$20.00,390,C0,18/10/2023,ascot-park
12,5,Epic Brutus (1),Jason E Dunn,23.38,6.4,,855.0,31.9kg,$4.40,390,C0,18/10/2023,ascot-park
13,6,Figured It Out (8),John Mcinerney,23.62,10.2,,666.0,27.4kg,$23.00,390,C0,18/10/2023,ascot-park
14,7,Impressive Luck (4),John Mcinerney,23.69,11.2,,477.0,30.8kg,$9.00,390,C0,18/10/2023,ascot-park
15,8,Homebush Molly (2),John Mcinerney,23.8,13.0,,788.0,27.4kg,$34.00,390,C0,18/10/2023,ascot-park
16,1,Neon Lights (3),John Mcinerney,22.69,0.0,5.34,111,26.1kg,$1.90,390,C0,18/10/2023,ascot-park
17,2,James Baxter (7),John Mcinerney,23.1,6.5,,322,31.3kg,$6.00,390,C0,18/10/2023,ascot-park
18,3,Mayfield Minx (8),Richard P Breen,23.15,7.3,,533,26.6kg,$13.00,390,C0,18/10/2023,ascot-park
19,4,Kylie Baxter (4),John Mcinerney,23.24,8.8,,244,24.0kg,$11.00,390,C0,18/10/2023,ascot-park
20,5,Epic Whetu (1),Jason E Dunn,23.34,10.3,,655,29.3kg,$7.00,390,C0,18/10/2023,ascot-park
21,6,Mitcham Johnny (6),Ashley G Bradshaw,23.48,12.6,,476,32.3kg,$7.00,390,C0,18/10/2023,ascot-park
22,7,Homebush Sally (5),John Mcinerney,23.7,16.1,,767,26.4kg,$61.00,390,C0,18/10/2023,ascot-park
23,DNF,May Baxter (2),John Mcinerney,,,,p,26.5kg,,390,C0,18/10/2023,ascot-park
24,1,Opawa Enya (6),Jason E Dunn,26.76,0.0,8.59,131.0,25.5kg,$2.90,457,C0,18/10/2023,ascot-park
25,2,Daddy Longlegs (4),Al Hart & Dj Voyce,26.81,0.8,,412.0,33.3kg,$1.70,457,C0,18/10/2023,ascot-park
26,3,Homebush Richie (1),John Mcinerney,26.92,2.6,,563.0,30.9kg,$41.00,457,C0,18/10/2023,ascot-park
27,4,Go Jock (8),Richard P Breen,26.99,3.6,,654.0,29.6kg,$18.00,457,C0,18/10/2023,ascot-park
28,5,Dom Baxter (2),John Mcinerney,27.0,3.8,,225.0,32.7kg,$13.00,457,C0,18/10/2023,ascot-park
29,6,Opawa Roxy (7),Jason E Dunn,27.03,4.3,,776.0,26.4kg,$11.00,457,C0,18/10/2023,ascot-park
30,7,Miss Maudie (3),John Mcinerney,27.46,11.1,,347.0,24.7kg,$61.00,457,C0,18/10/2023,ascot-park
31,1,Sir Clive (8),Richard P Breen,23.09,0.0,,611.0,31.5kg,$2.10,390,C2,18/10/2023,ascot-park
32,2,Homebush Leah (1),John Mcinerney,23.18,1.5,5.39,122.0,31.2kg,$20.00,390,C2,18/10/2023,ascot-park
33,3,Homebush Cardi (2),John Mcinerney,23.22,2.0,,333.0,25.5kg,$5.00,390,C2,18/10/2023,ascot-park
34,4,Homebush Shady (5),John Mcinerney,23.31,3.5,,464.0,35.4kg,$9.00,390,C2,18/10/2023,ascot-park
35,5,Light Me Up (7),Madison P Hamilton-Dyett,23.44,5.5,,575.0,29.0kg,$6.00,390,C2,18/10/2023,ascot-park
36,6,Mayfield Mako (3),Richard P Breen,23.46,5.8,,246.0,30.4kg,$7.50,390,C2,18/10/2023,ascot-park
37,7,Homebush Bluey (4),John Mcinerney,23.58,7.8,,757.0,35.1kg,$13.00,390,C2,18/10/2023,ascot-park
38,1,Frank (1),John Mcinerney,22.81,0.0,,231.0,36.7kg,$7.50,390,C3,18/10/2023,ascot-park
39,2,Mayfield Manu (3),Richard P Breen,22.84,0.5,,322.0,31.3kg,$5.50,390,C3,18/10/2023,ascot-park
40,3,Opawa Jackson (8),Jason E Dunn,22.89,1.3,,643.0,31.5kg,$1.70,390,C3,18/10/2023,ascot-park
41,4,Barbara's Angel (4),John Mcinerney,22.92,1.8,,854.0,33.3kg,$29.00,390,C3,18/10/2023,ascot-park
42,5,Homebush Mitch (2),John Mcinerney,22.93,1.9,5.28,115.0,28.8kg,$7.50,390,C3,18/10/2023,ascot-park
43,6,Homebush Daisy (6),John Mcinerney,23.14,5.2,,466.0,25.9kg,$17.00,390,C3,18/10/2023,ascot-park
44,7,Homebush Bull (5),John Mcinerney,23.53,11.5,,787.0,36.2kg,$51.00,390,C3,18/10/2023,ascot-park
45,8,Champagne (7),Al Hart & Dj Voyce,23.57,12.0,,578.0,25.1kg,$15.00,390,C3,18/10/2023,ascot-park
46,1,Mayfield Ted (3),Richard P Breen,22.96,0.0,5.35,111.0,31.3kg,$14.00,390,C2,18/10/2023,ascot-park
47,2,Southern Hope (2),Roy S Hamilton,22.99,0.5,,422.0,30.1kg,$11.00,390,C2,18/10/2023,ascot-park
48,3,Billie Bruiser (5),Madison P Hamilton-Dyett,23.14,2.8,,233.0,26.5kg,$3.00,390,C2,18/10/2023,ascot-park
49,5,Homebush Hugo (6),John Mcinerney,23.29,5.3,,665.0,30.9kg,$22.00,390,C2,18/10/2023,ascot-park
50,6,Homebush Villa (7),John Mcinerney,23.33,5.8,,776.0,27.5kg,$22.00,390,C2,18/10/2023,ascot-park
51,7,Homebush Valden (1),John Mcinerney,23.44,7.6,,357.0,36.0kg,$2.00,390,C2,18/10/2023,ascot-park
52,1,Master Pablo (8),Al Hart & Dj Voyce,0.0,0.0,,221.0,30.4kg,$1.70,457,C12,18/10/2023,ascot-park
53,2,Short Squeeze (6),Jason E Dunn,0.02,0.3,,112.0,33.2kg,$24.00,457,C12,18/10/2023,ascot-park
54,3,Mitcham Tim (2),Ashley G Bradshaw,0.1,1.6,,433.0,30.6kg,$4.40,457,C12,18/10/2023,ascot-park
55,4,Tatis (3),Jason E Dunn,0.28,4.4,,554.0,33.3kg,$18.00,457,C12,18/10/2023,ascot-park
56,5,Poppy Jem (1),Al Hart & Dj Voyce,0.3,4.7,,345.0,26.6kg,$3.70,457,C12,18/10/2023,ascot-park
57,6,Hurunui Milo (5),John Mcinerney,0.36,5.7,,666.0,33.6kg,$28.00,457,C12,18/10/2023,ascot-park
58,1,Opawa Fat (7),Jason E Dunn,22.48,0.0,,411.0,31.8kg,$3.10,390,C45,18/10/2023,ascot-park
59,2,Muirfield (6),Al Hart & Dj Voyce,22.7,3.5,,532.0,30.6kg,$26.00,390,C45,18/10/2023,ascot-park
60,3,Regal Birdie (4),Al Hart & Dj Voyce,22.72,3.8,,643.0,26.5kg,$19.00,390,C45,18/10/2023,ascot-park
61,4,Mitcham Dodger (5),John Mcinerney,22.74,4.1,,324.0,32.1kg,$18.00,390,C45,18/10/2023,ascot-park
62,5,Buster's Brother (2),Brett I Conner,22.91,6.9,5.28,165.0,32.1kg,$2.00,390,C45,18/10/2023,ascot-park
63,6,Money Bags (3),John Mcinerney,22.98,7.9,,256.0,34.4kg,$41.00,390,C45,18/10/2023,ascot-park
64,7,Jumbo (1),Brett I Conner,23.07,9.4,,777.0,38.2kg,$4.90,390,C45,18/10/2023,ascot-park
65,1,Broken Bonds (8),Ashley G Bradshaw,22.83,0.0,,221.0,34.0kg,$3.00,390,C4,18/10/2023,ascot-park
66,2,Homebush Bentley (5),John Mcinerney,22.84,0.2,,312.0,37.6kg,$6.00,390,C4,18/10/2023,ascot-park
67,3,Scheffler (7),Al Hart & Dj Voyce,23.03,3.2,,533.0,27.8kg,$10.00,390,C4,18/10/2023,ascot-park
68,4,Homebush Rocket (6),John Mcinerney,23.13,4.7,,454.0,33.7kg,$7.50,390,C4,18/10/2023,ascot-park
69,5,Mitcham Andy (2),John Mcinerney,23.18,5.5,,665.0,32.0kg,$22.00,390,C4,18/10/2023,ascot-park
70,6,Aramoana (1),John R Guthrie,23.2,5.8,5.3,146.0,27.4kg,$2.25,390,C4,18/10/2023,ascot-park
71,1,Homebush Zip (7),John Mcinerney,23.03,0.0,5.3,111.0,28.9kg,$6.00,390,C1,18/10/2023,ascot-park
72,2,Canton (2),Barry R Healey,23.09,1.0,,222.0,32.7kg,$2.25,390,C1,18/10/2023,ascot-park
73,3,Homebush Noah (6),John Mcinerney,23.17,2.3,,443.0,37.6kg,$15.00,390,C1,18/10/2023,ascot-park
74,4,Mr. Muggins (1),John Mcinerney,23.32,4.6,,654.0,34.8kg,$9.50,390,C1,18/10/2023,ascot-park
75,5,Homebush Solo (4),John Mcinerney,23.34,4.9,,335.0,35.9kg,$30.00,390,C1,18/10/2023,ascot-park
76,6,Impressive Mario (3),John Mcinerney,23.53,7.9,,566.0,33.5kg,$7.00,390,C1,18/10/2023,ascot-park
77,7,Jilly Bean (5),Madison P Hamilton-Dyett,23.69,10.4,,777.0,26.0kg,$10.00,390,C1,18/10/2023,ascot-park
78,8,Mayfield Pi (8),Richard P Breen,23.78,11.9,,888.0,29.1kg,$7.00,390,C1,18/10/2023,ascot-park
79,1,Mohawk Mo (7),Al Hart & Dj Voyce,22.97,0.0,5.29,111.0,31.9kg,$2.00,390,C1,18/10/2023,ascot-park
80,2,Snippet Jewel (8),Madison P Hamilton-Dyett,23.08,1.8,,722.0,24.9kg,$24.00,390,C1,18/10/2023,ascot-park
81,3,Homebush Theo (6),John Mcinerney,23.15,2.8,,633.0,36.0kg,$8.50,390,C1,18/10/2023,ascot-park
82,4,Homebush Sam (2),John Mcinerney,23.24,4.3,,444.0,31.8kg,$5.50,390,C1,18/10/2023,ascot-park
83,5,More Proof (1),Barry R Healey,23.34,5.8,,855.0,29.8kg,$13.00,390,C1,18/10/2023,ascot-park
84,6,Marty Makes Bank (4),Ashley G Bradshaw,23.64,10.6,,566.0,35.2kg,$6.00,390,C1,18/10/2023,ascot-park
85,7,Homebush Willow (3),John Mcinerney,23.94,15.4,,377.0,25.2kg,$22.00,390,C1,18/10/2023,ascot-park
86,8,Homebush Vinny (5),John Mcinerney,23.96,15.7,,288.0,33.4kg,$15.00,390,C1,18/10/2023,ascot-park
87,1,Homebush Lucina (6),John Mcinerney,23.26,0.0,5.37,121.0,27.0kg,$12.00,390,C1,18/10/2023,ascot-park
88,2,Mayfield Carbon (1),Richard P Breen,23.37,1.8,,312.0,31.1kg,$6.50,390,C1,18/10/2023,ascot-park
89,3,Homebush Chuck (4),John Mcinerney,23.53,4.3,,453.0,36.6kg,$3.10,390,C1,18/10/2023,ascot-park
90,4,Homebush Benji (7),John Mcinerney,23.56,4.8,,544.0,36.3kg,$18.00,390,C1,18/10/2023,ascot-park
91,5,Bree's Bella (2),Brett I Conner,23.61,5.6,,265.0,26.6kg,$7.50,390,C1,18/10/2023,ascot-park
92,6,Stella Del Sud (8),John R Guthrie,23.79,8.4,,636.0,27.6kg,$2.30,390,C1,18/10/2023,ascot-park
93,1,Keoni (3),Noel Massina,22.01,0.0,8.39,Q/11,30.6kg,$1.20,390,M,18/10/2023,ballarat
94,2,Urith Bale (1),Daniel Gibbons,22.38,5.34,8.53,Q/22,27.8kg,$7.00,390,M,18/10/2023,ballarat
95,3,Zorba Bale (8),Mark Delbridge,22.9,12.84,8.9,M/54,31.3kg,$6.00,390,M,18/10/2023,ballarat
96,4,Sharon's Lass (5),Marcus Lloyd,22.99,14.09,8.83,M/45,26.1kg,$19.00,390,M,18/10/2023,ballarat
97,5,Sleek Monique (4),Marcus Lloyd,23.05,14.89,8.81,S/33,27.0kg,$26.00,390,M,18/10/2023,ballarat
98,1,Aston Hornet (4),Mark Delbridge,25.84,0.0,6.73,M/311,29.7kg,$3.30,450,M,18/10/2023,ballarat
99,2,Rev Olive (7),Thomas Dailly,26.29,6.4,6.73,Q/222,27.6kg,$26.00,450,M,18/10/2023,ballarat
100,3,Bomb Neave (3),Thomas Dailly,26.41,8.04,6.92,S/574,29.0kg,$31.00,450,M,18/10/2023,ballarat
101,4,Belle Extra (8),Thomas Dailly,26.42,8.25,6.94,M/685,32.0kg,$16.00,450,M,18/10/2023,ballarat
102,5,Rev Querida (5),Thomas Dailly,26.53,9.76,7.12,M/868,29.3kg,$3.75,450,M,18/10/2023,ballarat
103,6,Rev Penny (2),Thomas Dailly,26.56,10.31,6.69,Q/136,28.4kg,$11.00,450,M,18/10/2023,ballarat
104,7,Belle Bond (1),Thomas Dailly,26.6,10.79,6.81,M/447,26.1kg,$4.50,450,M,18/10/2023,ballarat
105,8,Ferocious Sandy (6),Lisa Delbridge,26.65,11.47,6.94,M/753,26.0kg,$6.50,450,M,18/10/2023,ballarat
106,1,Aston Zoom (1),Benjamin Magri,22.38,0.0,8.47,Q/22,24.5kg,$1.80,390,X67,18/10/2023,ballarat
107,2,Urana Lightning (4),Michelle Mallia-Magri,22.4,0.25,8.36,Q/11,32.6kg,$19.00,390,X67,18/10/2023,ballarat
108,3,Grandpa (6),Michael Bowerman,22.47,1.31,8.56,M/44,28.5kg,$9.00,390,X67,18/10/2023,ballarat
109,4,Salma Bale (2),Daniel Gibbons,22.6,3.14,8.71,M/63,27.3kg,$24.00,390,X67,18/10/2023,ballarat
110,5,Zeam Bale (8),Correy Grenfell,22.66,4.03,8.55,M/36,28.3kg,$2.60,390,X67,18/10/2023,ballarat
111,6,Mckinnon Bale (7),Samantha Grenfell,22.76,5.41,8.68,S/55,27.6kg,$126.00,390,X67,18/10/2023,ballarat
112,7,Lucky Luiz (3),Peter Grills,23.09,10.09,8.72,Q/77,30.6kg,$17.00,390,X67,18/10/2023,ballarat
113,1,Quest For Magic (3),Michelle Mallia-Magri,22.1,0.0,8.24,Q/11,28.9kg,$2.25,390,RW,18/10/2023,ballarat
114,2,Secret Reef (1),Andrea Chapple,22.18,1.13,8.35,M/32,32.7kg,$1.90,390,RW,18/10/2023,ballarat
115,3,Jimmy The Bear (2),Susan Richards,22.19,1.27,8.35,M/23,31.6kg,$11.00,390,RW,18/10/2023,ballarat
116,4,Gotham Marquess (8),Melanie Lithgow,22.4,4.2,8.47,M/44,26.8kg,$34.00,390,RW,18/10/2023,ballarat
117,5,Panza Attack (4),Rachael Brown,22.48,5.37,8.57,M/56,32.2kg,$34.00,390,RW,18/10/2023,ballarat
118,6,Natteo Bale (6),Correy Grenfell,22.51,5.86,8.61,M/65,34.0kg,$17.00,390,RW,18/10/2023,ballarat
119,7,Ollie's Ruben (7),Correy Grenfell,23.46,19.37,9.03,S/77,31.5kg,$34.00,390,RW,18/10/2023,ballarat
120,1,Life's A Riot (6),Paul Mathieson,22.0,0.0,8.27,Q/11,30.1kg,$3.25,390,X45,18/10/2023,ballarat
121,2,Rushmore Red (1),Barry Reid,22.05,0.6,8.45,M/22,32.8kg,$6.50,390,X45,18/10/2023,ballarat
122,3,Gypsy Yankee (2),Korie-Lee Heinrich,22.21,2.97,8.59,M/63,33.9kg,$4.50,390,X45,18/10/2023,ballarat
123,4,Mr. Blue (7),Marcus Lloyd,22.75,10.6,8.64,S/74,29.4kg,$10.00,390,X45,18/10/2023,ballarat
124,5,Dot's Redeemer (5),Marcus Lloyd,22.77,10.91,8.52,Q/37,29.0kg,$8.50,390,X45,18/10/2023,ballarat
125,6,Butterflies Lad (4),Keith Lloyd,22.86,12.23,8.55,M/55,34.8kg,$20.00,390,X45,18/10/2023,ballarat
126,7,Minor Ash (3),Michelle Mallia-Magri,22.92,13.1,8.53,M/46,31.6kg,$4.20,390,X45,18/10/2023,ballarat
127,1,Claretown Ryan (1),Peter Griffen,25.75,0.0,6.72,M/111,32.1kg,$6.50,450,5,18/10/2023,ballarat
128,2,Dawny Dream (8),Michael Katsiris,25.91,2.29,6.72,Q/242,30.0kg,$3.70,450,5,18/10/2023,ballarat
129,3,Red Strand (3),Melissa Fullerton,26.05,4.29,6.92,M/655,34.5kg,$7.00,450,5,18/10/2023,ballarat
130,4,Elite Blazer (2),Melissa Fullerton,26.09,4.84,6.86,M/467,32.6kg,$4.50,450,5,18/10/2023,ballarat
131,5,Norse Queen (4),Melanie Lithgow,26.14,5.47,6.87,M/534,26.7kg,$4.50,450,5,18/10/2023,ballarat
132,6,Astute Queen (7),Sean Lithgow,26.18,6.01,6.77,M/323,27.7kg,$17.00,450,5,18/10/2023,ballarat
133,7,Pi Grange (6),Delaine Vigor,26.38,8.97,7.03,M/776,31.4kg,$9.50,450,5,18/10/2023,ballarat
134,1,Glory Boy (1),Correy Grenfell,25.51,0.0,6.6,M/111,33.1kg,$3.50,450,5,18/10/2023,ballarat
135,2,Dash Of Sally (3),Melissa Fullerton,25.63,1.66,6.67,M/332,29.3kg,$7.00,450,5,18/10/2023,ballarat
136,3,Viking (4),Ronald Kenworthy,25.79,4.03,6.6,Q/224,31.0kg,$17.00,450,5,18/10/2023,ballarat
137,4,Amazonian Queen (7),Melanie Lithgow,25.92,5.86,6.68,M/443,25.9kg,$12.00,450,5,18/10/2023,ballarat
138,5,Coffee Buddies (2),Nicole Lund,26.02,7.3,6.78,S/775,33.1kg,$9.00,450,5,18/10/2023,ballarat
139,6,Urana Zoom (6),Michelle Mallia-Magri,26.16,9.2,6.71,M/566,25.8kg,$2.80,450,5,18/10/2023,ballarat
140,7,Omaha Bale (8),Andrew Mooney,26.45,13.37,6.75,M/657,34.7kg,$6.50,450,5,18/10/2023,ballarat
141,1,Call Me Marley (1),Robert Douglas,25.12,0.0,6.55,Q/111,34.3kg,$2.50,450,X45,18/10/2023,ballarat
142,2,Gunai Bold (7),John Barbara,25.31,2.66,6.76,M/622,30.0kg,$2.25,450,X45,18/10/2023,ballarat
143,3,Boo Boo Billy (6),David Burnett,25.51,5.63,6.74,M/433,32.2kg,$6.00,450,X45,18/10/2023,ballarat
144,4,Star's Hope (2),Kevin Quinn,26.01,12.75,6.71,M/254,27.1kg,$101.00,450,X45,18/10/2023,ballarat
145,5,Minty Box (3),Thomas Dailly,26.19,15.25,6.75,M/566,32.5kg,$11.00,450,X45,18/10/2023,ballarat
146,6,Nitro Bale (8),Gary Mannion,26.43,18.76,6.94,S/775,31.1kg,$17.00,450,X45,18/10/2023,ballarat
147,7,Tobikuma (4),Samuel Webb,26.52,20.06,6.71,M/347,31.3kg,$61.00,450,X45,18/10/2023,ballarat
148,1,Shima Lite (2),Thomas Dailly,25.5,0.0,6.55,M/111,30.5kg,$1.60,450,X67,18/10/2023,ballarat
