,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Lets Party (5),J Watson,26.33,0.0,5.62,2222.0,34.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
1,2,Ridleys Banner (4),D Curry,26.39,0.75,5.55,1111.0,35.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
2,3,Rackethall Alex (1),R Rotherham,26.49,2.0,5.64,3333.0,34.9kg,$0.00,435,A5,31/12/2023,pelaw-grange
3,4,Whitburn Wizard (3),H Burton,26.69,4.5,5.63,4444.0,29.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
4,5,Holdem Sheriff (6),M Sillars,27.21,11.0,5.73,5555.0,32.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
5,DNF,Great Diva (2),C J Murray,,,5.67,6000.0,29.3kg,,435,A5,31/12/2023,pelaw-grange
6,1,Pikelet Spirit (4),Linda Ashford,19.33,0.0,7.13,1.0,24.9kg,$5.00,331,M,28/01/2024,albion-park
7,2,Sirius Emily (5),Darren Johnstone,19.34,0.13,7.17,2.0,26.6kg,$2.90,331,M,28/01/2024,albion-park
8,3,Lamia Tiger (8),Patrick Lavis,19.6,3.75,7.36,4.0,24.8kg,$8.00,331,M,28/01/2024,albion-park
9,4,Poet's Corner (6),Reginald Hazelgrove,19.61,4.0,7.35,3.0,32.0kg,$5.50,331,M,28/01/2024,albion-park
10,5,Hansen's Pal (2),Neil Demnar,19.8,6.5,7.46,5.0,28.3kg,$6.00,331,M,28/01/2024,albion-park
11,6,Stitched Up Joe (1),Darren Johnstone,20.16,11.75,7.46,6.0,34.8kg,$41.00,331,M,28/01/2024,albion-park
12,7,Bess Be Good (3),Ronald Newland,20.3,13.75,7.6,8.0,23.1kg,$51.00,331,M,28/01/2024,albion-park
13,8,Silent River (7),Craig Hazelgrove,20.74,20.25,7.56,7.0,32.5kg,$5.50,331,M,28/01/2024,albion-park
14,1,Hara's Buddy (2),Jemma Daley,19.12,0.0,7.2,2.0,33.9kg,$2.50,331,M,28/01/2024,albion-park
15,2,Swift Bill (4),Cynthia Elson,19.61,7.0,7.4,4.0,31.3kg,$13.00,331,M,28/01/2024,albion-park
16,3,Misty Moon (1),Reginald Hazelgrove,19.67,7.75,7.15,1.0,24.9kg,$4.00,331,M,28/01/2024,albion-park
17,4,No Need (8),Sandra Hunt,19.95,11.75,7.4,5.0,25.9kg,$7.00,331,M,28/01/2024,albion-park
18,5,Howdy Warren (6),Cynthia Elson,19.99,12.25,7.45,6.0,29.8kg,$5.00,331,M,28/01/2024,albion-park
19,6,Jamaica Honey (7),Sandra Hunt,20.05,13.25,7.49,8.0,27.2kg,$13.00,331,M,28/01/2024,albion-park
20,7,Bonny Boy (5),Neil Demnar,20.24,16.0,7.47,7.0,31.6kg,$17.00,331,M,28/01/2024,albion-park
21,DNF,Touch Of Blue (3),Reginald Hazelgrove,,,,3.0,23.3kg,,331,M,28/01/2024,albion-park
22,1,Flaming Scotch (5),Jason Schmidt,18.94,0.0,6.96,1.0,24.8kg,$1.40,331,N,28/01/2024,albion-park
23,2,Lamia Lynnie (8),Lynette Williams,19.18,3.5,7.19,2.0,26.5kg,$4.20,331,N,28/01/2024,albion-park
24,3,Cash Caviar (1),Robert Byrnes,19.46,7.5,7.28,4.0,33.3kg,$6.00,331,N,28/01/2024,albion-park
