,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Redshift Delta (4),Deborah Conquest,22.91,0.0,6.64,4421.0,29.0kg,$2.40,400,5,26/09/2023,bulli
1,2,One Fine Filly (7),Nathan Cherry,23.06,2.0,6.63,3332.0,26.8kg,$21.00,400,5,26/09/2023,bulli
2,3,Aussie Jake (6),Steven Crompton,23.1,2.5,6.69,8743.0,30.5kg,$4.80,400,5,26/09/2023,bulli
3,4,Launching Kroes (1),Dylan Goodger,23.24,4.75,6.67,1684.0,27.8kg,$5.00,400,5,26/09/2023,bulli
4,5,Just Dream (8),Raymond Welsh,23.38,6.5,6.62,6265.0,26.0kg,$5.50,400,5,26/09/2023,bulli
5,6,Girl's Night (2),Garry Erwin,23.46,7.75,6.58,2116.0,29.5kg,$11.00,400,5,26/09/2023,bulli
6,7,Retro Air (5),Nathan Cherry,23.56,9.25,6.66,5557.0,31.2kg,$8.50,400,5,26/09/2023,bulli
7,8,City Girl (3),Garry Erwin,23.73,11.75,6.79,7878.0,27.2kg,$34.00,400,5,26/09/2023,bulli
8,1,Kiss Me Gypsy (2),Justin Wood,16.32,0.0,5.65,21.0,22.9kg,$1.40,275,M,26/09/2023,cannington
9,2,Pad Up Owen (4),Peter Brown,16.34,0.25,5.64,12.0,30.5kg,$17.00,275,M,26/09/2023,cannington
10,3,Our Girl Lulu (8),Keith Batty,16.4,1.0,5.67,33.0,31.4kg,$6.00,275,M,26/09/2023,cannington
11,4,Prime Tiger (7),Glen Price,16.44,1.75,5.8,54.0,30.2kg,$12.00,275,M,26/09/2023,cannington
12,5,Remote Stealer (1),Kylie Mclennan,16.53,3.0,5.79,45.0,25.6kg,$9.50,275,M,26/09/2023,cannington
13,6,Shiny True Color (6),Kylie Mclennan,16.82,7.0,5.94,77.0,25.1kg,$201.00,275,M,26/09/2023,cannington
14,7,Molfetta Bloom (5),Nicola Minutillo,16.84,7.5,5.89,66.0,32.3kg,$41.00,275,M,26/09/2023,cannington
15,8,Torpedo Girl (3),Kylie Mclennan,16.92,8.5,5.95,88.0,26.4kg,$24.00,275,M,26/09/2023,cannington
16,1,Blast Of Irish (5),Diane Carmody,16.32,0.0,5.63,11.0,34.7kg,$7.50,275,M,26/09/2023,cannington
17,2,Evening Star Fun (1),Lexia Isaac,16.74,6.0,5.65,23.0,27.3kg,$3.25,275,M,26/09/2023,cannington
18,3,Kid Ego (8),Kylie Mclennan,16.83,7.25,5.89,64.0,32.5kg,$41.00,275,M,26/09/2023,cannington
19,4,Epic Hope (6),Megan Magistro,16.83,7.25,5.73,32.0,23.8kg,$15.00,275,M,26/09/2023,cannington
20,5,Run A Tick (3),Lournay Malcolm,16.85,7.5,5.8,55.0,30.3kg,$15.00,275,M,26/09/2023,cannington
21,6,Fit In Five (4),Barry Mcpherson,17.01,9.75,5.77,46.0,26.5kg,$51.00,275,M,26/09/2023,cannington
22,7,Peppermint Mac (7),Kylie Mclennan,17.09,11.0,5.91,77.0,25.2kg,$101.00,275,M,26/09/2023,cannington
23,8,Skinny Dove (2),Gregory King,17.16,12.0,5.98,88.0,22.9kg,$1.85,275,M,26/09/2023,cannington
24,1,Moment For Life (3),Jamie Marsh,22.18,0.0,6.65,111.0,28.9kg,$2.00,380,M,26/09/2023,cannington
25,2,Token Monelli (8),David Hobby,22.33,2.0,6.86,422.0,34.2kg,$9.00,380,M,26/09/2023,cannington
26,3,Heart Emoji (2),David Hobby,22.62,6.25,6.99,755.0,31.1kg,$4.00,380,M,26/09/2023,cannington
27,4,Go Go Sonic (7),Christopher Halse,22.67,7.0,6.91,544.0,32.7kg,$7.00,380,M,26/09/2023,cannington
28,5,Wings Of Hope (5),Terrence Erenshaw,22.7,7.5,6.85,233.0,28.3kg,$17.00,380,M,26/09/2023,cannington
29,6,Trendy Dingo (6),Enzo Crudeli,22.73,7.75,7.03,876.0,28.1kg,$41.00,380,M,26/09/2023,cannington
30,7,Hole Shot (4),Corey White,22.84,9.25,6.98,687.0,29.0kg,$14.00,380,M,26/09/2023,cannington
31,8,Evie Malt (1),Bradley Cook,23.1,13.25,6.86,368.0,24.7kg,$26.00,380,M,26/09/2023,cannington
32,1,Zipping Dan (2),Peter Brown,22.22,0.0,6.76,311.0,29.8kg,$4.50,380,M,26/09/2023,cannington
33,2,Shades Of Kuna (1),Michael Johnston,22.67,6.25,6.68,132.0,25.8kg,$6.00,380,M,26/09/2023,cannington
34,3,West On Smoky (7),Christopher Halse,22.74,7.5,7.09,777.0,32.4kg,$8.50,380,M,26/09/2023,cannington
35,4,Girls Like You (5),Jamie Marsh,22.81,8.25,6.71,224.0,28.1kg,$22.00,380,M,26/09/2023,cannington
36,5,Little Kasey (3),Christine Bennett,22.83,8.75,6.94,555.0,26.6kg,$9.00,380,M,26/09/2023,cannington
37,6,Gigi Alice (8),Christopher Halse,22.86,9.25,7.0,686.0,28.1kg,$7.50,380,M,26/09/2023,cannington
38,7,Ace Glamour (4),Kaine Buckwell,22.94,10.25,6.83,443.0,27.5kg,$7.50,380,M,26/09/2023,cannington
39,8,Sunset Blackhawk (6),David Hobby,22.97,10.5,7.09,868.0,26.1kg,$4.00,380,M,26/09/2023,cannington
40,1,Stylish In Black (4),Diane Carmody,30.5,0.0,5.67,3211.0,27.6kg,$4.40,520,M,26/09/2023,cannington
41,2,Hippy Trail (6),Christopher Halse,30.69,2.5,5.67,4443.0,26.4kg,$2.20,520,M,26/09/2023,cannington
42,3,Sapphire Star (5),Colleen Pierson,30.88,5.25,5.59,1122.0,26.0kg,$41.00,520,M,26/09/2023,cannington
43,4,Go Go Slash (2),Christopher Halse,31.01,7.25,5.84,6334.0,32.8kg,$3.40,520,M,26/09/2023,cannington
44,5,Craving Kuna (3),Michael Johnston,31.29,11.25,6.0,8876.0,25.0kg,$151.00,520,M,26/09/2023,cannington
45,6,Kiki Sunrise (7),Enzo Crudeli,31.3,11.5,5.66,2555.0,30.6kg,$16.00,520,M,26/09/2023,cannington
46,7,Go Gettem Scooby (8),Ben Abercrombie,31.5,14.25,5.92,7668.0,34.2kg,$12.00,520,M,26/09/2023,cannington
47,8,Foxy Blue Bird (1),Christine Bennett,31.66,16.5,5.79,5787.0,28.8kg,$31.00,520,M,26/09/2023,cannington
48,1,Kiss Me Augie (3),Christine Robartson,22.4,0.0,6.72,321.0,27.5kg,$1.20,380,N,26/09/2023,cannington
49,2,Our Aim (2),Christopher Halse,22.49,1.25,6.67,112.0,31.5kg,$9.00,380,N,26/09/2023,cannington
50,3,Emmy Nakayama (5),Enzo Crudeli,22.62,3.0,6.89,664.0,30.8kg,$28.00,380,N,26/09/2023,cannington
51,4,Pad Up Astro (8),Peter Brown,22.66,3.75,6.8,443.0,29.4kg,$10.00,380,N,26/09/2023,cannington
