,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Bold Contender (8),Michael Katsiris,24.29,0.0,6.62,M311,32.8kg,$3.00,425,5,29/12/2023,bendigo
1,2,Juice (1),Jason Formosa,24.43,2.0,6.61,M122,30.4kg,$12.90,425,5,29/12/2023,bendigo
2,3,Inner Rush (5),Shane Drummond,24.49,2.79,6.66,M643,26.7kg,$3.10,425,5,29/12/2023,bendigo
3,4,Colour Me (3),Scott Stefanos,24.7,5.8,6.68,S755,27.4kg,$11.20,425,5,29/12/2023,bendigo
4,5,Hydro Glide (2),Kevin Ashton,24.83,7.73,6.69,S834,33.8kg,$16.60,425,5,29/12/2023,bendigo
5,6,Battle Axle (7),William Donlon,24.85,8.01,6.62,M266,30.7kg,$6.20,425,5,29/12/2023,bendigo
6,7,Immersive (4),Scott Stefanos,24.95,9.41,6.63,M587,24.5kg,$11.10,425,5,29/12/2023,bendigo
7,8,Speedy Mouse (6),Darren Fisher,25.12,11.79,6.63,M478,26.3kg,$19.00,425,5,29/12/2023,bendigo
8,1,Emers Iris (4),J Dunne,29.88,0.0,2.99,2111,31.8kg,$0.00,480,A6,29/12/2023,clonmel
9,2,Jet An Go (3),J Norris,30.16,4.0,2.99,1222,27.3kg,$0.00,480,A6,29/12/2023,clonmel
10,3,Corrigeen Belle (2),M O'Donovan,30.4,7.4,3.02,3333,28.2kg,$0.00,480,A6,29/12/2023,clonmel
11,5,Eskvale Bella (6),P Davies,0.0,,3.1,5555,32.7kg,$0.00,480,A6,29/12/2023,clonmel
12,6,Yellowstone Boy (1),M O'connell,0.0,,3.09,6666,29.1kg,$0.00,480,A6,29/12/2023,clonmel
13,DNF,Eskvale Becky (5),E Sives,,,3.13,4444,26.8kg,,480,A6,29/12/2023,clonmel
14,1,Blueway Breeze (1),D Whelan,29.55,0.0,2.99,1111,29.5kg,$0.00,480,A5,29/12/2023,clonmel
15,2,Maughera Joker (5),C Browne,29.79,3.4,2.93,3222,33.6kg,$0.00,480,A5,29/12/2023,clonmel
16,3,Pops Honour (6),G Dunne,30.0,6.4,2.99,4443,31.4kg,$0.00,480,A5,29/12/2023,clonmel
17,4,Kilkenny Dusty (4),B Hickey,30.21,9.4,3.14,6655,26.4kg,$0.00,480,A5,29/12/2023,clonmel
18,5,Circus Dawn (2),M Ryan,30.25,10.0,2.94,2334,29.1kg,$0.00,480,A5,29/12/2023,clonmel
19,6,Mountroe Bolt (3),P Fitzgerald,30.49,13.4,3.05,5566,27.7kg,$0.00,480,A5,29/12/2023,clonmel
20,1,Quacks (6),P Gough,16.81,0.0,,2-1-,31.8kg,$0.00,274,S4,29/12/2023,clonmel
21,2,Bionic Blake (3),J Campbell,16.82,0.15,,1-2-,33.6kg,$0.00,274,S4,29/12/2023,clonmel
22,3,Circus Hawk (1),M Ryan,16.99,2.6,,3-3-,28.6kg,$0.00,274,S4,29/12/2023,clonmel
23,4,Greenane Fidget (2),C Nugent,17.13,4.6,,4-4-,26.4kg,$0.00,274,S4,29/12/2023,clonmel
24,5,Shes Mint (5),D Hickey,17.24,6.1,,5-5-,29.1kg,$0.00,274,S4,29/12/2023,clonmel
25,6,Foxys Frog (4),D Morrissey,17.34,7.6,,6-6-,33.6kg,$0.00,274,S4,29/12/2023,clonmel
26,1,Chamberlain Anne (2),D O'Neill,29.32,0.0,3.03,2211,27.7kg,$0.00,480,A2,29/12/2023,clonmel
27,2,Pops Blue (5),G Dunne,29.49,2.4,3.1,6554,29.1kg,$0.00,480,A2,29/12/2023,clonmel
28,3,Blakes Choice (1),M O'Donovan,29.51,2.7,2.98,1122,27.7kg,$0.00,480,A2,29/12/2023,clonmel
29,4,Slaneyside Night (4),D Kehoe,29.62,4.3,3.14,4445,34.5kg,$0.00,480,A2,29/12/2023,clonmel
30,5,Windmill La La (6),I O'Dwyer,29.72,5.7,3.05,3333,27.7kg,$0.00,480,A2,29/12/2023,clonmel
31,6,Glenvale Sven (3),P Barrett,29.73,5.9,3.04,5666,31.4kg,$0.00,480,A2,29/12/2023,clonmel
32,1,Pepe Noir (4),A Morrissey,29.07,0.0,2.91,2232,34.5kg,$0.00,480,A2,29/12/2023,clonmel
