,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Goldstar Vargas (4),Riley L Evans,17.34,0.0,6.04,111,29.4kg,$4.90,295,C2,22/09/2023,addington
1,2,Homebush Wilder (6),John Mcinerney,17.55,3.67,,222,34.6kg,$7.00,295,C2,22/09/2023,addington
2,3,Homebush Roman (5),John Mcinerney,17.67,5.89,,533,33.5kg,$13.00,295,C2,22/09/2023,addington
3,4,Amuri Luck (7),John Mcinerney,17.78,7.78,,444,35.8kg,$3.70,295,C2,22/09/2023,addington
4,5,Homebush Peach (2),John Mcinerney,17.84,8.89,,875,27.6kg,$4.20,295,C2,22/09/2023,addington
5,6,Oliviero (1),Sharon M Hindson,17.88,9.44,,766,37.0kg,$10.20,295,C2,22/09/2023,addington
6,7,Goldstar Quinn (8),Riley L Evans,17.92,10.22,,387,28.6kg,$9.40,295,C2,22/09/2023,addington
7,8,Impressive Nixon (3),John Mcinerney,17.93,10.33,,658,35.2kg,$15.00,295,C2,22/09/2023,addington
8,1,Aston Nero (2),Ian Garland,24.36,0.0,6.61,M/221,32.0kg,$1.70,425,M,22/09/2023,bendigo
9,2,High Cotton (6),Alisdair Armstrong,24.4,0.61,6.62,M/312,30.8kg,$3.00,425,M,22/09/2023,bendigo
10,3,Don't Tell Shell (4),Michael Chilcott,24.63,3.94,6.66,M/433,27.1kg,$14.00,425,M,22/09/2023,bendigo
11,4,Idyllic Star (8),Donna Knight,25.17,11.66,6.89,M/654,28.1kg,$28.00,425,M,22/09/2023,bendigo
12,5,Charlie Calamari (5),Darren Fisher,25.25,12.77,6.68,M/545,30.9kg,$9.00,425,M,22/09/2023,bendigo
13,6,Another Fifty (1),Billy Kantzidis,25.33,13.83,7.04,S/776,34.1kg,$26.00,425,M,22/09/2023,bendigo
14,DNF,Raw Blue (3),George Kantzidis,,,6.57,M/167,26.2kg,,425,M,22/09/2023,bendigo
15,1,Incoming (7),Jordan McQuillen,24.55,0.0,6.59,M/111,32.5kg,$4.40,425,M,22/09/2023,bendigo
16,2,Elk (5),Mark Morrissey,24.58,0.43,6.64,M/322,26.8kg,$1.85,425,M,22/09/2023,bendigo
17,3,Ritza Dale (2),Mark Faulkner,24.63,1.14,6.75,M/443,24.8kg,$51.00,425,M,22/09/2023,bendigo
18,4,Lightning Legs (8),Adam Norris,24.69,1.93,6.79,S/634,34.0kg,$12.00,425,M,22/09/2023,bendigo
19,5,Are You Nervous (1),George Kantzidis,24.75,2.79,6.59,M/257,31.2kg,$18.00,425,M,22/09/2023,bendigo
20,6,Nellie Zoom (6),Desmond Dooley,24.75,2.86,6.78,M/575,29.3kg,$12.00,425,M,22/09/2023,bendigo
21,7,My Cool Breeze (3),Michelle Nolan,24.81,3.7,6.82,S/766,26.8kg,$8.00,425,M,22/09/2023,bendigo
22,8,Sight To Explore (4),George Kantzidis,25.04,6.89,6.89,M/888,31.0kg,$24.00,425,M,22/09/2023,bendigo
23,1,Goddess Of Chaos (2),Nicholas Johnston,24.37,0.0,6.76,M/741,29.0kg,$5.00,425,7,22/09/2023,bendigo
24,2,Alonzo Thrills (5),Aroha Hemingway,24.56,2.81,6.6,Q/232,26.5kg,$24.00,425,7,22/09/2023,bendigo
25,3,Theodossi Bale (8),Daniel Gibbons,24.62,3.63,6.6,M/313,29.5kg,$3.30,425,7,22/09/2023,bendigo
26,4,Diablo Bale (4),John Caulfield,24.62,3.66,6.83,M/865,32.4kg,$11.00,425,7,22/09/2023,bendigo
27,5,King Hutch (6),Daryl Brennan,24.68,4.5,6.69,M/556,32.0kg,$5.50,425,7,22/09/2023,bendigo
28,6,Bok Choy (7),Billy Kantzidis,24.88,7.3,6.6,Q/124,24.3kg,$31.00,425,7,22/09/2023,bendigo
29,7,Flying Avenue (3),Alice Peat,24.88,7.36,6.73,M/677,27.7kg,$14.00,425,7,22/09/2023,bendigo
