,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Fast And Fabio (2),Bradley Woods,23.02,0.0,10.7,1.0,26.4kg,$3.40,395,MA5,04/10/2023,albion-park
1,2,Back Seat Betty (4),Sidney Goodwin,23.15,1.75,10.77,3.0,25.8kg,$5.00,395,MA5,04/10/2023,albion-park
2,3,Polly's Jester (8),Marie-Madeleine Westwood,23.26,3.5,10.92,4.0,29.8kg,$34.00,395,MA5,04/10/2023,albion-park
3,4,Milky Way Cloud (1),Patrick Lavis,23.36,4.75,11.02,6.0,32.2kg,$9.00,395,MA5,04/10/2023,albion-park
4,5,Flight To Mars (6),Bradley Woods,23.38,5.25,10.7,2.0,28.4kg,$6.00,395,MA5,04/10/2023,albion-park
5,6,Future's Changed (5),Michael Brauer,23.4,5.25,11.01,7.0,28.6kg,$4.00,395,MA5,04/10/2023,albion-park
6,7,Boxing On (7),Marie-Madeleine Westwood,23.55,7.5,11.1,8.0,30.0kg,$14.00,395,MA5,04/10/2023,albion-park
7,8,Dynamite Cyndie (3),Cynthia Elson,23.82,11.5,10.92,5.0,28.8kg,$6.50,395,MA5,04/10/2023,albion-park
8,1,Ethanol Volume (2),Thomas Dailly,25.47,0.0,6.76,M/433,33.1kg,$1.50,450,M,04/10/2023,ballarat
9,2,Ethanol Unleaded (5),Thomas Dailly,25.5,0.51,6.58,Q/111,34.1kg,$7.00,450,M,04/10/2023,ballarat
10,3,Bomb Murt (3),Thomas Dailly,25.61,2.07,6.63,M/322,34.0kg,$14.00,450,M,04/10/2023,ballarat
11,4,Ferocious Lilly (1),Lisa Delbridge,25.82,5.09,6.63,M/244,27.1kg,$8.00,450,M,04/10/2023,ballarat
12,5,Squiggle (4),Kathleen Boyle,25.87,5.8,6.88,S/555,33.4kg,$17.00,450,M,04/10/2023,ballarat
13,6,Bomb Roberta (8),Thomas Dailly,26.02,7.96,6.9,S/666,27.5kg,$18.00,450,M,04/10/2023,ballarat
14,7,Ethanol Extra (6),Thomas Dailly,26.2,10.51,6.95,S/888,27.3kg,$51.00,450,M,04/10/2023,ballarat
15,8,Indy Vulcan (7),Thomas Dailly,26.41,13.51,6.95,S/777,34.6kg,$21.00,450,M,04/10/2023,ballarat
16,1,Law Breaker (5),David Geall,22.51,0.0,8.42,M/11,32.3kg,$1.80,390,M,04/10/2023,ballarat
17,2,Aston Ping (6),Benjamin Magri,22.59,1.2,8.51,Q/23,25.9kg,$4.60,390,M,04/10/2023,ballarat
18,3,Elite Gavin (7),Lisa Delbridge,22.63,1.79,8.51,M/32,30.3kg,$17.00,390,M,04/10/2023,ballarat
19,4,Ron's Mistake (8),Debbie Bewley,23.05,7.79,8.74,S/45,30.5kg,$7.00,390,M,04/10/2023,ballarat
20,5,Cornhill Raven (1),Scott Gibson,23.08,8.14,8.95,Q/76,27.8kg,$15.00,390,M,04/10/2023,ballarat
21,6,Moraine Annie (2),Briana Robertson -Leech,23.12,8.66,8.78,S/54,28.0kg,$71.00,390,M,04/10/2023,ballarat
22,7,Dashing Jeff (4),Cole Brett,23.15,9.14,8.85,M/67,29.5kg,$10.00,390,M,04/10/2023,ballarat
23,8,Super Potato (3),Jack Clarke,23.7,16.97,9.16,Q/88,24.8kg,$23.00,390,M,04/10/2023,ballarat
24,1,Trickster's Halo (1),Kayla Cottrell,22.18,0.0,8.3,Q/11,27.2kg,$1.60,390,MF,04/10/2023,ballarat
25,2,Ishan Bale (5),Daniel Gibbons,22.68,7.04,8.63,M/43,33.5kg,$28.00,390,MF,04/10/2023,ballarat
26,3,Lethal Trix (8),Kayla Cottrell,22.74,7.91,8.51,M/22,33.0kg,$16.00,390,MF,04/10/2023,ballarat
27,4,Hunter Riot (2),Colin Bermingham,22.87,9.84,8.62,Q/34,28.5kg,$12.00,390,MF,04/10/2023,ballarat
28,5,Blistered Earth (3),George Borg,23.11,13.27,8.69,Q/56,33.8kg,$3.75,390,MF,04/10/2023,ballarat
29,6,Fearsome Flirt (7),Lisa Delbridge,23.24,15.11,8.69,M/67,33.2kg,$28.00,390,MF,04/10/2023,ballarat
30,7,Intex Bale (6),Mark Delbridge,23.3,15.94,8.72,S/75,28.2kg,$26.00,390,MF,04/10/2023,ballarat
31,8,Riverdale Clyde (4),Matthew Abela,23.73,22.14,8.73,Q/88,30.7kg,$26.00,390,MF,04/10/2023,ballarat
32,1,Dunach Fireball (2),Ian Robinson,25.41,0.0,6.53,M/111,30.9kg,$1.70,450,S,04/10/2023,ballarat
33,2,Ethanol Water (5),Thomas Dailly,25.52,1.5,6.76,Q/554,29.1kg,$21.00,450,S,04/10/2023,ballarat
34,3,Oregon Durant (1),Thomas Dailly,25.69,3.93,6.69,M/343,26.7kg,$3.80,450,S,04/10/2023,ballarat
35,4,Mate's Revenge (8),Darren Beasley,25.7,4.16,6.86,S/665,31.3kg,$6.50,450,S,04/10/2023,ballarat
36,5,Shima Lite (4),Thomas Dailly,25.79,5.46,6.67,M/222,30.8kg,$10.00,450,S,04/10/2023,ballarat
37,6,Full Speed Ahead (7),Craig Treherne,25.95,7.75,6.76,M/436,30.3kg,$34.00,450,S,04/10/2023,ballarat
38,1,Shima Stripe (8),Thomas Dailly,25.24,0.0,6.54,M/211,30.5kg,$4.50,450,S,04/10/2023,ballarat
39,2,Shima Stella (6),Thomas Dailly,25.35,1.61,6.68,M/643,27.3kg,$9.00,450,S,04/10/2023,ballarat
40,3,Versatile (2),Anthony Azzopardi,25.62,5.5,6.54,M/122,27.0kg,$2.20,450,S,04/10/2023,ballarat
41,4,Zelda Chaos (3),Thomas Dailly,25.65,5.84,6.67,M/565,30.2kg,$23.00,450,S,04/10/2023,ballarat
42,5,Pi Grange (7),Delaine Vigor,25.72,6.89,6.59,Q/334,31.8kg,$61.00,450,S,04/10/2023,ballarat
43,6,Mrs. Avenger (1),George Borg,25.88,9.19,6.6,M/457,25.6kg,$3.75,450,S,04/10/2023,ballarat
44,7,Oregon Caldwell (4),Thomas Dailly,26.02,11.21,6.71,M/776,29.7kg,$18.00,450,S,04/10/2023,ballarat
