,Unnamed: 0,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,0,1,Gus Gus (4),Eric Honeyman,23.1,0.0,10.88,3.0,36.8kg,$5.00,395,MA5,15/11/2023,albion-park
1,1,2,Rough System (3),Michael Edwards,23.13,0.5,10.53,1.0,23.2kg,$6.00,395,MA5,15/11/2023,albion-park
2,2,3,Human Touch (7),Kevin Kemp,23.29,2.5,11.02,6.0,29.7kg,$24.00,395,MA5,15/11/2023,albion-park
3,3,4,Polly's Courier (2),Robert Purtle,23.52,6.0,11.04,7.0,22.4kg,$5.50,395,MA5,15/11/2023,albion-park
4,4,5,Swift Revenge (8),Kerry Bussian,23.56,6.5,10.98,4.0,32.1kg,$21.00,395,MA5,15/11/2023,albion-park
5,5,6,Add To Cart (6),Christi Ann Lombe,23.61,7.25,11.05,8.0,34.0kg,$17.00,395,MA5,15/11/2023,albion-park
6,6,7,Cool Hand Jane (5),Sergio Livotto,23.65,7.75,10.87,2.0,25.8kg,$41.00,395,MA5,15/11/2023,albion-park
7,7,8,Charlie's Flyer (1),Noel Murdoch,23.68,8.25,11.0,5.0,28.2kg,$2.00,395,MA5,15/11/2023,albion-park
8,8,1,Homebush Amy (6),John Mcinerney,23.08,0.0,,441.0,28.4kg,$0.00,390,C0,15/11/2023,ascot-park
9,9,2,Manhattan (4),J & D Fahey,23.29,3.3,,652.0,32.4kg,$0.00,390,C0,15/11/2023,ascot-park
10,10,3,Homebush Molly (1),John Mcinerney,23.41,5.3,,263.0,26.6kg,$0.00,390,C0,15/11/2023,ascot-park
11,11,4,Mayfield Minx (8),Richard P Breen,23.43,5.6,,534.0,25.6kg,$0.00,390,C0,15/11/2023,ascot-park
12,12,5,Miss Maudie (7),John Mcinerney,23.48,6.4,,315.0,24.9kg,$0.00,390,C0,15/11/2023,ascot-park
13,13,6,Homebush Caleb (5),John Mcinerney,23.5,6.7,5.36,126.0,32.1kg,$0.00,390,C0,15/11/2023,ascot-park
14,14,7,Love Me Too (3),John Mcinerney,23.58,8.0,,777.0,27.8kg,$0.00,390,C0,15/11/2023,ascot-park
15,15,1,Zara Jem (3),Al Hart & Dj Voyce,22.82,0.0,5.38,111.0,27.3kg,$0.00,390,C0,15/11/2023,ascot-park
16,16,2,April Baxter (7),John Mcinerney,23.48,10.5,,532.0,26.0kg,$0.00,390,C0,15/11/2023,ascot-park
17,17,3,Pukeko Dot (1),Barry R Healey,23.49,10.7,,223.0,25.2kg,$0.00,390,C0,15/11/2023,ascot-park
18,18,4,Kate Baxter (8),John Mcinerney,23.54,11.5,,744.0,25.6kg,$0.00,390,C0,15/11/2023,ascot-park
19,19,5,Homebush Corey (6),John Mcinerney,23.78,15.3,,665.0,33.7kg,$0.00,390,C0,15/11/2023,ascot-park
20,20,6,Homebush Sadie (4),John Mcinerney,23.9,17.1,,476.0,26.2kg,$0.00,390,C0,15/11/2023,ascot-park
21,21,7,Homebush Sally (5),John Mcinerney,23.99,18.6,,357.0,25.6kg,$0.00,390,C0,15/11/2023,ascot-park
22,22,1,Chilly Pepper (7),Al Hart & Dj Voyce,26.6,0.0,8.62,111.0,26.4kg,$0.00,457,C0,15/11/2023,ascot-park
23,23,2,Daddy Longlegs (2),Al Hart & Dj Voyce,26.69,1.5,,552.0,33.5kg,$0.00,457,C0,15/11/2023,ascot-park
24,24,4,Go Jock (3),Richard P Breen,26.99,6.2,,364.0,29.5kg,$0.00,457,C0,15/11/2023,ascot-park
25,25,5,Very Rarely (1),J & D Fahey,27.01,6.5,,645.0,32.7kg,$0.00,457,C0,15/11/2023,ascot-park
26,26,6,James Baxter (5),John Mcinerney,27.29,11.0,,226.0,32.3kg,$0.00,457,C0,15/11/2023,ascot-park
27,27,7,Go Kim (8),Robin Wales,27.37,12.3,,437.0,25.6kg,$0.00,457,C0,15/11/2023,ascot-park
28,28,1,Dom Baxter (6),John Mcinerney,23.0,0.0,,211,33.2kg,$0.00,390,C1,15/11/2023,ascot-park
29,29,2,Homebush Cash (5),John Mcinerney,23.06,1.0,,322,36.9kg,$0.00,390,C1,15/11/2023,ascot-park
30,30,3,Homebush Jaxon (4),John Mcinerney,23.35,5.5,5.33,133,33.1kg,$0.00,390,C1,15/11/2023,ascot-park
31,31,4,Amuri Early (7),John Mcinerney,23.43,6.8,,764,34.3kg,$0.00,390,C1,15/11/2023,ascot-park
32,32,5,Mayfield Sook (3),Richard P Breen,23.57,9.1,,655,30.4kg,$0.00,390,C1,15/11/2023,ascot-park
33,33,6,Homebush Jethro (8),John Mcinerney,23.59,9.4,,576,37.4kg,$0.00,390,C1,15/11/2023,ascot-park
34,34,DNF,Homebush Chilli (1),John Mcinerney,,,,44f,30.1kg,,390,C1,15/11/2023,ascot-park
35,35,DNF,Yum Cha (2),Joshua M Lane,,,,88f,26.6kg,,390,C1,15/11/2023,ascot-park
36,36,1,Homebush Gena (4),John Mcinerney,23.13,0.0,,221,29.8kg,$0.00,390,C1,15/11/2023,ascot-park
37,37,2,Alpha Gabby (3),John Mcinerney,23.27,2.3,5.38,112,28.2kg,$0.00,390,C1,15/11/2023,ascot-park
38,38,3,Pinky (5),John Mcinerney,23.29,2.6,,433,28.7kg,$0.00,390,C1,15/11/2023,ascot-park
39,39,4,Homebush Willow (6),John Mcinerney,23.31,2.9,,674,25.5kg,$0.00,390,C1,15/11/2023,ascot-park
40,40,5,Impressive Luck (1),John Mcinerney,23.34,3.4,,565,30.9kg,$0.00,390,C1,15/11/2023,ascot-park
41,41,6,Alpha Rascal (7),John Mcinerney,23.38,3.9,,746,23.5kg,$0.00,390,C1,15/11/2023,ascot-park
42,42,7,Zero Chill (8),Joshua M Lane,23.43,4.7,,857,28.0kg,$0.00,390,C1,15/11/2023,ascot-park
43,43,8,Alpha Jeff (2),John Mcinerney,23.84,11.2,,388,34.4kg,$0.00,390,C1,15/11/2023,ascot-park
44,44,1,Master Pablo (2),Al Hart & Dj Voyce,26.48,0.0,,211.0,30.7kg,$0.00,457,C1,15/11/2023,ascot-park
45,45,2,Twenty Majors (5),J & D Fahey,26.57,1.5,,322.0,33.6kg,$0.00,457,C1,15/11/2023,ascot-park
46,46,3,Homebush Hugo (3),John Mcinerney,26.83,5.5,,853.0,30.7kg,$0.00,457,C1,15/11/2023,ascot-park
47,47,4,Mohawk Mo (7),Al Hart & Dj Voyce,26.88,6.3,8.65,134.0,32.4kg,$0.00,457,C1,15/11/2023,ascot-park
48,48,5,Big Time Vespa (1),Joshua M Lane,27.0,8.3,,445.0,35.7kg,$0.00,457,C1,15/11/2023,ascot-park
49,49,6,Opawa Barb (6),John Mcinerney,27.05,9.1,,566.0,24.2kg,$0.00,457,C1,15/11/2023,ascot-park
50,50,7,Homebush Theo (8),John Mcinerney,27.14,10.4,,677.0,36.3kg,$0.00,457,C1,15/11/2023,ascot-park
51,51,8,Homebush Richie (4),John Mcinerney,27.32,13.4,,788.0,32.0kg,$0.00,457,C1,15/11/2023,ascot-park
52,52,1,Homebush Alana (6),John Mcinerney,22.62,0.0,5.22,111.0,25.4kg,$0.00,390,C2,15/11/2023,ascot-park
53,53,2,Replica Ruler (3),Barry R Healey,22.83,3.3,,732.0,30.9kg,$0.00,390,C2,15/11/2023,ascot-park
54,54,3,Mayfield Pi (8),Richard P Breen,22.85,3.6,,223.0,28.8kg,$0.00,390,C2,15/11/2023,ascot-park
55,55,4,Impressive Nixon (2),John Mcinerney,23.1,7.6,,444.0,34.3kg,$0.00,390,C2,15/11/2023,ascot-park
56,56,5,Homebush Nash (5),John Mcinerney,23.19,9.1,,555.0,33.9kg,$0.00,390,C2,15/11/2023,ascot-park
57,57,6,Brendon Baxter (7),John Mcinerney,23.26,10.1,,666.0,31.9kg,$0.00,390,C2,15/11/2023,ascot-park
58,58,7,Homebush Joey (1),John Mcinerney,23.38,12.1,,377.0,35.8kg,$0.00,390,C2,15/11/2023,ascot-park
59,59,1,Homebush Noah (5),John Mcinerney,26.76,0.0,,331.0,37.0kg,$0.00,457,C1,15/11/2023,ascot-park
60,60,2,Impressive Nora (7),John Mcinerney,26.81,0.8,,222.0,27.3kg,$0.00,457,C1,15/11/2023,ascot-park
61,61,3,Light Me Up (1),Madison P Hamilton-Dyett,26.84,1.3,8.7,113.0,29.1kg,$0.00,457,C1,15/11/2023,ascot-park
62,62,4,Alpha Ranger (8),John Mcinerney,26.94,2.8,,444.0,32.5kg,$0.00,457,C1,15/11/2023,ascot-park
63,63,5,Homebush Carson (6),John Mcinerney,27.0,3.8,,665.0,36.7kg,$0.00,457,C1,15/11/2023,ascot-park
64,64,6,Mr. Muggins (4),John Mcinerney,27.01,3.9,,556.0,34.3kg,$0.00,457,C1,15/11/2023,ascot-park
65,65,1,Buster's Brother (1),Brett I Conner,22.66,0.0,5.28,111.0,31.8kg,$0.00,390,C45,15/11/2023,ascot-park
66,66,2,Mitcham Dodger (7),John Mcinerney,22.8,2.3,,432.0,32.0kg,$0.00,390,C45,15/11/2023,ascot-park
67,67,3,Homebush Rocket (4),John Mcinerney,22.82,2.5,,223.0,33.9kg,$0.00,390,C45,15/11/2023,ascot-park
68,68,4,Mitcham Xena (8),John Mcinerney,22.93,4.3,,554.0,27.0kg,$0.00,390,C45,15/11/2023,ascot-park
69,69,5,Speedy Sue (5),Brett I Conner,22.95,4.6,,345.0,26.1kg,$0.00,390,C45,15/11/2023,ascot-park
70,70,1,Old School (8),J & D Fahey,22.69,0.0,,511.0,31.7kg,$0.00,390,C3,15/11/2023,ascot-park
71,71,2,Homebush Dove (5),John Mcinerney,22.78,1.5,5.32,122.0,26.5kg,$0.00,390,C3,15/11/2023,ascot-park
72,72,3,Mayfield Ted (6),Richard P Breen,22.91,3.5,,443.0,30.9kg,$0.00,390,C3,15/11/2023,ascot-park
73,73,4,Champagne (7),Al Hart & Dj Voyce,23.23,8.5,,654.0,24.8kg,$0.00,390,C3,15/11/2023,ascot-park
74,74,5,Homebush Cardi (2),John Mcinerney,23.23,8.6,,365.0,25.7kg,$0.00,390,C3,15/11/2023,ascot-park
75,75,6,Billie Bruiser (4),Madison P Hamilton-Dyett,23.28,9.4,,236.0,26.1kg,$0.00,390,C3,15/11/2023,ascot-park
76,76,1,Mini Jem (2),Al Hart & Dj Voyce,22.96,0.0,,321,26.5kg,$0.00,390,C2,15/11/2023,ascot-park
77,77,2,Mitcham Cam (5),John Mcinerney,23.01,0.8,5.27,112,33.6kg,$0.00,390,C2,15/11/2023,ascot-park
78,78,3,Amuri Luck (8),John Mcinerney,23.14,2.8,,763,34.7kg,$0.00,390,C2,15/11/2023,ascot-park
79,79,4,Homebush Leroy (3),John Mcinerney,23.15,3.0,,654,35.5kg,$0.00,390,C2,15/11/2023,ascot-park
80,80,5,Mayfield Mako (1),Richard P Breen,23.2,3.8,,235,29.6kg,$0.00,390,C2,15/11/2023,ascot-park
81,81,6,Barbara's Angel (4),John Mcinerney,23.23,4.3,,446,33.3kg,$0.00,390,C2,15/11/2023,ascot-park
82,82,7,Homebush Zip (7),John Mcinerney,23.26,4.8,,877,27.8kg,$0.00,390,C2,15/11/2023,ascot-park
83,83,8,Homebush Shadow (6),John Mcinerney,23.36,6.3,,588,30.2kg,$0.00,390,C2,15/11/2023,ascot-park
84,84,1,Opawa Ryder (8),J & D Fahey,22.39,0.0,,311.0,33.7kg,$0.00,390,C4,15/11/2023,ascot-park
85,85,2,Amuri Jet (7),John Mcinerney,22.76,5.8,,222.0,36.6kg,$0.00,390,C4,15/11/2023,ascot-park
86,86,3,Homebush Bentley (4),John Mcinerney,22.82,6.8,,533.0,38.0kg,$0.00,390,C4,15/11/2023,ascot-park
87,87,4,Mayfield Manu (5),Richard P Breen,22.94,8.8,,744.0,30.9kg,$0.00,390,C4,15/11/2023,ascot-park
88,88,5,Jumbo (2),Brett I Conner,23.13,11.8,,475.0,37.8kg,$0.00,390,C4,15/11/2023,ascot-park
89,89,6,Frank (3),Blake C McInerney,23.26,13.8,,666.0,36.5kg,$0.00,390,C4,15/11/2023,ascot-park
90,90,7,Homebush Valden (1),John Mcinerney,23.27,14.0,5.28,157.0,35.5kg,$0.00,390,C4,15/11/2023,ascot-park
91,91,1,Donald's Choice (5),Al Hart & Dj Voyce,22.67,0.0,,321,30.5kg,$0.00,390,C3,15/11/2023,ascot-park
92,92,2,Homebush Opal (8),John Mcinerney,22.86,3.0,,452,30.6kg,$0.00,390,C3,15/11/2023,ascot-park
93,93,3,Homebush Wilder (6),John Mcinerney,22.94,4.3,,643,34.9kg,$0.00,390,C3,15/11/2023,ascot-park
94,94,4,Homebush Mitch (1),John Mcinerney,22.95,4.5,,234,28.6kg,$0.00,390,C3,15/11/2023,ascot-park
95,95,5,Alpha Sheldon (2),John Mcinerney,23.04,5.8,5.29,115,34.7kg,$0.00,390,C3,15/11/2023,ascot-park
96,96,6,Amanda Obdam (3),J & D Fahey,23.05,6.1,,766,25.8kg,$0.00,390,C3,15/11/2023,ascot-park
97,97,7,Southern Hope (4),Roy S Hamilton,23.18,8.1,,877,30.7kg,$0.00,390,C3,15/11/2023,ascot-park
98,98,8,Sir Clive (7),Richard P Breen,31.12,134.1,,588,30.8kg,$0.00,390,C3,15/11/2023,ascot-park
99,99,1,Kylie Baxter (4),John Mcinerney,23.06,0.0,,211.0,24.1kg,$0.00,390,C1,15/11/2023,ascot-park
100,100,2,Mayfield Carbon (2),Richard P Breen,23.28,3.5,,332.0,30.7kg,$0.00,390,C1,15/11/2023,ascot-park
101,101,3,Homebush Classy (3),John Mcinerney,23.29,3.6,5.42,123.0,24.2kg,$0.00,390,C1,15/11/2023,ascot-park
102,102,4,Homebush Reta (6),John Mcinerney,23.44,6.1,,554.0,30.8kg,$0.00,390,C1,15/11/2023,ascot-park
103,103,5,Homebush Bingo (8),John Mcinerney,23.6,8.6,,445.0,30.2kg,$0.00,390,C1,15/11/2023,ascot-park
104,104,1,Snippet Jewel (6),Madison P Hamilton-Dyett,22.87,0.0,,311,25.1kg,$0.00,390,C1,15/11/2023,ascot-park
105,105,2,Marty Baxter (8),John Mcinerney,23.31,7.0,,722,31.7kg,$0.00,390,C1,15/11/2023,ascot-park
106,106,3,More Proof (2),Barry R Healey,23.33,7.3,,233,29.8kg,$0.00,390,C1,15/11/2023,ascot-park
107,107,4,Homebush Madison (1),John Mcinerney,23.54,10.6,5.37,144,28.0kg,$0.00,390,C1,15/11/2023,ascot-park
108,108,5,Wrinkly Wayne (4),John Mcinerney,23.59,11.4,,455,33.7kg,$0.00,390,C1,15/11/2023,ascot-park
109,109,6,Homebush Crystal (3),John Mcinerney,23.71,13.4,,866,28.9kg,$0.00,390,C1,15/11/2023,ascot-park
110,110,7,Homebush Reign (7),John Mcinerney,23.97,17.4,,577,35.2kg,$0.00,390,C1,15/11/2023,ascot-park
111,111,8,Homebush Karin (5),John Mcinerney,24.17,20.7,,688,27.0kg,$0.00,390,C1,15/11/2023,ascot-park
112,112,1,Aston Maddox (7),Kayla Cottrell,22.1,0.0,8.3,Q/11,29.4kg,$2.30,390,M,15/11/2023,ballarat
113,113,2,Smiling Assassin (3),John Higgins,22.46,5.07,8.7,M/54,25.6kg,$51.00,390,M,15/11/2023,ballarat
114,114,3,Cawbourne Chad (2),Mark Delbridge,22.47,5.27,8.39,M/23,30.3kg,$7.00,390,M,15/11/2023,ballarat
115,115,4,Blue Bush (1),Benjamin Magri,22.5,5.71,8.51,M/32,30.8kg,$3.00,390,M,15/11/2023,ballarat
116,116,5,Shore's Pick (4),Daniel Gibbons,22.67,8.11,8.62,M/45,27.5kg,$4.50,390,M,15/11/2023,ballarat
117,117,6,Sassy Mustang (8),John Higgins,22.69,8.41,8.76,M/66,25.0kg,$41.00,390,M,15/11/2023,ballarat
118,118,1,Cawbourne Spots (6),Mark Delbridge,22.23,0.0,8.42,Q/11,30.0kg,$6.00,390,M,15/11/2023,ballarat
119,119,2,Rowlf (3),Bruce Stirling,22.28,0.66,8.65,Q/32,32.0kg,$2.40,390,M,15/11/2023,ballarat
120,120,3,Maybe Spaghetti (8),Peter Fulton,22.72,7.04,8.75,M/43,28.0kg,$21.00,390,M,15/11/2023,ballarat
121,121,4,Charing Cross (1),Darren Fisher,22.97,10.57,8.54,Q/24,28.8kg,$2.75,390,M,15/11/2023,ballarat
122,122,5,Twisted Fizzer (2),John Higgins,23.14,12.93,9.12,M/76,26.7kg,$15.00,390,M,15/11/2023,ballarat
123,123,6,Baba Bear (7),Donna Knight,23.29,15.16,8.89,M/55,31.6kg,$11.00,390,M,15/11/2023,ballarat
124,124,7,Classy Mustang (4),John Higgins,23.33,15.73,9.02,M/67,27.9kg,$31.00,390,M,15/11/2023,ballarat
125,125,1,Tommy Tequila (1),Rebecca Gibbons,25.49,0.0,6.59,M/111,32.7kg,$3.10,450,MF,15/11/2023,ballarat
126,126,2,Breakdown (7),S Boag,25.55,0.86,6.64,M/333,31.6kg,$9.00,450,MF,15/11/2023,ballarat
127,127,3,Fearsome Flirt (4),Lisa Delbridge,25.75,3.73,6.61,M/222,32.6kg,$4.75,450,MF,15/11/2023,ballarat
128,128,4,Rev Leon (6),Thomas Dailly,25.96,6.63,6.86,S/544,33.3kg,$6.00,450,MF,15/11/2023,ballarat
129,129,5,Bomb Roberta (8),Thomas Dailly,26.02,7.59,7.03,S/865,27.0kg,$17.00,450,MF,15/11/2023,ballarat
130,130,6,Gaskin Bale (5),Thomas Dailly,26.1,8.7,6.85,M/456,34.4kg,$41.00,450,MF,15/11/2023,ballarat
131,131,7,Meal Ticket (2),Mark Delbridge,26.23,10.56,7.0,S/777,23.6kg,$4.00,450,MF,15/11/2023,ballarat
132,132,8,Belle Extra (3),Thomas Dailly,26.48,14.06,6.93,M/688,31.7kg,$23.00,450,MF,15/11/2023,ballarat
133,133,1,Caribou Bale (1),Correy Grenfell,25.62,0.0,6.74,M/432,33.6kg,$3.50,450,X67,15/11/2023,ballarat
134,134,2,Shima Lite (2),Thomas Dailly,25.74,1.67,6.6,M/221,29.6kg,$3.00,450,X67,15/11/2023,ballarat
135,135,3,Lakeview Vincent (8),Wayne Gray,25.8,2.53,6.56,Q/113,29.8kg,$41.00,450,X67,15/11/2023,ballarat
136,136,4,Aston Ping (7),Benjamin Magri,25.84,3.11,6.78,M/544,25.6kg,$41.00,450,X67,15/11/2023,ballarat
137,137,5,Orli Bale (3),Correy Grenfell,25.92,4.21,7.0,M/776,33.2kg,$3.40,450,X67,15/11/2023,ballarat
138,138,6,Let's Go Pies (4),Briana Robertson -Leech,26.02,5.67,6.74,M/355,32.2kg,$15.00,450,X67,15/11/2023,ballarat
139,139,7,Diva Davina (5),Briana Robertson -Leech,26.12,7.17,6.81,M/668,29.3kg,$16.00,450,X67,15/11/2023,ballarat
140,140,8,Side Of Ice (6),Joshua Formosa,26.14,7.39,7.01,M/887,28.8kg,$9.00,450,X67,15/11/2023,ballarat
141,141,1,Victa Tara (3),Kayla Cottrell,21.92,0.0,8.25,M/11,29.1kg,$4.50,390,FFA,15/11/2023,ballarat
142,142,2,Action Girl (2),Gary Peach,22.1,2.47,8.32,Q/22,28.6kg,$1.20,390,FFA,15/11/2023,ballarat
143,143,3,Moraine Baloo (7),Peter Fulton,22.21,4.14,8.5,M/43,33.1kg,$31.00,390,FFA,15/11/2023,ballarat
144,144,4,Pixie Princess (8),Keith Lloyd,22.44,7.39,8.39,M/34,26.4kg,$101.00,390,FFA,15/11/2023,ballarat
145,145,5,Hot Hand (4),Reginald Marriner,22.52,8.54,8.67,M/65,30.7kg,$81.00,390,FFA,15/11/2023,ballarat
146,146,6,Arandt's Girl (1),Margaret Brealey,22.72,11.34,8.6,M/56,29.7kg,$41.00,390,FFA,15/11/2023,ballarat
147,147,7,Willow Road (6),Bruce Stirling,22.85,13.2,8.79,M/77,28.7kg,$11.00,390,FFA,15/11/2023,ballarat
148,148,1,Fire Hose (2),David Geall,25.42,0.0,6.5,M/112,37.2kg,$5.50,450,X45,15/11/2023,ballarat
149,149,2,Miss Scallywag (3),Michael Bewley,25.42,0.01,6.66,M/343,29.1kg,$90.00,450,X45,15/11/2023,ballarat
150,150,3,Invictus Harry (1),Garry Selkrig,25.42,0.1,6.55,M/234,34.0kg,$30.00,450,X45,15/11/2023,ballarat
151,151,4,Shima Deb (8),Thomas Dailly,25.43,0.13,6.95,S/777,27.5kg,$41.00,450,X45,15/11/2023,ballarat
152,152,5,Verdi (7),Jason Thompson,25.45,0.46,6.66,M/421,34.4kg,$1.40,450,X45,15/11/2023,ballarat
153,153,6,Indy Korie (6),Andrew Mooney,25.52,1.4,6.73,M/555,30.4kg,$15.00,450,X45,15/11/2023,ballarat
154,154,7,Zella Bale (4),Rebecca Gibbons,25.6,2.63,6.74,M/666,27.7kg,$6.50,450,X45,15/11/2023,ballarat
155,155,1,Shima Stella (4),Thomas Dailly,25.22,0.0,6.66,M/421,27.1kg,$2.75,450,5,15/11/2023,ballarat
156,156,2,Tiggerlong Flyer (8),Samantha Grenfell,25.57,5.01,6.86,S/874,26.2kg,$6.00,450,5,15/11/2023,ballarat
157,157,3,Arandt About (3),Max Zammit,25.57,5.06,6.55,M/112,33.6kg,$51.00,450,5,15/11/2023,ballarat
158,158,4,Where Is He (1),Rita Gatt,25.66,6.27,6.59,M/243,31.0kg,$9.00,450,5,15/11/2023,ballarat
159,159,5,Aston Wyatt (6),Raymond Gatt,25.96,10.63,6.59,M/336,33.4kg,$17.00,450,5,15/11/2023,ballarat
160,160,6,Lala Turbo (7),Peter Griffen,26.0,11.23,6.85,M/785,37.2kg,$61.00,450,5,15/11/2023,ballarat
161,161,7,Sir Valentino (2),Charlie Guillou,26.1,12.66,6.67,M/557,32.2kg,$7.00,450,5,15/11/2023,ballarat
162,162,8,Koh Samui (5),Dallan Klemke,26.24,14.67,6.74,M/668,33.6kg,$3.20,450,5,15/11/2023,ballarat
163,163,1,On The Green (2),Garry Selkrig,30.85,0.0,6.66,M/1111,33.4kg,$3.10,545,X45,15/11/2023,ballarat
164,164,2,Moraine Charli (6),Peter Fulton,31.12,3.77,7.02,S/6444,28.6kg,$13.00,545,X45,15/11/2023,ballarat
165,165,3,Let Fly (3),Deb Carr,31.15,4.25,6.75,Q/2222,33.8kg,$61.00,545,X45,15/11/2023,ballarat
166,166,4,Dragon Inn (4),Daryl Brennan,31.21,5.17,6.89,M/3333,33.8kg,$2.75,545,X45,15/11/2023,ballarat
167,167,5,Drill Sergeant (1),Shane Drummond,31.31,6.5,7.01,S/4555,30.8kg,$3.00,545,X45,15/11/2023,ballarat
168,168,6,Waypoint Whisky (5),G Cini,31.46,8.7,7.09,M/7666,28.0kg,$34.00,545,X45,15/11/2023,ballarat
169,169,7,Burdock (7),Nathan McKay,31.82,13.84,7.01,M/5777,35.3kg,$61.00,545,X45,15/11/2023,ballarat
170,170,8,Lucky Fernando (8),Nathan McKay,32.03,16.81,7.19,M/8888,30.8kg,$26.00,545,X45,15/11/2023,ballarat
171,171,1,Urith Bale (2),Daniel Gibbons,22.58,0.0,8.67,M/43,28.0kg,$4.25,390,X67,15/11/2023,ballarat
172,172,2,Midnight Mash (8),Michael Bewley,22.58,0.06,8.51,M/11,28.8kg,$10.00,390,X67,15/11/2023,ballarat
173,173,3,Magic Dark Star (6),Greg Johnson,22.65,1.01,8.67,M/32,26.5kg,$30.00,390,X67,15/11/2023,ballarat
174,174,4,Aston Sheeran (7),Samantha Grenfell,22.78,2.9,8.55,S/24,32.8kg,$12.00,390,X67,15/11/2023,ballarat
175,175,5,Nando Commando (4),Peter Fulton,22.78,2.96,8.74,M/56,28.6kg,$10.00,390,X67,15/11/2023,ballarat
176,176,6,Aston Indy (1),Benjamin Magri,22.8,3.17,8.81,S/75,25.1kg,$2.30,390,X67,15/11/2023,ballarat
177,177,7,Fiery Duel (3),Mark Delbridge,22.91,4.75,8.81,M/67,30.4kg,$11.00,390,X67,15/11/2023,ballarat
178,178,8,Love A Bourbski (5),Thomas Dailly,23.31,10.56,8.99,M/88,30.3kg,$11.00,390,X67,15/11/2023,ballarat
179,179,1,Short And Stumpy (4),Garry Selkrig,21.9,0.0,8.23,M/11,25.1kg,$2.40,390,5,15/11/2023,ballarat
180,180,2,Got Attitude (7),Jason Thompson,21.95,0.63,8.35,M/22,33.2kg,$1.80,390,5,15/11/2023,ballarat
181,181,3,Gypsy Yankee (6),Korie-Lee Heinrich,22.19,4.1,8.53,M/33,33.6kg,$41.00,390,5,15/11/2023,ballarat
182,182,4,Canya Torque (8),David Geall,22.2,4.29,8.58,S/44,30.8kg,$18.00,390,5,15/11/2023,ballarat
183,183,5,All Power (2),John Barbara,22.45,7.84,8.81,M/55,32.7kg,$9.50,390,5,15/11/2023,ballarat
184,184,6,Seely's Queen (1),Dallan Klemke,23.17,18.14,9.02,M/66,25.8kg,$31.00,390,5,15/11/2023,ballarat
185,185,1,Whose Mat (4),Philip Smith,22.22,0.0,8.43,Q/21,32.0kg,$6.00,390,5,15/11/2023,ballarat
186,186,2,Mr. Blue (2),Marcus Lloyd,22.26,0.51,8.34,Q/12,28.9kg,$17.00,390,5,15/11/2023,ballarat
187,187,3,Sailplane (1),Geoff Smith,22.38,2.26,8.55,M/43,31.0kg,$11.00,390,5,15/11/2023,ballarat
188,188,4,Spanish Bullet (3),Leslie Mitchell,22.63,5.76,8.6,S/55,32.6kg,$12.00,390,5,15/11/2023,ballarat
189,189,5,Redeemer Fortune (5),Briana Robertson -Leech,22.66,6.23,8.52,M/34,33.3kg,$5.50,390,5,15/11/2023,ballarat
190,190,6,Desmonde (6),Michael Bewley,22.7,6.76,8.75,M/86,31.1kg,$13.00,390,5,15/11/2023,ballarat
191,191,7,Classic Mercedes (7),Wayne Gray,22.76,7.61,8.67,M/67,31.8kg,$8.50,390,5,15/11/2023,ballarat
192,192,8,Peregrine Flyer (8),Gregory McRae,22.94,10.27,8.74,S/78,33.1kg,$2.50,390,5,15/11/2023,ballarat
193,193,1,It's Only Money (4),Michael Vaughan,21.86,0.0,8.2,Q/11,30.6kg,$3.50,390,5,15/11/2023,ballarat
194,194,2,Butterflies Lad (8),Keith Lloyd,22.69,11.83,8.55,M/32,35.2kg,$4.00,390,5,15/11/2023,ballarat
195,195,3,Ravenna Bale (7),Chris Reynolds,22.72,12.33,8.62,M/43,28.7kg,$41.00,390,5,15/11/2023,ballarat
196,196,4,La La Missouri (6),Donna Knight,22.83,13.83,8.8,M/64,34.4kg,$51.00,390,5,15/11/2023,ballarat
197,197,5,Electra Glide (5),Gary Mannion,23.02,16.53,8.88,M/75,33.2kg,$12.00,390,5,15/11/2023,ballarat
198,198,6,Moraine Chloe (1),Peter Fulton,23.54,24.07,8.55,Q/26,26.7kg,$13.00,390,5,15/11/2023,ballarat
199,199,7,Hard To Get (3),Samantha Grenfell,23.62,25.14,9.16,S/87,31.4kg,$7.50,390,5,15/11/2023,ballarat
200,200,8,Fiery Flirt (2),Mark Delbridge,23.8,27.69,8.76,M/58,26.9kg,$3.25,390,5,15/11/2023,ballarat
201,201,1,She's Iconic (1),Susan Trim,24.26,0.0,6.6,Q/111,28.3kg,$6.00,425,M,15/11/2023,bendigo
202,202,2,Aston Dahlia (7),Andrew Symons,24.8,7.67,6.71,M/222,26.2kg,$41.00,425,M,15/11/2023,bendigo
203,203,3,Leroy (6),Chananchida Sriboon,24.83,8.04,6.83,S/443,34.2kg,$13.00,425,M,15/11/2023,bendigo
204,204,4,Hammer To Fall (4),Katrina Evans,24.89,9.0,7.03,M/887,32.3kg,$2.20,425,M,15/11/2023,bendigo
205,205,5,Banana Joe (2),Thomas Boehmke,24.96,9.91,6.76,M/334,30.9kg,$90.00,425,M,15/11/2023,bendigo
206,206,6,Nature Girl (5),Beverley Pell,24.96,9.93,6.9,M/555,25.4kg,$4.00,425,M,15/11/2023,bendigo
