,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Lost And Found (1),Aaron Brown,21.98,0.0,6.52,111,31.5kg,$6.50,380,X45,07/10/2023,cannington
1,2,Uncle Tommy (6),Steven Withers,22.08,1.5,6.66,222,33.5kg,$1.20,380,X45,07/10/2023,cannington
2,3,Stella Forever (3),Enzo Crudeli,22.09,1.5,6.68,433,30.3kg,$13.00,380,X45,07/10/2023,cannington
3,4,Flamboyant Lad (4),Andrew Mclaren,22.2,3.0,6.72,755,33.1kg,$31.00,380,X45,07/10/2023,cannington
4,5,Sudden Rain (7),Terrence Erenshaw,22.22,3.5,6.71,644,23.1kg,$15.00,380,X45,07/10/2023,cannington
5,6,Jumping Jill (8),Tracey Glenny,22.63,9.25,6.67,376,27.8kg,$31.00,380,X45,07/10/2023,cannington
6,7,Mad Steel (2),Terrence Erenshaw,22.84,12.25,6.69,567,33.7kg,$41.00,380,X45,07/10/2023,cannington
7,1,Rodgers Range (3),A Kelly-Pilgrim,23.65,0.0,3.61,2222,26.1kg,$5.00,380,A7,07/10/2023,crayford
8,2,Faraway Sunset (4),A Kelly-Pilgrim,23.71,0.75,3.67,3333,30.9kg,$2.50,380,A7,07/10/2023,crayford
9,3,Ellies Teddybear (5),A Kelly-Pilgrim,23.77,1.5,3.54,1111,26.4kg,$3.20,380,A7,07/10/2023,crayford
10,4,Havana Robusto (2),R Holloway,24.33,8.5,3.78,5444,37.6kg,$5.50,380,A7,07/10/2023,crayford
11,5,Borna Jangle (6),K A Daly,24.49,10.5,3.74,4555,34.8kg,$7.00,380,A7,07/10/2023,crayford
12,1,Ferndale Magico (3),T Batchelor,23.69,0.0,3.64,3333,33.8kg,$7.00,380,A6,07/10/2023,crayford
13,2,Droopys Zest (4),A Kelly-Pilgrim,23.71,0.25,3.66,4444,29.2kg,$3.00,380,A6,07/10/2023,crayford
14,3,Arrigle Jessie (6),A Kelly-Pilgrim,23.77,1.0,3.51,1111,24.8kg,$3.30,380,A6,07/10/2023,crayford
15,4,Crayford Babe (5),T Batchelor,23.81,1.5,3.56,2222,27.0kg,$2.70,380,A6,07/10/2023,crayford
16,1,Swift Daniel (6),J Liles,34.1,0.0,13.23,4111,31.3kg,$4.00,540,S1,07/10/2023,crayford
17,2,Ragtime Summer (1),T J Dornan,34.3,2.5,13.32,1222,31.6kg,$3.60,540,S1,07/10/2023,crayford
18,3,Corbally Chubbs (2),J Liles,34.88,9.75,13.54,3333,32.0kg,$2.25,540,S1,07/10/2023,crayford
19,4,Capel Hunter (4),R Emery,34.89,9.9,13.67,2444,33.2kg,$6.00,540,S1,07/10/2023,crayford
20,1,Deanridge Nimbo (6),A Kelly-Pilgrim,23.59,0.0,3.53,1111,33.5kg,$5.00,380,A5,07/10/2023,crayford
21,2,We (1),J Liles,23.65,0.75,3.62,2222,32.5kg,$3.00,380,A5,07/10/2023,crayford
22,3,Lazlos Boy (4),K A Daly,23.79,2.5,,4333,29.1kg,$3.30,380,A5,07/10/2023,crayford
23,4,Knockard Jane (2),A Kelly-Pilgrim,24.05,5.75,3.74,5544,27.0kg,$5.00,380,A5,07/10/2023,crayford
24,5,Shelone Mo (5),J Liles,24.39,10.0,3.61,3455,26.2kg,$4.60,380,A5,07/10/2023,crayford
25,1,Pennys Chase (5),J Liles,45.75,0.0,23.54,2431,34.2kg,$3.25,714,E1,07/10/2023,crayford
26,2,Jamies Rocky (6),K A Daly,45.83,1.0,23.62,1344,32.9kg,$2.80,714,E1,07/10/2023,crayford
27,3,Liz On Faya (2),R Emery,46.11,4.5,23.44,3113,26.2kg,$2.50,714,E1,07/10/2023,crayford
28,4,Runny Egg (1),J Liles,46.21,5.75,23.41,4222,32.3kg,$6.00,714,E1,07/10/2023,crayford
29,1,Croaghill Cola (3),T J Dornan,23.69,0.0,3.63,1111,26.6kg,$7.00,380,A8,07/10/2023,crayford
30,2,Antigua Potts (1),T Batchelor,23.7,0.15,3.69,4322,24.3kg,$7.00,380,A8,07/10/2023,crayford
31,3,Unrecognisable (5),A Kelly-Pilgrim,23.88,2.4,3.8,6554,32.3kg,$2.50,380,A8,07/10/2023,crayford
32,4,Granree Jessie (2),J Liles,24.04,4.4,3.75,5443,28.0kg,$3.50,380,A8,07/10/2023,crayford
33,5,Roseville Beanie (4),R Emery,24.18,6.15,3.69,2666,26.9kg,$7.00,380,A8,07/10/2023,crayford
34,6,Dance Trent (6),K A Daly,24.24,6.9,3.64,3235,30.0kg,$4.50,380,A8,07/10/2023,crayford
35,1,Sonic Lord (1),A Kelly-Pilgrim,23.75,0.0,3.63,3222,33.2kg,$9.50,380,A10,07/10/2023,crayford
36,2,Burrow Dinger (6),K A Daly,23.91,2.0,3.61,2111,25.1kg,$2.25,380,A10,07/10/2023,crayford
