,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Lets Party (5),J Watson,26.33,0.0,5.62,2222,34.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
1,2,Ridleys Banner (4),D Curry,26.39,0.75,5.55,1111,35.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
2,3,Rackethall Alex (1),R Rotherham,26.49,2.0,5.64,3333,34.9kg,$0.00,435,A5,31/12/2023,pelaw-grange
3,4,Whitburn Wizard (3),H Burton,26.69,4.5,5.63,4444,29.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
4,5,Holdem Sheriff (6),M Sillars,27.21,11.0,5.73,5555,32.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
5,DNF,Great Diva (2),C J Murray,,,5.67,6000,29.3kg,,435,A5,31/12/2023,pelaw-grange
6,1,Aston Kennedy (7),David Geall,24.4,0.0,6.68,M111,31.8kg,$4.80,425,M,19/01/2024,bendigo
7,2,Typhoon Cameron (3),Scott Stefanos,24.66,3.8,6.77,M222,31.0kg,$8.60,425,M,19/01/2024,bendigo
8,3,Had A Mischief (4),Paul Mathieson,24.7,4.33,6.91,S754,30.5kg,$3.90,425,M,19/01/2024,bendigo
9,4,One Knee Noni (5),Jordan Formosa,24.71,4.46,6.77,S333,30.1kg,$18.60,425,M,19/01/2024,bendigo
10,5,Little Tic (6),Judith Condo,24.83,6.16,6.85,S645,26.8kg,$11.70,425,M,19/01/2024,bendigo
11,6,Parnassus (8),Briana Robertson -Leech,24.94,7.76,7.22,S887,32.0kg,$5.00,425,M,19/01/2024,bendigo
12,7,Pen To Paper (1),Donna Dean,25.09,9.83,6.78,M466,23.7kg,$4.10,425,M,19/01/2024,bendigo
13,8,Saxon Raider (2),Thomas Boehmke,25.61,17.29,6.85,M578,30.4kg,$67.90,425,M,19/01/2024,bendigo
14,1,Darra Topaz (3),Allan George,24.45,0.0,6.62,M211,27.9kg,$3.10,425,M,19/01/2024,bendigo
15,2,High Cotton (7),Alisdair Armstrong,24.46,0.16,6.62,M122,31.5kg,$2.20,425,M,19/01/2024,bendigo
16,3,Aston Monarchy (5),Ann Panetta,24.62,2.36,6.69,M333,29.4kg,$9.40,425,M,19/01/2024,bendigo
17,4,Ring Me Later (6),Donna Dean,24.79,4.81,6.71,M444,28.7kg,$17.80,425,M,19/01/2024,bendigo
18,5,Barrel Darryl (2),Jordan Formosa,24.87,6.03,6.9,M865,34.0kg,$26.30,425,M,19/01/2024,bendigo
