,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Lets Party (5),J Watson,26.33,0.0,5.62,2222.0,34.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
1,2,Ridleys Banner (4),D Curry,26.39,0.75,5.55,1111.0,35.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
2,3,Rackethall Alex (1),R Rotherham,26.49,2.0,5.64,3333.0,34.9kg,$0.00,435,A5,31/12/2023,pelaw-grange
3,4,Whitburn Wizard (3),H Burton,26.69,4.5,5.63,4444.0,29.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
4,5,Holdem Sheriff (6),M Sillars,27.21,11.0,5.73,5555.0,32.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
5,DNF,Great Diva (2),C J Murray,,,5.67,6000.0,29.3kg,,435,A5,31/12/2023,pelaw-grange
6,1,Nope Rope (1),Matthew Bourke,19.26,0.0,7.29,3.0,31.7kg,$2.25,331,M,07/01/2024,albion-park
7,2,Misty Moon (3),Reginald Hazelgrove,19.46,2.75,7.17,1.0,25.3kg,$4.80,331,M,07/01/2024,albion-park
8,3,Daysea's Pete (7),Robert Dacey,19.57,4.25,7.34,5.0,29.2kg,$8.50,331,M,07/01/2024,albion-park
9,4,Bogie Cannon (6),Michael Brauer,19.74,6.75,7.33,4.0,31.9kg,$3.80,331,M,07/01/2024,albion-park
10,5,Imposing Mallee (5),Bob Watkins,19.75,7.0,7.46,8.0,31.9kg,$18.00,331,M,07/01/2024,albion-park
11,6,Brush Fire (2),Joshua King,19.76,7.0,7.42,6.0,31.6kg,$34.00,331,M,07/01/2024,albion-park
12,7,Nanna's Lucy (8),David Bailey,20.01,10.5,7.25,2.0,24.8kg,$11.00,331,M,07/01/2024,albion-park
13,8,Piccolo Girl (4),Andrew Hagicostas,20.1,12.0,7.44,7.0,24.5kg,$71.00,331,M,07/01/2024,albion-park
14,1,Lamia Lynnie (4),Lynette Williams,19.15,0.0,7.1,1.0,26.3kg,$1.90,331,M,07/01/2024,albion-park
15,2,Maxwell Rhodes (2),Jemma Daley,19.24,1.25,7.23,2.0,32.6kg,$2.20,331,M,07/01/2024,albion-park
16,3,Imposing Schnaps (5),Bob Watkins,19.35,2.75,7.28,3.0,26.6kg,$23.00,331,M,07/01/2024,albion-park
17,4,Quality Label (6),Steven Buckley,19.68,7.5,7.38,4.0,25.3kg,$41.00,331,M,07/01/2024,albion-park
18,5,Mum's Tiger (1),David Bailey,19.99,12.0,7.61,6.0,28.9kg,$26.00,331,M,07/01/2024,albion-park
19,6,Stitched Up Jack (8),Darren Johnstone,20.24,15.5,7.61,5.0,33.6kg,$81.00,331,M,07/01/2024,albion-park
20,7,Epic Black (7),Reginald Hazelgrove,20.47,18.75,7.73,7.0,27.7kg,$8.50,331,M,07/01/2024,albion-park
21,1,Geneva Bale (8),Stephen Neary,19.94,0.0,7.4,4.0,27.1kg,$15.00,331,M,07/01/2024,albion-park
22,2,Ocean's Dream (7),Gregory Deering,19.98,0.75,7.27,2.0,27.0kg,$2.80,331,M,07/01/2024,albion-park
23,3,Sirius Emily (1),Darren Johnstone,20.01,1.0,7.24,1.0,27.2kg,$2.90,331,M,07/01/2024,albion-park
24,4,Daysea's Jojo (4),Robert Dacey,20.01,1.0,7.29,3.0,32.0kg,$16.00,331,M,07/01/2024,albion-park
