,DogName,Distance,Weight,StartPrice,mean_place,mean_in_race_pos,time_z_avg,split_z_avg,pred_split1,t1,t2,t3,t4,t5,last_5_avg,in_form,ctime_z_avg,csplit_z_avg,pred_split2,at_cas_dist_time,at_cas_dist_time_avg,at_cas_perc,in_form2,t_mean_place,t_5_time_z,faster_inside,next_to_faster,collision,first_out,pir1,pir2,pir3,b1,b2,b3,b4,b5,b6,b7,b8
0,on the bus,450,33.1,3.8,3.7403846153846154,-0.6153846153846154,-0.48389546914865167,-0.15276983273066796,7.980010423687895,-0.9932043761009332,-1.2479203368025422,-1.103736768747885,-1.5345102201102394,-0.6306498189090336,-1.1020043041341268,1,0.0,0.0,8.00256811594203,0.0,0.0,0.0,0,4.5,0.0,0,0,0,0,0.7788461538461539,0.625,0.34134615384615385,1,0,0,0,0,0,0,0
1,sirius gamble,450,36.1,10,3.5555555555555554,-0.38888888888888884,-0.4112029879117861,0.20549300643493565,8.032910808060496,-1.2190634651386303,-0.13951554599274515,-0.6045204742700778,-1.1953061206077769,0.29567274679127653,-0.5725465718435907,1,-0.3239699072532729,0.052046587491723556,8.010253212420377,-0.13951554599274515,-0.13951554599274515,0.1111111111111111,0,3.1923076923076925,0.058817092861869244,1,1,0,0,1.5833333333333333,1.3055555555555556,1.3055555555555556,0,1,0,0,0,0,0,0
2,wrote the script,450,35.1,18,3.090909090909091,0.10909090909090935,-0.9931235126909538,-0.8013820697695683,7.884237619765383,-1.1299780742414802,0.2842196876670844,-2.358259453185502,-1.1037207376923455,-0.8275261738918638,-1.0270529502688213,1,0.0,0.0,8.00256811594203,0.0,0.0,0.0,0,3.5366430260047284,-0.15058088279184262,0,1,0,0,-0.22727272727272727,-0.4090909090909091,-0.6818181818181818,0,0,1,0,0,0,0,0
3,vamoose,450,32.9,2.8,2.4,0.6000000000000001,-1.42920731219886,-0.9442208640529117,7.863146325065363,-1.2730212773251952,-2.5754371971658583,-2.26576556215791,-0.6985251878126837,-1.4127106748560776,-1.645091979863545,1,-1.414631765893065,-2.252286043786463,7.67,-1.4720694334561435,-1.414631765893061,0.05,1,3.0338983050847457,-0.468866235090429,0,0,0,1,0.2625,0.05,0.0875,0,0,0,1,0,0,0,0
4,coonamble kid,450,35.8,7,2.8205128205128207,0.37948717948717947,-0.7956190049949665,-0.3628545685873944,7.94898972585744,-0.9263191178392647,-1.2178250759609397,-1.0205344937702598,-2.43725319375757,-1.8172460003502295,-1.4838355763356528,1,0.0,0.0,8.00256811594203,0.0,0.0,0.0,0,3.6,-0.2547176856691663,1,1,0,0,2.0641025641025643,1.935897435897436,1.935897435897436,0,0,0,0,1,0,0,0
5,coco model,450,29.7,7,2.95,-0.5125000000000002,-0.8238875940454645,-0.4269169011678537,7.939530408153141,-0.9077301492422879,-1.7207283192840086,-0.8511035752995747,-0.781012040850872,-0.9092593057336525,-1.033966678082079,1,0.0,0.0,8.00256811594203,0.0,0.0,0.0,0,4.5,0.0,1,1,1,0,-0.65,-0.5333333333333333,-0.2916666666666667,0,0,0,0,0,0,1,0
6,orara dan,450,30.9,6,2.7333333333333334,0.3500000000000001,-1.1023995120872354,-0.5718981468915434,7.91812276329814,-1.627535961667387,-1.3322244946409427,-0.020269686397839912,-1.1711455126265213,-1.4664569796529656,-1.1235265269971315,1,-1.368681631842608,-1.5411834958837605,7.775,-1.0355431599767584,-1.3686816318426078,0.03333333333333333,0,2.0,-1.6022614799324568,1,0,1,0,1.5916666666666666,0.5666666666666667,0.14166666666666666,0,0,0,0,0,0,0,1
