,Unnamed: 0,RunTime,Split,Place,Date,RaceId,Distance,Weight,StartPrice,BSP,MORNINGWAP,mean_place,mean_in_race_pos,time_z_avg,split_z_avg,pred_split1,t1,t2,t3,t4,t5,last_5_avg,in_form,ctime_z_avg,csplit_z_avg,pred_split2,at_cas_dist_time,at_cas_dist_time_avg,at_cas_perc,in_form2,faster_inside,next_to_faster,collision,first_out,pir1,pir2,pir3,Win,b1,b2,b3,b4,b5,b6,b7,b8,i1,i2
40284,40284,24.56,6.80175,7,2024-03-01,1002041589,425,32.2,25.4,30.0,15.1592,4.136363636363637,-0.4696969696969701,-0.1892874918923321,0.1610273059935452,6.75781652802251,0.1431345010120333,0.5228229351077492,-0.2266473599758918,-0.1121081430959854,-1.2543859115492284,-0.1854367957002645,0,-0.3357149079537724,0.0927909610961394,6.748583333333333,-0.1121081430959854,-0.3357149079537723,0.0454545454545454,0,0,0,0,1,2.590909090909091,2.090909090909091,2.0303030303030303,0,1,0,0,0,0,0,0,0,1,0
40285,40285,23.951,6.625,1,2024-03-01,1002041589,425,32.9,9.6,10.5,7.5277,4.461538461538462,-1.1282051282051282,0.0473021099904335,0.1440042895381776,6.755513110021945,-0.4599857610117371,-0.7897185271607947,-0.9789621806065048,-0.2625494591583923,-0.6233992789434236,-0.6229230413761704,1,0.1290850647781932,0.1586138014352092,6.7574899519507134,-0.2625494591583923,-0.2625494591583923,0.5384615384615384,0,1,1,0,1,-0.2884615384615384,-0.3653846153846153,-0.3269230769230769,1,0,1,0,0,0,0,0,0,1,0
40286,40286,24.13,6.7125,2,2024-03-01,1002041589,425,23.6,2.5,3.14254785,2.737,4.307692307692308,-0.4326923076923075,-0.4489998081838615,-0.0889290692442548,6.7239944368797095,-1.1012087399978996,-0.5304651771826998,-0.0486931277074239,0.14113424150996,-0.8497706463536401,-0.4778006899463406,1,0.008738159970537,-0.4879657127349219,6.67,0.008738159970537,0.008738159970537,0.0769230769230769,0,0,1,0,1,0.7692307692307693,0.4615384615384615,0.6153846153846154,0,0,0,1,0,0,0,0,0,1,0
40287,40287,24.306,6.59,3,2024-03-01,1002041589,425,32.4,7.3,9.95539009,7.0508,3.09375,0.2698863636363637,-0.5944698702786337,-0.5483441379804281,6.661830075949175,-0.5079473820171317,-0.2238963456497306,-1.4554064113038536,-0.6524496214682453,-1.6646226034631115,-0.9008644727804146,1,0.2800257790994663,-0.9313854424892828,6.61,0.2800257790994663,0.2800257790994663,0.03125,0,0,0,1,1,1.40625,1.296875,1.25,0,0,0,0,1,0,0,0,0,0,1
40288,40288,24.492,6.73175,5,2024-03-01,1002041589,425,28.9,16.3,17.5,10.2645,3.926829268292683,0.9731707317073176,-0.2322290027977524,-0.1122724955081227,6.72083579173641,-0.9405336468307042,-0.6987297596471196,-0.6946202579974957,-1.1268749250016747,-1.148109974424726,-0.921773712780344,1,0.0,0.0,6.736027604996995,0.0,0.0,0.0,0,1,1,1,1,0.4756097560975609,0.5,0.5,0,0,0,0,0,0,1,0,0,0,1
40289,40289,24.534,6.73,6,2024-03-01,1002041589,425,26.6,11.7,22.0,9.422,4.041666666666667,0.1011904761904762,0.3802458366260268,-0.2079891079975269,6.707884187727843,-0.1762306712537321,0.1295844630370594,-0.7295620381939979,-0.9238922073155504,-0.8922547097541571,-0.5184710326960756,1,0.3451348076904112,-0.3394201032672096,6.6901,0.1295844630370594,0.3451348076904069,0.2083333333333333,1,1,1,1,1,-0.25,-0.2291666666666666,-0.1458333333333333,0,0,0,0,0,0,0,1,0,0,0
40290,40290,24.483,6.66,4,2024-03-01,1002041589,425,26.4,3.1,3.06864775,2.3746,3.787878787878788,-0.4545454545454546,-0.5272944784455617,-0.8987313414700236,6.614418490945906,-0.8196317032389119,-1.069152735758134,-1.2018110268684048,-1.5055400049854963,-0.3413436552508722,-0.9874958252203638,1,-0.8888067435961574,-1.2419858898144265,6.567972039607186,-1.5055400049854963,-0.8957033735551754,0.1818181818181818,1,0,0,0,1,-0.3333333333333333,-0.0681818181818181,0.0,0,0,0,0,0,0,0,0,1,0,0
40310,40310,24.619,6.87175,8,2024-03-01,1002041589,425,34.8,28.6,30.27048656,22.0073,3.94,0.1652631578947372,-0.141341131791637,-0.2031270539252669,6.708542081873638,0.053127537390783,-1.2324247582754486,0.3359490424373525,-0.3325381513090828,-0.3222537329437586,-0.2996280125400309,1,0.0,0.0,6.736027604996995,0.0,0.0,0.0,0,1,1,1,1,0.28,0.02,0.02,0,0,0,0,0,1,0,0,0,0,1
