,DogName,RunTime,Split,Place,Date,RaceId,Distance,Weight,StartPrice,mean_place,mean_in_race_pos,time_z_avg,split_z_avg,pred_split1,t1,t2,t3,t4,t5,last_5_avg,in_form,ctime_z_avg,csplit_z_avg,pred_split2,at_cas_dist_time,at_cas_dist_time_avg,at_cas_perc,in_form2,faster_inside,next_to_faster,collision,first_out,pir1,pir2,pir3,Win,b1,b2,b3,b4,b5,b6,b7,b8,i1,i2,price
12,pure charisma,18.6,,7,2021-04-24,660802118,324,26.2,23.0,4.146341463414634,0.3991130820399116,0.4534359429078636,0.4649082174966936,7.354629009619016,-0.1052925378459176,0.2052033155935431,-0.41578839128537,0.535032080638807,1.9228011115153336,0.4283911157232792,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.4146341463414634,1.048780487804878,1.0731707317073171,0,0,0,0,1,0,0,0,0,0,1,
13,midnight dilemma,18.65,,8,2021-04-24,660802118,324,33.6,17.0,5.8,-0.1333333333333328,0.4733339686787364,1.2190201510619876,7.606009878790792,0.3619904884824209,1.4530851660930195,0.0067503608882828,0.5634677618698336,-0.0186239339398743,0.4733339686787364,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,
14,remember thomas,17.86,,1,2021-04-24,660802119,324,37.6,6.5,3.2,0.7999999999999998,-0.0646616556376422,-0.1278052499304605,7.157049817486056,-0.4753612408466324,0.3007405012672194,-0.6068627626327227,-0.2485983163564321,0.7067735403803566,-0.0646616556376422,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.9,0.7,0.3,1,0,0,0,1,0,0,0,0,0,1,
15,boree belle,17.95,,2,2021-04-24,660802119,324,27.5,3.9,3.6774193548387095,0.1975806451612904,-0.3252870417762578,-0.1270950103155606,7.1572865736541615,-0.3557615601835585,-0.2624687503908518,-0.6875998933114884,-1.0939873303823868,0.0743765511964498,-0.465088196614367,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,1.0,0.3064516129032258,0.2419354838709677,0,0,0,0,0,0,1,0,0,0,1,
16,fire at will,18.01,,3,2021-04-24,660802119,324,32.2,3.1,3.6,-0.6000000000000001,-0.0070309809891516,0.0291699590360575,7.209377015494796,-0.5814868627274423,-1.2278544695116356,-0.4228200671590938,-0.9173586160721834,0.1813190191751197,-0.5936401992590471,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.9,0.0,0.4,0,0,0,0,0,0,0,1,0,0,0,
17,gold black,18.07,,4,2021-04-24,660802119,324,33.5,4.0,3.8,0.088888888888889,0.1295289189776396,-0.172535481384893,7.1421391338583495,1.772978691935843,-0.5529454889585952,-0.1498977050726271,0.3608939407583854,0.13618525831003,0.3134429393946072,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.25,-0.175,-0.025,0,1,0,0,0,0,0,0,0,1,0,
18,predictions,18.15,,5,2021-04-24,660802119,324,33.7,11.0,4.666666666666667,-0.0416666666666669,0.5188789607408866,-0.0061062080834105,7.197617814828635,-0.2089888868384123,-0.440571607959199,0.7868168139809555,-0.416624956509949,0.504772919056981,0.0450808563460751,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,-0.8095238095238095,-0.3571428571428571,0.3095238095238095,0,0,0,0,0,1,0,0,0,0,1,
19,jimmy ballows,18.33,,6,2021-04-24,660802119,324,33.1,34.0,5.056603773584905,0.5862533692722378,0.3094574005393163,0.6494671331519221,7.416151150518534,-0.4753612408466324,0.0156602992307101,-0.3992383563621697,-0.1201211132524852,0.0067503608882828,-0.1944620100684589,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,1.2358490566037736,0.9622641509433962,0.5,0,0,0,0,0,0,0,0,1,0,0,
20,blue corvette,18.45,,7,2021-04-24,660802119,324,28.2,12.0,3.8125,-0.3458333333333332,0.1640392143823184,0.0368848566275072,7.211948752627956,0.5367736516286569,0.5367736516286569,0.0080257465141271,-0.9537852536427543,1.046233361468076,0.2348042315193524,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,1.078125,1.0,0.90625,0,0,0,1,0,0,0,0,0,1,0,
21,salute soldier,18.58,,8,2021-04-24,660802119,324,35.2,71.0,4.448979591836735,0.4954648526077099,0.3506580451456026,0.296879253746279,7.298617076809634,0.4127390781387354,1.2247165126396315,1.9098224729997777,0.2351190143416618,0.6351206511250951,0.8835035458489804,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.0918367346938775,0.0204081632653061,-0.1122448979591836,0,0,1,0,0,0,0,0,0,1,0,
22,my buddy,17.67,,1,2021-04-24,660802120,324,34.3,2.6,4.368421052631579,1.0315789473684216,0.0169604346998569,-0.1175442710455708,7.160470282904819,-1.0913792025357898,0.3292685618061338,0.9239095690876664,0.132449481360687,-0.1163557983901009,0.0355785222657192,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.1578947368421052,0.1842105263157894,0.1052631578947368,1,0,0,0,0,0,0,0,1,0,0,
23,optimus dusty,17.99,,2,2021-04-24,660802120,324,31.5,6.5,4.236363636363636,1.0794258373205745,-0.016057884185448,0.1218839098039975,7.240282922815749,0.6590049475435099,-0.989275078923016,-0.1655611950782579,-0.531428319623549,-0.0964738982890506,-0.2247467088740727,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.4363636363636363,0.009090909090909,-0.1,0,0,0,0,1,0,0,0,0,0,1,
24,optimus steel,18.07,,3,2021-04-24,660802120,324,34.2,9.0,3.5294117647058822,0.0420168067226893,-0.5501771036985217,-0.7402959265504431,6.952877954138915,-0.0119254473611198,0.3236513717393822,0.2052033155935431,-0.6276070098155487,0.8650042962398379,0.1508653052792189,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-0.4705882352941176,-0.6617647058823529,-0.2058823529411764,0,0,1,0,0,0,0,0,0,1,0,
25,double active,18.11,,4,2021-04-24,660802120,324,33.6,10.0,3.741935483870968,-0.1055718475073312,-0.0279440489020037,0.0569476568296887,7.218636624717448,-0.4742253715061287,-0.9923904711146636,0.6411077315921144,0.0847702519210218,-0.2485983163564321,-0.1978672350928176,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,1.564516129032258,1.3709677419354838,1.1935483870967742,0,0,0,1,0,0,0,0,0,1,0,
26,king kalyn,18.13,,5,2021-04-24,660802120,324,35.6,3.7,3.2285714285714286,-0.0747252747252749,-0.7089946495986154,0.0198264726810209,7.206262393359167,-0.4349806456336762,-0.4776077196415813,-0.6054889416652738,0.471704949694599,-0.1701173357354813,-0.2432979385962827,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,1.6,1.0571428571428572,1.0,0,1,0,0,0,0,0,0,0,1,0,
27,good juan,18.16,,6,2021-04-24,660802120,324,32.4,8.5,2.972972972972973,-0.2037422037422036,-0.514685119825448,0.1052785878377127,7.2347475903498815,-0.2369161357734399,-0.5802440843440299,-1.1264278277054731,-1.00189000644545,-0.1480351850169129,-0.6187026478570612,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,3.472972972972973,2.1621621621621623,1.527027027027027,0,0,0,0,0,1,0,0,0,0,1,
28,active zeus,18.22,,7,2021-04-24,660802120,324,30.1,18.0,3.25,0.4500000000000002,-0.2728778667042506,-0.2079899110784792,7.130320509917171,0.1096661299198667,-0.89347431965376,0.7178233265587082,-0.0989592984581096,0.1843704246853564,0.0038852526104123,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.9305555555555556,0.9166666666666666,0.875,0,0,0,0,0,0,1,0,0,0,1,
29,united stand,18.42,,8,2021-04-24,660802120,324,32.9,81.0,4.120481927710843,0.8795180722891569,0.1165043273262032,0.2741398744289689,7.291036975391285,0.3850232167348093,-0.1391297030601417,2.8004509249885103,4.743219635093261,1.0724707436707153,1.772406963485431,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.7590361445783133,0.3433734939759036,0.0963855421686747,0,0,0,0,0,0,0,1,0,0,0,
30,zipper by two,17.71,,1,2021-04-24,660802121,324,30.3,10.0,2.851851851851852,-0.28042328042328,-0.6806408604051241,-0.634408967674561,6.988175042769155,-1.2365900856912322,-1.3127129701756948,0.3527791765754498,-1.0335957270660012,-0.8969100453247336,-0.8254059303364425,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.5,0.3148148148148148,0.1666666666666666,1,0,0,1,0,0,0,0,0,1,0,
31,man of sun,17.79,,2,2021-04-24,660802121,324,33.7,23.0,2.935483870967742,-0.1707779886148008,-0.5590933206671782,-0.4237293424458426,7.058404441018286,-1.0433139115962435,-0.4391771311071295,-0.1163557983901009,1.9351967678279256,-0.7879456896403708,-0.0903191525811838,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.5,-0.5,-0.1774193548387097,0,0,1,0,0,0,0,0,0,1,0,
32,here comes joe,17.81,,3,2021-04-24,660802121,324,36.6,1.33,3.135135135135135,-1.035135135135135,-0.8138967405407475,-0.3426736747447412,7.085424095914434,-0.7602478885517897,-0.8848328023462683,0.4233087924957052,-1.0509460207388963,1.2954031890570257,-0.1954629460168447,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.6486486486486487,-0.0945945945945946,-0.081081081081081,0,1,0,0,0,0,0,0,0,1,0,
33,agland smoke,17.87,,4,2021-04-24,660802121,324,33.5,71.0,4.076923076923077,1.9230769230769236,0.033645820772017,0.1854409398865806,7.261469461249904,0.9124648491551178,-0.463316677476693,-1.0230144586375916,-0.0101924290892333,-0.0473646804055756,-0.1262846792907951,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,1.6153846153846154,-0.4615384615384615,-0.5384615384615384,0,0,0,0,0,1,0,0,0,0,1,
34,snooze mcgraw,17.9,,5,2021-04-24,660802121,324,33.2,12.0,3.0869565217391304,-0.6869565217391305,-0.6686214766934964,-0.3247763844084331,7.091390102020836,-1.6395612920820504,-1.0425776351282248,-1.1617185698942083,-0.4505405550201285,-1.0939873303823868,-1.0776770765013997,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,1.4130434782608696,0.4782608695652174,0.391304347826087,0,0,0,0,0,0,1,0,0,0,1,
35,royal emgrand,17.93,,6,2021-04-24,660802121,324,33.9,5.5,2.4411764705882355,0.6699346405228757,-0.653649781561282,-0.015745301975128,7.1944046528394425,-1.4247007621223176,-0.5941346701591614,-0.7187195839536327,-1.2170592391315322,-1.2170592391315322,-1.0343346988996351,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,2.117647058823529,1.3823529411764706,0.4852941176470588,0,0,0,0,0,0,0,0,1,0,0,
36,our interest,18.02,,7,2021-04-24,660802121,324,24.5,51.0,3.638888888888889,0.0611111111111113,-0.5432828755723088,-0.5827939090251126,7.005380762143343,-1.1766162248169587,-0.5931552025220928,-1.4556628006971146,-1.0497768721441647,-1.6586057649735897,-1.186763373030784,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.3842592592592592,0.199074074074074,0.0509259259259259,0,0,0,0,1,0,0,0,0,0,1,
37,no room,18.05,,8,2021-04-24,660802121,324,28.9,81.0,4.2,1.3999999999999997,-0.2450607376879925,-0.3694410906105047,7.076501261032343,0.4679305761961572,-1.108432987419536,-1.0367800981642743,-0.8435830828102829,-0.41578839128537,-0.5873307966966612,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-0.5,-0.5222222222222223,-0.2555555555555555,0,0,0,0,0,0,0,1,0,0,0,
38,ipso facto,17.74,,1,2021-04-24,660802122,324,35.0,2.15,3.3157894736842106,-0.4066985645933014,-0.4650045781496359,-0.0838743456548236,7.171694047883128,-1.84884617639054,-0.8218214303984985,-0.6783555994718632,-1.566455918457222,-0.44977480398295,-1.0730507857402147,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.8947368421052632,1.0526315789473684,0.6578947368421053,1,0,0,1,0,0,0,0,0,1,0,
39,pangai,18.12,,2,2021-04-24,660802122,324,35.4,19.0,4.066666666666666,1.333333333333334,0.1573634141508833,0.362733368447384,7.320569341261724,-0.648416402189259,-0.0186239339398743,-0.1651509121839735,-0.27846370317465,0.8187277953891879,-0.0583854312197137,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.8,0.1333333333333333,0.0,0,0,0,0,1,0,0,0,0,0,1,
40,outside world,18.28,,3,2021-04-24,660802122,324,30.7,3.0,4.038461538461538,0.1433566433566433,-0.1046031354724907,-0.0784543388963718,7.173500790289942,-0.3657289948692939,-0.448785604065608,-0.6148988224582437,-1.175530934533375,0.2987238787012339,-0.4612440954450574,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,1.3461538461538465,0.3461538461538461,-0.2692307692307692,0,0,1,0,0,0,0,0,0,1,0,
41,trelly belly,18.29,,4,2021-04-24,660802122,324,35.1,41.0,3.8260869565217392,0.0310559006211179,-0.029196732354336,0.0191247104702771,7.206028463107388,0.1070123212643287,0.8788973296138506,-0.2547905715206673,-0.5795212406316661,-0.7037298943000114,-0.1104264111148331,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,-0.1739130434782608,0.0217391304347826,0.1739130434782608,0,0,0,0,0,0,0,0,1,0,0,
42,weffalee kelly,18.36,,5,2021-04-24,660802122,324,34.5,6.0,4.583333333333333,-0.208333333333333,0.0741033240459662,0.0965272054681343,7.231830344237466,-1.4367576954347072,-0.4663879706524522,-0.2610861473261385,-0.1135262525498148,0.2192508630179523,-0.4117014405890321,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.375,0.375,0.375,0,1,0,0,0,0,0,0,0,1,0,
43,how good,18.38,,6,2021-04-24,660802122,324,32.8,9.0,4.0,1.5,-0.0950609856805959,-0.0503536952267074,7.182868052516611,1.0569669446427663,-0.5202347936494788,-0.4349806456336762,0.5271295539911015,-0.5075633197494065,0.0242635479202613,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,2.1538461538461537,1.3076923076923077,0.6538461538461539,0,0,0,0,0,0,0,1,0,0,0,
44,petite tiger,18.42,,7,2021-04-24,660802122,324,24.3,31.0,3.724137931034482,0.7044334975369462,-0.1328725966893832,-0.1577357195240358,7.147072588474998,0.5902962406601543,-0.394074291833703,0.2858676039979673,0.1589961298571991,-0.3017554727885767,0.0678660419786082,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-0.5344827586206896,-0.2068965517241379,0.1896551724137931,0,0,0,0,0,1,0,0,0,0,1,
45,optimus rex,18.49,,8,2021-04-24,660802122,324,30.6,81.0,4.5,0.1666666666666669,0.2003370633453432,0.1722351214621653,7.257067342723601,0.0618975370830201,0.6112363547066717,0.3168948788396361,1.2881183832364895,-0.1962439977369479,0.4163806312257739,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,-0.0625,-0.203125,-0.1875,0,0,0,0,0,0,1,0,0,0,1,
46,victoria's kara,17.94,,1,2021-04-24,660802123,324,31.2,1.22,2.7916666666666665,-0.2416666666666667,-0.904741074868708,-0.9014336529621092,6.899163193877505,-0.9633084952504763,-1.001406114071266,-0.2962549402751002,-0.6360054030734982,-0.8813499580970849,-0.7556649821534851,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,-0.0625,0.1666666666666666,0.2916666666666667,1,1,0,0,0,0,0,0,0,1,0,
47,dam the man,18.15,,2,2021-04-24,660802123,324,34.5,6.5,3.6140350877192975,-0.0426065162907267,-0.5296897857624868,-0.4323067366636569,7.055545193315483,0.3720853663092553,-1.3078316122563691,-0.3484897667058643,-0.4262158572218289,-0.0186239339398743,-0.3458151607629363,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.5964912280701754,0.2982456140350877,0.3157894736842105,0,0,0,0,0,0,0,0,1,0,0,
48,pay day brian,18.3,,3,2021-04-24,660802123,324,33.3,26.0,4.461538461538462,-0.2850678733031673,0.0767895920197916,0.0868452004261257,7.228602877949698,0.9456165045645474,-0.094746818424337,0.0857818335014434,0.0498084151305041,-0.7416291454162152,0.0489661578711885,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-0.8365384615384616,-0.4038461538461538,0.1057692307692307,0,0,0,0,0,0,0,1,0,0,0,
49,seventeen twelve,18.39,,4,2021-04-24,660802123,324,33.8,41.0,3.8125,-0.5625,0.107903937370278,0.046741652860118,7.215234485015837,0.285392472493424,-0.1422585742189965,0.4140172292793275,0.0001978919608061,0.0574989505445882,0.1229695940118299,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.53125,0.5,0.5625,0,0,0,1,0,0,0,0,0,1,0,
50,rev set,18.39,,4,2021-04-24,660802123,324,33.8,41.0,3.8125,-0.5625,0.107903937370278,0.046741652860118,7.215234485015837,0.285392472493424,-0.1422585742189965,0.4140172292793275,0.0001978919608061,0.0574989505445882,0.1229695940118299,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.53125,0.5,0.5625,0,0,0,1,0,0,0,0,0,1,0,
53,tuna fish,18.4,,6,2021-04-24,660802123,324,31.0,81.0,3.2857142857142856,-0.0190476190476189,-0.2168285774020669,0.0481576663650495,7.215706508716543,-0.0427511426242748,-0.3484201492068809,0.3939188667794448,-0.0645846430944643,1.3631848867386138,0.2602695637184877,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-0.0285714285714285,0.1285714285714285,0.2,0,0,0,0,1,0,0,0,0,0,1,
54,ducati george,18.41,,7,2021-04-24,660802123,324,31.4,11.0,2.682926829268293,-0.6829268292682928,-0.5766544845380543,-0.6102174929865651,6.996239195666012,0.8365378680647356,-1.5282355510150043,-1.1278447805812288,0.1784438747758199,4.716877493077211,0.6151557808643067,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.7439024390243902,0.5,0.4756097560975609,0,0,1,0,0,0,0,0,0,1,0,
55,uncle benny,18.46,,8,2021-04-24,660802123,324,34.9,81.0,4.921568627450981,0.1553544494720959,0.4745306338819773,0.7486141746459295,7.449201508638104,0.5156991690329954,1.5188396186066222,-0.4874412805406229,0.2052033155935431,1.3038809508408462,0.6112363547066767,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,1.411764705882353,1.2450980392156863,0.9509803921568628,0,0,0,0,0,1,0,0,0,0,1,
56,active nugget,18.27,,2,2021-04-24,660802124,324,31.2,6.5,3.8333333333333335,0.7666666666666662,0.0664958090723416,-0.1125442103917428,7.162137037582905,-1.4395844443164538,0.3619904884824209,-0.999234095315838,-0.4847913542542817,-0.1052925378459176,-0.5333823886500141,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.1111111111111111,0.2222222222222222,0.5555555555555556,0,0,0,0,1,0,0,0,0,0,1,
57,silver banner,18.35,,3,2021-04-24,660802124,324,34.4,4.2,4.0,-1.0,0.5540364029893994,-0.0012834658351396,7.199225460967359,0.672478620084655,0.5894220108883408,2.8046769789666017,-0.6068627626327227,-0.9173586160721834,0.5084712462469383,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-1.0384615384615383,-0.3846153846153846,-0.1538461538461538,0,0,0,0,0,1,0,0,0,0,1,
58,reena's rosie,18.46,,4,2021-04-24,660802124,324,27.5,5.5,2.6666666666666665,0.3333333333333335,-0.5049645848128114,-0.0656588550950691,7.1777661250450056,-0.2977411770495588,-0.6276070098155487,-0.9320985477533904,-0.7798527787844741,-0.424612651190327,-0.6123824329186599,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.8333333333333334,0.5,0.0,0,0,0,0,0,0,0,1,0,0,0,
59,skeet's desire,18.52,,5,2021-04-24,660802124,324,30.6,6.0,3.083333333333333,-0.0833333333333334,-0.3210009473087007,-1.2933732577653132,6.768511344817831,-1.0589700218941585,-0.5768584201592433,-0.5007355356747897,0.6411077315921144,0.5649848471076517,-0.1860942798056851,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,-0.5,-0.5833333333333334,-0.9166666666666666,0,1,0,0,0,0,0,0,0,1,0,
60,lead this way,18.54,,6,2021-04-24,660802124,324,28.5,12.0,4.357142857142857,1.0428571428571436,0.2714589977832064,0.0160665887108646,7.205009047723945,0.7933535005610307,0.6411077315921144,1.047096448842567,-1.0589700218941585,-0.652981304643706,0.1539212708915694,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,-1.8571428571428568,-1.4285714285714286,-0.5714285714285714,0,0,1,0,0,0,0,0,0,1,0,
61,red yannick,18.56,,7,2021-04-24,660802124,324,32.9,34.0,3.96,-0.2933333333333334,0.1307164277353085,0.0398085157646832,7.212923345314205,-0.3919040948669466,0.1335504263382816,0.022593834282366,-0.6945003698430673,0.9695008009829706,0.0078481193787208,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-0.16,0.06,0.16,0,0,0,0,0,0,1,0,0,0,1,
62,aston lennon,18.64,,8,2021-04-24,660802124,324,36.6,10.0,3.625,0.708333333333333,0.1249568643805348,-0.043890743230055,7.185022457476963,-0.6306451983906955,-1.2458802717852189,-0.659942106647582,-0.4255668405925314,0.1625642161317897,-0.5598940402568476,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,1.25,1.5,2.0,0,0,0,1,0,0,0,0,0,1,0,
